idsbrokencres,model_name,cre,crd,repair,broken_cre_count,broken_cres
48,VOD3,"CR11 [playmovie]",CR11,"{(playmovie{1354}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2225}<InstanceType-Parameter{400}>)}",1,"CR14 [playmovie],"
55,VOD3,"CR14 [getactor]",CR14,"{(getactor{1335}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2225}<InstanceType-Parameter{400}>)}",1,"CR11 [getactor],"
62,VOD3,"CR14 [ListFrameListener2]",CR14,"{(ListFrameListener2{2582}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2225}<InstanceType-Parameter{400}>)}",1,"CR11 [ListFrameListener2],"
69,VOD3,"CR11 [getAppletInfo]",CR11,"{(getAppletInfo{2236}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2225}<InstanceType-Parameter{400}>)}",1,"CR14 [getAppletInfo],"
76,VOD3,"CR11 [getfull_pel_forward_vector]",CR11,"{(getfull_pel_forward_vector{1973}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2225}<InstanceType-Parameter{400}>)}",1,"CR14 [getfull_pel_forward_vector],"
78,VOD3,"CR14 [makemovielist]",CR14,"{(makemovielist{1386}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2225}<InstanceType-Parameter{400}>)}",1,"CR11 [makemovielist],"
79,VOD3,"CR11 [startnewpicture]",CR11,"{(startnewpicture{2003}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2225}<InstanceType-Parameter{400}>)}",1,"CR14 [startnewpicture],"
82,VOD3,"CR14 [getdescription]",CR14,"{(getdescription{1309}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2225}<InstanceType-Parameter{400}>)}",1,"CR11 [getdescription],"
83,VOD3,"CR14 [setgopheader]",CR14,"{(setgopheader{1987}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2225}<InstanceType-Parameter{400}>)}",1,"CR11 [setgopheader],"
92,VOD3,"CR14 [sendmovieinfo]",CR14,"{(sendmovieinfo{1352}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2225}<InstanceType-Parameter{400}>)}",1,"CR11 [sendmovieinfo],"
100,VOD3,"CR14 [BorderPanel]",CR14,"{(BorderPanel{1228}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2225}<InstanceType-Parameter{400}>)}",1,"CR11 [BorderPanel],"
101,VOD3,"CR14 [parse_sequence_header]",CR14,"{(parse_sequence_header{2210}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2225}<InstanceType-Parameter{400}>)}",1,"CR11 [parse_sequence_header],"
106,VOD3,"CR11 [readshort]",CR11,"{(readshort{1496}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2225}<InstanceType-Parameter{400}>)}",1,"CR14 [readshort],"
107,VOD3,"CR14 [getinterblock1]",CR14,"{(getinterblock1{2139}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2225}<InstanceType-Parameter{400}>)}",1,"CR11 [getinterblock1],"
108,VOD3,"CR14 [ServerSelectListener2]",CR14,"{(ServerSelectListener2{2355}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2225}<InstanceType-Parameter{400}>)}",1,"CR11 [ServerSelectListener2],"
109,VOD3,"CR11 [isConnected]",CR11,"{(isConnected{1406}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2225}<InstanceType-Parameter{400}>)}",1,"CR14 [isConnected],"
118,VOD3,"CR14 [main]",CR14,"{(main{2244}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2225}<InstanceType-Parameter{400}>)}",1,"CR11 [main],"
122,VOD3,"CR11 [getinterblock]",CR11,"{(getinterblock{2137}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2225}<InstanceType-Parameter{400}>)}",1,"CR14 [getinterblock],"
148,VOD3,"CR11 [getMV]",CR11,"{(getMV{2133}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2227}<InstanceType-Parameter{400}>)}",1,"CR14 [getMV],"
150,VOD3,"CR14 [getforward_r_size]",CR14,"{(getforward_r_size{1969}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2227}<InstanceType-Parameter{400}>)}",1,"CR11 [getforward_r_size],"
153,VOD3,"CR14 [setmovie]",CR14,"{(setmovie{2304}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2231}<InstanceType-Parameter{400}>)}",1,"CR11 [setmovie],"
157,VOD3,"CR11 [isEnabled]",CR11,"{(isEnabled{2535}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2231}<InstanceType-Parameter{400}>)}",1,"CR14 [isEnabled],"
162,VOD3,"CR11 [readbyte]",CR11,"{(readbyte{1492}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2231}<InstanceType-Parameter{400}>)}",1,"CR14 [readbyte],"
165,VOD3,"CR14 [main]",CR14,"{(main{1389}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2231}<InstanceType-Parameter{400}>)}",1,"CR11 [main],"
169,VOD3,"CR11 [readbit]",CR11,"{(readbit{1485}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2231}<InstanceType-Parameter{400}>)}",1,"CR14 [readbit],"
178,VOD3,"CR14 [fast_fidct64_rowcol]",CR14,"{(fast_fidct64_rowcol{1826}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2231}<InstanceType-Parameter{400}>)}",1,"CR11 [fast_fidct64_rowcol],"
187,VOD3,"CR14 [newslice]",CR14,"{(newslice{1982}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2231}<InstanceType-Parameter{400}>)}",1,"CR11 [newslice],"
203,VOD3,"CR14 [VODClientListener4]",CR14,"{(VODClientListener4{2255}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2258}<InstanceType-Parameter{400}>)}",1,"CR11 [VODClientListener4],"
205,VOD3,"CR14 [readint]",CR14,"{(readint{1494}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2258}<InstanceType-Parameter{400}>)}",1,"CR11 [readint],"
210,VOD3,"CR14 [DataStore]",CR14,"{(DataStore{1947}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2258}<InstanceType-Parameter{400}>)}",1,"CR11 [DataStore],"
214,VOD3,"CR11 [getstream_url]",CR11,"{(getstream_url{1343}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2268}<InstanceType-Parameter{400}>)}",1,"CR14 [getstream_url],"
216,VOD3,"CR14 [ListFrameListener1]",CR14,"{(ListFrameListener1{2573}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2268}<InstanceType-Parameter{400}>)}",1,"CR11 [ListFrameListener1],"
230,VOD3,"CR11 [getdescription]",CR11,"{(getdescription{1337}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2268}<InstanceType-Parameter{400}>)}",1,"CR14 [getdescription],"
231,VOD3,"CR14 [terminateConnection]",CR14,"{(terminateConnection{1404}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2268}<InstanceType-Parameter{400}>)}",1,"CR11 [terminateConnection],"
241,VOD3,"CR14 [read_picture]",CR14,"{(read_picture{2170}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2268}<InstanceType-Parameter{400}>)}",1,"CR11 [read_picture],"
255,VOD3,"CR14 [exchangepicture]",CR14,"{(exchangepicture{1863}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2268}<InstanceType-Parameter{400}>)}",1,"CR11 [exchangepicture],"
259,VOD3,"CR11 [flushbits]",CR11,"{(flushbits{1473}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2268}<InstanceType-Parameter{400}>)}",1,"CR14 [flushbits],"
264,VOD3,"CR11 [setButton]",CR11,"{(setButton{2556}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2268}<InstanceType-Parameter{400}>)}",1,"CR14 [setButton],"
277,VOD3,"CR14 [setratecontrol]",CR14,"{(setratecontrol{2213}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2268}<InstanceType-Parameter{400}>)}",1,"CR11 [setratecontrol],"
295,VOD3,"CR11 [getPMBtype]",CR11,"{(getPMBtype{2135}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2268}<InstanceType-Parameter{400}>)}",1,"CR14 [getPMBtype],"
296,VOD3,"CR14 [flushaligned]",CR14,"{(flushaligned{1471}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2268}<InstanceType-Parameter{400}>)}",1,"CR11 [flushaligned],"
311,VOD3,"CR14 [getDCchrom]",CR14,"{(getDCchrom{2450}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2278}<InstanceType-Parameter{400}>)}",1,"CR11 [getDCchrom],"
312,VOD3,"CR11 [getnumofpic]",CR11,"{(getnumofpic{2187}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2278}<InstanceType-Parameter{400}>)}",1,"CR14 [getnumofpic],"
325,VOD3,"CR11 [setratecontrol]",CR11,"{(setratecontrol{1995}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2278}<InstanceType-Parameter{400}>)}",1,"CR14 [setratecontrol],"
326,VOD3,"CR14 [setsequenceheader]",CR14,"{(setsequenceheader{1997}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2278}<InstanceType-Parameter{400}>)}",1,"CR11 [setsequenceheader],"
336,VOD3,"CR11 [changeserver]",CR11,"{(changeserver{2323}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2278}<InstanceType-Parameter{400}>)}",1,"CR14 [changeserver],"
366,VOD3,"CR11 [is_nextslice]",CR11,"{(is_nextslice{2146}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2288}<InstanceType-Parameter{400}>)}",1,"CR14 [is_nextslice],"
368,VOD3,"CR14 [addscreen_shut]",CR14,"{(addscreen_shut{1331}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2288}<InstanceType-Parameter{400}>)}",1,"CR11 [addscreen_shut],"
376,VOD3,"CR14 [setpictureheader]",CR14,"{(setpictureheader{1993}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2288}<InstanceType-Parameter{400}>)}",1,"CR11 [setpictureheader],"
381,VOD3,"CR14 [read_slice]",CR14,"{(read_slice{2155}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2302}<InstanceType-Parameter{400}>)}",1,"CR11 [read_slice],"
413,VOD3,"CR14 [setmacroheader]",CR14,"{(setmacroheader{1989}<InstanceType-Operation{380}>(OperationType).ownedParameter Add Instance-actionEvent{2302}<InstanceType-Parameter{400}>)}",1,"CR11 [setmacroheader],"
664,iTalks,"CR04 []",CR04,"{(_dataQueue{1599}<InstanceType-Property{359}>(PropertyType).aggregation = Instance-composite{556}<InstanceType-AggregationKind{555}>), (composite{557}<InstanceType-AggregationKind{555}>(AggregationKindType).name = composite)}",1,"CR06 [_dataQueueEntry],"
