idcrs,model_name,name,context,def,number_of_dependencies,dependencies
1,VOD3,CR01,<InstanceType-Message{847}>,"self.receiveEvent.asType(<root/types/UMLLoader3/InteractionFragment>).covered->forAll(r|r.represents.type.isTypeOf(<root/types/UMLLoader3/Class>) implies r.represents.type.asType(<root/types/UMLLoader3/Class>).ownedOperation->exists(op| op.name=self.name))",10,"CR13 (horizontal), && CR19 (horizontal), && CR27 (horizontal), && CR15 (horizontal), && CR26 (horizontal), && CR18 (horizontal), && CR17 (horizontal), && CR16 (horizontal), && CR09 (horizontal), && CR20 (horizontal), &&"
2,VOD3,CR02,<InstanceType-Association{523}>,"self.memberEnd.size() > 0 implies self.memberEnd->forAll(p | p.type <> null implies p.type.namespace = self.namespace)",3,"CR03 (horizontal), && CR11 (horizontal), && CR04 (horizontal), &&"
3,VOD3,CR03,<InstanceType-Association{523}>,"self.memberEnd->forAll(p1,p2 : <root/types/UMLLoader3/Property>| p1 <> p2 implies p1.name <> p2.name)",3,"CR05 (horizontal), && CR02 (horizontal), && CR04 (horizontal), &&"
4,VOD3,CR04,<InstanceType-Association{523}>,"self.memberEnd->size() > 0 implies self.memberEnd->select(p | p.aggregation.name = 'composite')->size() <= 1 or self.memberEnd->select(m | m.aggregation.name = 'shared')->size() <= 1",3,"CR06 (horizontal), && CR02 (horizontal), && CR03 (horizontal), &&"
5,VOD3,CR05,<InstanceType-Class{379}>,"self.ownedAttribute->forAll(p1,p2:<root/types/UMLLoader3/Property> | p1 <> p2 implies p1.name <> p2.name)",1,"CR03 (horizontal), &&"
6,VOD3,CR06,<InstanceType-Property{359}>,"(self.association <> null and self.aggregation.name='composite') implies (self.upper >= 0 and self.upper <= 1)",2,"CR08 (horizontal), && CR04 (horizontal), &&"
7,VOD3,CR07,<InstanceType-Package{327}>,"self.packagedElement->forAll(e1,e2:<root/types/UMLLoader3/PackageableElement> | (e1 <> e2) and (e1.name <> '' and e2.name <> '') implies (e1.name <> e2.name))",0,"CR07 has no dependencies"
8,VOD3,CR08,<InstanceType-Interface{386}>,"self.ownedAttribute->forAll(pr: <root/types/UMLLoader3/Property>| pr.association <> null or pr.visibility.name = 'public') and self.ownedOperation->forAll(o:<root/types/UMLLoader3/Operation>| o.visibility.name = 'public')",2,"CR06 (horizontal), && CR20 (horizontal), &&"
9,VOD3,CR09,<InstanceType-Class{379}>,"self.ownedOperation->forAll( o1,o2 : <root/types/UMLLoader3/Operation> | o1 <> o2 implies (o1.name <> o2.name or o1.ownedParameter->size() <> o2.ownedParameter->size() or o1.ownedParameter->exists(t1:<root/types/UMLLoader3/Type> | o2.ownedParameter->excludes(t1)) or o2.ownedParameter->exists(t2:<root/types/UMLLoader3/Type> | o1.ownedParameter->excludes(t2))))",9,"CR13 (horizontal), && CR01 (horizontal), && CR14 (horizontal), && CR19 (horizontal), && CR26 (horizontal), && CR11 (horizontal), && CR18 (horizontal), && CR20 (horizontal), && CR10 (horizontal), &&"
10,VOD3,CR10,<InstanceType-Operation{380}>,"self.ownedParameter->forAll(p1,p2:<root/types/UMLLoader3/Parameter>| p1 <> p2 implies p1.name <> p2.name)",3,"CR14 (horizontal), && CR11 (horizontal), && CR09 (horizontal), &&"
11,VOD3,CR11,<InstanceType-Operation{380}>,"self.ownedParameter->forAll(p:<root/types/UMLLoader3/Parameter>|(p.type <> null and self.owner.isTypeOf(<root/types/UMLLoader3/Class>)) implies p.type.namespace = self.owner.asType(<root/types/UMLLoader3/Class>).namespace)",4,"CR14 (horizontal), && CR02 (horizontal), && CR09 (horizontal), && CR10 (horizontal), &&"
