idsmodels,name,size,cres,inconsistencies,cr_dependencies,cre_dependencies,incon_dependencies,cr_depen_time,cre_depen_time,overlaps,conflicts
1,ArchGame,189,448,291,24,445,291,19420,286362,278,1390
2,ATM,202,354,65,24,327,62,19081,212194,272,2304
3,BankApplication,3428,1748,484,24,1464,405,42291,1992887,0,0
4,BiterRobocupClient,2628,2935,776,24,2364,601,24214,5299533,0,0
5,BuildingManagementSystem,2508,3929,1214,24,3537,1167,17164,9072271,20472,2739012
6,BVR,79,106,23,24,75,7,38763,66407,0,0
7,Calendarium21,2508,3929,1214,24,3537,1167,20516,8239650,20472,2739012
8,CEN5064,2704,3228,1708,24,2952,1697,23130,6137075,5484,9690326
9,CourseRegistrationSystem,1211,1701,602,24,1532,565,38100,1676028,50666,236818
10,CurriculumPlanner,617,1206,595,24,1114,586,28183,992337,1418,35632
11,DESI23,1970,2358,546,24,1860,369,30870,3050943,0,0
12,DevSourceSet,1935,1087,362,24,921,356,26389,849990,0,0
13,Dice3,1086,1632,608,24,1464,597,22734,1544266,2424,73980
14,Documents,125,96,14,24,89,14,17621,38952,0,48
15,dSpace,8757,7772,2355,24,6423,1784,19003,32641804,0,0
16,eBullition,446,625,319,24,590,314,16938,399242,644,10472
17,fullAdderV2,88,155,70,24,142,70,26103,91065,130,1370
18,fUML,2445,393,39,24,325,38,20740,250193,0,0
19,HACS,1437,2106,648,24,1926,648,13769,2591687,101302,814198
20,HDCPDefectSeedingSystemLCA,1781,1559,213,24,1175,170,14016,1596400,128,1067584
21,Hotel,425,600,276,24,562,273,29796,401227,204,8160
22,HotelManagementSystem,2245,3502,1121,24,3236,1098,19148,7296478,4826,624582
23,IDM,96,100,13,24,70,3,24768,52532,0,0
24,Inventory,1032,1921,1031,24,1798,1020,29477,2224851,1838,315170
25,iTalks,1949,3549,1076,24,3111,1044,15000,6857128,2860,26484
26,Java,728,685,153,24,378,61,25597,437478,0,0
27,Laberinto,370,552,108,24,324,34,22060,308000,0,0
28,MicrowaveOven,254,329,143,24,298,141,23351,248717,354,28326
29,modelEvaluation,366,233,98,24,202,97,32486,165208,82,14474
30,ModeloCliclo,96,94,8,24,42,2,28208,53096,0,0
31,MVC,382,567,232,24,513,230,25263,342053,330,5400
32,ObstacleRace,3216,3168,932,24,2787,919,24732,5433529,374,5208
33,OGRETEL,420,401,76,24,307,29,38719,299165,0,0
34,oodt07,9823,14510,4053,24,12193,3077,17968,127693815,0,62
35,Opaeum,248,267,26,24,168,0,18653,199751,0,0
36,OPLA,427,376,72,24,200,29,21407,271834,0,0
37,PapyrusTextualDiagramProvider,103,172,35,24,100,9,26421,88224,0,0
38,PProject,575,739,262,24,639,259,27231,461391,176,32560
39,Projet101,560,590,171,24,447,108,44770,378850,0,0
40,SEMonitor,516,851,447,24,803,446,34776,560736,928,18606
41,SimuAscenseurs,452,653,256,24,593,253,37296,410909,132,7656
42,TaxiSystem,4231,2228,534,24,1762,367,27834,2487037,0,34
43,TeleoperatedRobot,1029,1281,290,24,1032,287,24094,1103625,500,4764
44,Twitter,206,372,163,24,331,161,19338,254081,212,4418
45,Vacation,1441,2225,695,24,1979,679,22086,2889711,13494,1291858
46,VOD3,1706,2163,444,24,1620,324,20898,2259776,0,0
47,WordPad,8074,9473,3554,24,8394,3123,15876,48149606,242,1408
48,XVNPI,5754,8990,3448,24,8214,3414,22194,44036203,111462,19786606
