Id,size,cres,CREs_percent,inconsistencies,incon_percent,avg_time_ms
1,9823,14510,12193\bluewhitebar{0.840},4053,3077\redwhitebar{0.759},8.80
2,8757,7772,6423\bluewhitebar{0.826},2355,1784\redwhitebar{0.758},4.20
3,8074,9473,8394\bluewhitebar{0.886},3554,3123\redwhitebar{0.879},5.08
4,5754,8990,8214\bluewhitebar{0.914},3448,3414\redwhitebar{0.990},4.90
5,4231,2228,1762\bluewhitebar{0.791},534,367\redwhitebar{0.687},1.12
6,3428,1748,1464\bluewhitebar{0.838},484,405\redwhitebar{0.837},1.14
7,3216,3168,2787\bluewhitebar{0.880},932,919\redwhitebar{0.986},1.72
8,2704,3228,2952\bluewhitebar{0.914},1708,1697\redwhitebar{0.994},1.90
9,2628,2935,2364\bluewhitebar{0.805},776,601\redwhitebar{0.774},1.81
10,2508,3929,3537\bluewhitebar{0.900},1214,1167\redwhitebar{0.961},2.10
11,2508,3929,3537\bluewhitebar{0.900},1214,1167\redwhitebar{0.961},2.31
12,2445,393,325\bluewhitebar{0.827},39,38\redwhitebar{0.974},0.64
13,2245,3502,3236\bluewhitebar{0.924},1121,1098\redwhitebar{0.979},2.08
14,1970,2358,1860\bluewhitebar{0.789},546,369\redwhitebar{0.676},1.29
15,1949,3549,3111\bluewhitebar{0.877},1076,1044\redwhitebar{0.970},1.93
16,1935,1087,921\bluewhitebar{0.847},362,356\redwhitebar{0.983},0.78
17,1781,1559,1175\bluewhitebar{0.754},213,170\redwhitebar{0.798},1.02
18,1706,2163,1620\bluewhitebar{0.749},444,324\redwhitebar{0.730},1.04
19,1441,2225,1979\bluewhitebar{0.889},695,679\redwhitebar{0.977},1.30
20,1437,2106,1926\bluewhitebar{0.915},648,648\redwhitebar{1.000},1.23
21,1211,1701,1532\bluewhitebar{0.901},602,565\redwhitebar{0.939},0.99
22,1086,1632,1464\bluewhitebar{0.897},608,597\redwhitebar{0.982},0.95
23,1032,1921,1798\bluewhitebar{0.936},1031,1020\redwhitebar{0.989},1.16
24,1029,1281,1032\bluewhitebar{0.806},290,287\redwhitebar{0.990},0.86
25,728,685,378\bluewhitebar{0.552},153,61\redwhitebar{0.399},0.64
26,617,1206,1114\bluewhitebar{0.924},595,586\redwhitebar{0.985},0.82
27,575,739,639\bluewhitebar{0.865},262,259\redwhitebar{0.989},0.62
28,560,590,447\bluewhitebar{0.758},171,108\redwhitebar{0.632},0.64
29,516,851,803\bluewhitebar{0.944},447,446\redwhitebar{0.998},0.66
30,452,653,593\bluewhitebar{0.908},256,253\redwhitebar{0.988},0.63
31,446,625,590\bluewhitebar{0.944},319,314\redwhitebar{0.984},0.64
32,427,376,200\bluewhitebar{0.532},72,29\redwhitebar{0.403},0.72
33,425,600,562\bluewhitebar{0.937},276,273\redwhitebar{0.989},0.67
34,420,401,307\bluewhitebar{0.766},76,29\redwhitebar{0.382},0.75
35,382,567,513\bluewhitebar{0.905},232,230\redwhitebar{0.991},0.60
36,370,552,324\bluewhitebar{0.587},108,34\redwhitebar{0.315},0.56
37,366,233,202\bluewhitebar{0.867},98,97\redwhitebar{0.990},0.71
38,254,329,298\bluewhitebar{0.906},143,141\redwhitebar{0.986},0.76
39,248,267,168\bluewhitebar{0.629},26,0\redwhitebar{0.000},0.75
40,206,372,331\bluewhitebar{0.890},163,161\redwhitebar{0.988},0.68
41,202,354,327\bluewhitebar{0.924},65,62\redwhitebar{0.954},0.60
42,189,448,445\bluewhitebar{0.993},291,291\redwhitebar{1.000},0.64
43,125,96,89\bluewhitebar{0.927},14,14\redwhitebar{1.000},0.41
44,103,172,100\bluewhitebar{0.581},35,9\redwhitebar{0.257},0.51
45,96,94,42\bluewhitebar{0.447},8,2\redwhitebar{0.250},0.56
46,96,100,70\bluewhitebar{0.700},13,3\redwhitebar{0.231},0.53
47,88,155,142\bluewhitebar{0.916},70,70\redwhitebar{1.000},0.59
48,79,106,75\bluewhitebar{0.708},23,7\redwhitebar{0.304},0.63
