cr1,total,max,std,average,total_c,max_c,std_c,average_c
CR24,155685,13,2.61,1.38,16852222,2495,175.13,149.68
CR22,153809,13,2.57,1.31,16070359,299,70,136.41
CR16,14962,12,5.45,4.79,87712,112,20.98,28.09
CR01,14950,12,3.65,1.38,90014,112,16.28,8.33
CR23,1876,1,0.15,0.02,3550384,2495,207.3,46.14
CR27,152,12,5.47,4.00,17761,4038,1227.96,467.39
CR11,121,25,7.15,5.26,716,156,43.5,31.13
CR10,121,25,7.27,9.31,704,156,46.14,54.15
CR13,8,1,0.1,0.01,2497,11,2.87,2.88
CR20,8,1,0.26,0.07,50,4,1.2,0.45
CR02,6,3,0.94,0.33,102,37,11.09,5.67
CR03,6,3,1.41,1.00,78,37,16.97,13.00
CR21,0,0,0,0.00,2768521,299,45.65,33.69
CR17,0,0,0,0.00,120212,112,19.85,43.20
CR18,0,0,0,0.00,8773,16,0.39,1.00
CR26,0,0,0,0.00,17349,4038,1536.05,788.59
CR09,0,0,0,0.00,76,8,2.02,1.09
CR07,0,0,0,0.00,392,44,19.7,21.78
