idrepairs,model_name,cr1,cre1,cr2,cre2,conflicting,overlapping
1,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Recv21]",1,0
2,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [MessageRecv1]",1,0
3,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Send28]",1,0
4,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Send6]",1,0
5,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Send21]",1,0
6,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec2Finish]",1,0
7,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Send17]",1,0
8,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpecStart]",1,0
9,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec8Finish]",1,0
10,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Send13]",1,0
11,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Recv11]",1,0
12,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Recv28]",1,0
13,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec17Start]",1,0
14,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec13Start]",1,0
15,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Send33]",1,0
16,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec3Start]",1,0
17,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Send20]",1,0
18,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Recv16]",1,0
19,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec13]",1,0
20,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Recv15]",1,0
21,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec11]",1,0
22,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Send29]",1,0
23,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Send15]",1,0
24,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpecFinish]",1,0
25,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Recv31]",1,0
26,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec15]",1,0
27,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec7]",1,0
28,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Recv9]",1,0
29,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec2]",1,0
30,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec12Start]",1,0
31,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Recv33]",1,0
32,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec9]",1,0
33,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [MessageRecv2]",1,0
34,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Send18]",1,0
35,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Send23]",1,0
36,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Recv22]",1,0
37,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec5Start]",1,0
38,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec10Finish]",1,0
39,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Recv5]",1,0
40,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec16Finish]",1,0
41,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Recv12]",1,0
42,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec15Finish]",1,0
43,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Send25]",1,0
44,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec]",1,0
45,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Recv20]",1,0
46,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Recv3]",1,0
47,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec0]",1,0
48,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec10]",1,0
49,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Recv17]",1,0
50,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec17Finish]",1,0
51,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec6Finish]",1,0
52,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Recv1]",1,0
53,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec19Finish]",1,0
54,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Recv18]",1,0
55,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec4Finish]",1,0
56,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec10Start]",1,0
57,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec15Start]",1,0
58,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Recv24]",1,0
59,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec9Finish]",1,0
60,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [MessageSend0]",1,0
61,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Send27]",1,0
62,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Recv29]",1,0
63,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec4]",1,0
64,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [ActionExecSpec18]",1,0
65,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Send14]",1,0
66,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Send16]",1,0
67,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Recv27]",1,0
68,ArchGame,CR21,CR23,"CR21 [StateMachine0]","CR23 [Message0Send]",1,0
