idsmodels,total,average,std
1,1515440,4.85,5.54
2,587016,5.20,6.41
3,701320,4.40,7.17
4,577039,5.36,7.22
5,400465,6.10,7.55
6,454282,4.90,6.22
7,447369,5.37,8.44
8,386521,5.49,7.11
9,1996,3.35,3.31
10,325432,7.48,9.48
11,83294,1.71,8.33
12,275699,5.06,6.2
13,558223,10.03,10.13
14,389712,5.15,6.17
15,203314,3.94,5.28
16,155023,5.29,6.82
17,228159,5.30,6.67
18,91330,2.22,2.77
19,173276,4.56,6.31
20,159273,4.78,5.86
21,188594,5.69,8.22
22,219273,4.98,5.33
23,71833,3.93,5.46
24,100725,4.63,4.86
25,88969,4.30,4.55
26,28707,1.94,2.63
27,54879,3.17,4.8
28,76743,4.64,5.2
29,50695,4.11,5.46
30,58674,5.52,6.51
31,48894,3.37,4
32,106973,4.22,4.57
33,64054,3.90,4.58
34,64238,5.03,7.08
35,54736,4.21,5.7
36,59630,3.56,3.74
37,93865,5.79,7.01
38,67175,4.52,5.09
39,54965,3.20,4.89
40,44872,4.17,5.63
41,45652,4.48,5.08
42,62804,3.94,4.63
43,58961,3.52,5.96
44,125222,6.47,7.26
45,53967,4.54,4.86
46,92767,5.13,7.11
47,59279,7.31,6.5
48,53747,5.88,7.75
49,110919,4.86,7.69
50,64297,4.03,4.73
