idsmodels,model_name,avg_n_incon,min_repair,max_repair,avg_repairs,std_repair,min_over,max_over,avg_over,std_over,min_conflicting,max_conflicting,avg_conflicting,std_conflicting,min_shared_locations,max_shared_locations,avg_shared_locations,std_shared_locations
1,Mafia,25.71,1,156,4.85,5.54,0,11,1.31,1.7,0,39,3.39,4.63,0,21,0.07,0.81
2,Shuttle,20.07,1,64,5.20,6.41,0,24,1.50,2.18,0,57,3.91,5.75,0,55,0.12,1.16
3,jacksonCore,23.23,1,132,4.40,7.17,0,21,1.07,1.8,0,116,2.81,5.37,0,43,0.05,0.76
4,gh4a,19.31,1,146,5.36,7.22,0,14,1.65,2.15,0,146,4.02,6.23,0,31,0.12,1.07
5,equalsVerifier,19.29,1,134,6.10,7.55,0,36,1.41,2.43,0,116,4.74,6.99,0,73,0.18,1.38
6,appsensor,22.26,1,337,4.90,6.22,0,12,1.37,1.93,0,337,3.74,5.39,0,25,0.10,1.05
7,arthas,20.49,1,118,5.37,8.44,0,25,1.67,2.88,0,102,4.04,7.19,0,41,0.10,1.06
8,ribbon,19.95,1,64,5.49,7.11,0,25,1.69,2.59,0,58,4.02,6.16,0,43,0.13,1.22
9,PRT451Androidify,13.15,1,8,3.35,3.31,0,3,1.03,0.98,0,6,1.70,2.26,0,6,0.06,0.6
10,parkJava,17.80,1,50,7.48,9.48,0,22,2.78,3.74,0,49,5.56,8.08,0,43,0.21,1.71
11,circuitjs1,17.07,1,248,1.71,8.33,0,6,0.10,0.46,0,54,0.37,2.08,0,14,0.05,0.8
12,safewatchGlobalAndroid,19.39,1,38,5.06,6.2,0,13,1.44,2.03,0,38,3.21,4.88,0,25,0.13,1.03
13,traccar,21.30,1,43,10.03,10.13,0,18,2.59,3.01,0,40,5.95,7.41,0,37,0.11,1.11
14,dbms,22.12,1,46,5.15,6.17,0,15,1.44,2.11,0,46,3.78,5.57,0,31,0.09,0.98
15,buzzAndroid,17.75,1,60,3.94,5.28,0,11,1.04,1.63,0,60,2.66,4.44,0,21,0.11,1.09
16,disruptor,20.31,1,36,5.29,6.82,0,13,1.48,2.39,0,36,3.95,6.09,0,25,0.17,1.41
17,jgitFlow,19.44,1,82,5.30,6.67,0,13,1.53,2.11,0,82,4.01,6.16,0,25,0.16,1.33
18,spadiesProcessor,20.31,1,16,2.22,2.77,0,5,0.38,0.82,0,14,1.05,2.34,0,14,0.09,1.03
19,absmis,18.82,1,86,4.56,6.31,0,12,1.47,2.05,0,86,3.41,5.54,0,21,0.12,1.19
20,LetsChat,17.23,1,60,4.78,5.86,0,16,1.48,1.78,0,60,3.47,4.89,0,26,0.11,1
21,klikkitAndroid,20.38,1,132,5.69,8.22,0,13,1.77,2.55,0,132,4.55,7.45,0,21,0.13,1.23
22,mj,21.25,1,36,4.98,5.33,0,10,1.61,2.14,0,29,3.56,4.82,0,26,0.08,0.94
23,weCareApp,17.21,1,43,3.93,5.46,0,19,1.26,2.21,0,37,2.68,4.71,0,31,0.08,1.01
24,SecureEventsForBerlin,20.59,1,36,4.63,4.86,0,10,1.50,1.65,0,36,3.64,4.63,0,31,0.12,1.19
25,testesPoc,17.73,1,36,4.30,4.55,0,16,1.23,1.5,0,34,3.07,4.08,0,31,0.10,0.92
26,FlappyBird,16.90,1,26,1.94,2.63,0,7,0.35,0.83,0,26,0.85,2.14,0,14,0.05,0.75
27,group8,22.26,1,36,3.17,4.8,0,16,0.91,1.73,0,31,1.99,4.3,0,31,0.06,0.93
28,p2pserver,18.70,1,22,4.64,5.2,0,7,1.50,2.12,0,16,3.74,5.26,0,16,0.09,1
29,propsyBackend,15.24,1,36,4.11,5.46,0,12,1.20,1.83,0,32,3.13,5.15,0,31,0.18,1.42
30,sopraServer,16.80,1,57,5.52,6.51,0,10,1.60,1.94,0,49,4.26,5.93,0,19,0.18,1.41
31,untitledmmo,19.96,1,22,3.37,4,0,10,0.76,1.18,0,19,2.37,3.65,0,16,0.09,0.89
32,sistrancito,21.38,1,22,4.22,4.57,0,10,1.35,1.74,0,22,3.23,4.32,0,19,0.06,0.77
33,listentogether,19.44,1,29,3.90,4.58,0,11,1.20,1.57,0,25,2.64,3.91,0,21,0.11,1.03
34,gizmoball,19.35,1,29,5.03,7.08,0,13,1.61,2.84,0,29,3.61,6.13,0,25,0.09,1.03
35,EyeNeedPAO,17.32,1,29,4.21,5.7,0,12,1.40,2.23,0,26,2.97,5.04,0,19,0.15,1.38
36,MachiavelliSynchronous,20.18,1,26,3.56,3.74,0,7,0.84,1.07,0,26,2.54,3.6,0,14,0.09,1
37,openhrm,20.53,1,29,5.79,7.01,0,12,1.94,2.6,0,29,4.43,6.35,0,25,0.10,1.07
38,MAAO,17.09,1,38,4.52,5.09,0,10,1.41,1.74,0,38,3.60,4.73,0,14,0.09,0.94
39,KEBA,21.01,1,43,3.20,4.89,0,19,0.88,1.78,0,43,2.21,4.49,0,31,0.09,1.03
40,jhipsterSampleApp,15.94,1,36,4.17,5.63,0,12,1.20,1.84,0,32,3.16,5.23,0,25,0.18,1.43
41,GoFit,18.29,1,22,4.48,5.08,0,8,1.37,1.92,0,21,3.39,4.89,0,19,0.16,1.34
42,JavaGame,19.13,1,44,3.94,4.63,0,8,1.10,1.42,0,44,3.07,4.3,0,19,0.11,1.08
43,BankingProject,20.01,1,85,3.52,5.96,0,12,0.96,1.88,0,85,2.09,4.6,0,25,0.08,1
44,Bike3S,20.34,1,76,6.47,7.26,0,12,1.66,2.07,0,76,4.26,6.26,0,25,0.08,1
45,xkgl,15.12,1,29,4.54,4.86,0,9,1.44,1.62,0,29,3.70,4.66,0,25,0.19,1.38
46,umlAthena,21.78,1,74,5.13,7.11,0,14,1.54,2.02,0,74,4.36,6.63,0,25,0.09,0.99
47,bankVault,15.73,1,29,7.31,6.5,0,13,2.49,2.5,0,28,6.30,6.13,0,19,0.37,2.11
