model_id,model_name,model_size,group_type,groups,average,std
1,Mafia,33716,0,6437,2.90,0.76
1,Mafia,33716,1,13635,4.36,17.52
1,Mafia,33716,2,922,120.72,162.67
2,Shuttle,26857,0,5890,2.95,0.81
2,Shuttle,26857,1,8686,4.27,10.62
2,Shuttle,26857,2,1036,32.91,46.51
3,jacksonCore,25513,0,7557,3.17,0.67
3,jacksonCore,25513,1,7748,4.64,17.09
3,jacksonCore,25513,2,787,90.11,108.91
4,gh4a,24599,0,4029,3.00,0.71
4,gh4a,24599,1,8071,4.23,9.84
4,gh4a,24599,2,734,43.60,59.81
5,equalsVerifier,19551,0,6178,3.03,0.72
5,equalsVerifier,19551,1,6430,4.43,9.74
5,equalsVerifier,19551,2,1177,140.01,201.2
6,appsensor,19290,0,5127,2.95,0.81
6,appsensor,19290,1,6079,4.40,10.9
6,appsensor,19290,2,893,36.69,43.02
7,arthas,19266,0,4516,3.01,0.73
7,arthas,19266,1,5658,4.41,11.55
7,arthas,19266,2,604,30.08,47.12
8,ribbon,18307,0,4457,2.93,0.8
8,ribbon,18307,1,5526,4.34,10.81
8,ribbon,18307,2,711,30.27,46.99
9,PRT451Androidify,17979,0,243,2.32,1.33
9,PRT451Androidify,17979,1,64,3.94,7.98
9,PRT451Androidify,17979,2,6,5.33,8.42
10,parkJava,17066,0,3348,2.73,0.89
10,parkJava,17066,1,4399,4.10,7.38
10,parkJava,17066,2,458,15.75,23.79
11,circuitjs1,16572,0,6605,3.31,0.71
11,circuitjs1,16572,1,2995,5.30,20.63
11,circuitjs1,16572,2,354,13.66,30.65
12,safewatchGlobalAndroid,15520,0,2848,3.00,0.74
12,safewatchGlobalAndroid,15520,1,4202,4.31,10.29
12,safewatchGlobalAndroid,15520,2,476,41.74,60.03
13,traccar,15506,0,3364,2.82,0.84
13,traccar,15506,1,4552,4.53,9.06
13,traccar,15506,2,874,85.82,95.76
14,dbms,14461,0,3258,2.95,0.78
14,dbms,14461,1,4821,4.35,14.75
14,dbms,14461,2,567,38.75,56.37
15,buzzAndroid,13897,0,3728,3.10,0.7
15,buzzAndroid,13897,1,4375,4.41,10.3
15,buzzAndroid,13897,2,497,19.57,26.84
