number_of_incon,avg_repairs,std_repair,avg_over,std_over,avg_conflicting,std_conflicting,avg_shared_locations,std_shared_locations
2,4.91,6.6,1.10,1.74,2.92,4.91,2.48,4.76
3,4.12,6.12,0.90,1.53,2.28,4.24,0.09,0.62
4,4.14,6.13,0.96,1.6,2.39,4.38,0.01,0.15
5,4.18,6.16,1.02,1.68,2.51,4.5,0.01,0.11
6,4.22,6.21,1.06,1.73,2.60,4.81,0.01,0.1
7,4.27,6.11,1.11,1.79,2.69,4.74,0.01,0.08
8,4.33,6.12,1.14,1.83,2.77,4.77,0.00,0.07
9,4.37,6.17,1.17,1.88,2.85,4.85,0.00,0.07
10,4.40,6.2,1.19,1.9,2.90,4.92,0.00,0.07
11,4.47,6.26,1.23,1.94,3.00,5.03,0.00,0.07
12,4.51,6.31,1.24,1.96,3.05,5.09,0.00,0.07
13,4.58,6.36,1.28,2,3.13,5.16,0.00,0.07
14,4.63,6.41,1.30,2.03,3.20,5.23,0.00,0.07
15,4.67,6.45,1.33,2.05,3.26,5.29,0.00,0.07
16,4.74,6.51,1.35,2.08,3.33,5.39,0.00,0.06
17,4.79,6.56,1.37,2.11,3.40,5.45,0.00,0.06
18,4.84,6.6,1.39,2.13,3.46,5.51,0.00,0.06
19,4.89,6.64,1.41,2.15,3.52,5.58,0.00,0.06
20,4.94,6.64,1.43,2.15,3.58,5.61,0.00,0.06
21,5.01,6.69,1.46,2.17,3.65,5.66,0.00,0.06
22,5.04,6.69,1.47,2.18,3.70,5.69,0.00,0.06
23,5.09,6.73,1.49,2.2,3.75,5.73,0.00,0.06
24,5.13,6.76,1.51,2.21,3.81,5.81,0.00,0.06
25,5.16,6.78,1.53,2.22,3.84,5.83,0.00,0.06
26,5.19,6.81,1.54,2.23,3.88,5.87,0.00,0.06
27,5.23,6.84,1.56,2.25,3.93,5.92,0.00,0.06
28,5.26,6.86,1.57,2.26,3.97,5.95,0.00,0.06
29,5.30,6.9,1.58,2.28,4.01,5.99,0.00,0.06
30,5.32,6.92,1.59,2.29,4.04,6.02,0.00,0.06
31,5.36,6.95,1.61,2.31,4.08,6.05,0.00,0.06
32,5.41,6.99,1.63,2.32,4.14,6.09,0.00,0.06
33,5.45,7.03,1.65,2.34,4.18,6.14,0.00,0.06
34,5.50,7.06,1.67,2.35,4.24,6.17,0.00,0.06
35,5.54,7.09,1.69,2.36,4.29,6.21,0.00,0.06
36,5.59,7.12,1.71,2.38,4.34,6.24,0.00,0.06
37,5.64,7.16,1.72,2.4,4.39,6.29,0.00,0.06
38,5.63,7.17,1.72,2.4,4.38,6.29,0.00,0.06
39,5.66,7.2,1.74,2.41,4.42,6.33,0.00,0.06
40,5.66,7.22,1.74,2.42,4.43,6.35,0.00,0.06
41,5.69,7.25,1.76,2.43,4.47,6.38,0.00,0.06
42,5.69,7.26,1.76,2.44,4.48,6.4,0.00,0.06
43,5.74,7.3,1.77,2.45,4.53,6.44,0.00,0.06
44,5.77,7.32,1.79,2.46,4.56,6.45,0.00,0.06
45,5.79,7.34,1.79,2.46,4.58,6.47,0.00,0.06
46,5.80,7.34,1.80,2.46,4.60,6.48,0.00,0.06
47,5.85,7.37,1.82,2.48,4.65,6.51,0.00,0.06
48,5.88,7.4,1.84,2.49,4.68,6.54,0.00,0.05
49,5.95,7.46,1.86,2.52,4.76,6.59,0.00,0.05
50,5.98,7.48,1.88,2.53,4.79,6.61,0.00,0.05
51,6.00,7.5,1.88,2.53,4.81,6.63,0.00,0.05
