Workspaces;Instances;Properties;SinglePropertyChanges;CollectionPropertyChanges;Conflicts detected;Time(s)
1;1;1;1;0;0;6.757E-4
1;1;1;10;0;0;6.362E-4
1;1;1;50;0;0;5.207E-4
1;1;1;100;0;0;0.0015112
1;1;5;1;0;0;3.921E-4
1;1;5;10;0;0;8.7E-4
1;1;5;50;0;0;0.0015076
1;1;5;100;0;0;0.0013362
1;1;10;1;0;0;0.0012929
1;1;10;10;0;0;7.518E-4
1;1;10;50;0;0;8.304E-4
1;1;10;100;0;0;0.0018493
1;1;50;1;0;0;6.37E-4
1;1;50;10;0;0;0.0016499
1;1;50;50;0;0;0.0020805
1;1;50;100;0;0;0.0040595
1;5;1;1;0;0;0.0010923
1;5;1;10;0;0;7.675E-4
1;5;1;50;0;0;0.0011891
1;5;1;100;0;0;0.0014392
1;5;5;1;0;0;7.571E-4
1;5;5;10;0;0;0.0012974
1;5;5;50;0;0;0.0011707
1;5;5;100;0;0;0.0027201
1;5;10;1;0;0;7.578E-4
1;5;10;10;0;0;0.0017544
1;5;10;50;0;0;0.0022094
1;5;10;100;0;0;0.004464
1;5;50;1;0;0;0.0016136
1;5;50;10;0;0;0.0035826
1;5;50;50;0;0;0.0079562
1;5;50;100;0;0;0.0117589
1;10;1;1;0;0;9.384E-4
1;10;1;10;0;0;0.0018965
1;10;1;50;0;0;0.0013899
1;10;1;100;0;0;0.0015503
1;10;5;1;0;0;4.839E-4
1;10;5;10;0;0;0.0011549
1;10;5;50;0;0;0.0027576
1;10;5;100;0;0;0.0068973
1;10;10;1;0;0;0.0013434
1;10;10;10;0;0;0.0020322
1;10;10;50;0;0;0.0047733
1;10;10;100;0;0;0.0060023
1;10;50;1;0;0;0.0016869
1;10;50;10;0;0;0.004984
1;10;50;50;0;0;0.0168043
1;10;50;100;0;0;0.0341454
1;50;1;1;0;0;9.267E-4
1;50;1;10;0;0;0.0015774
1;50;1;50;0;0;0.0026383
1;50;1;100;0;0;0.0031933
1;50;5;1;0;0;0.0016137
1;50;5;10;0;0;0.0030927
1;50;5;50;0;0;0.0079629
1;50;5;100;0;0;0.013045
1;50;10;1;0;0;0.0014948
1;50;10;10;0;0;0.0039197
1;50;10;50;0;0;0.0099795
1;50;10;100;0;0;0.029457
1;50;50;1;0;0;0.0022516
1;50;50;10;0;0;0.0160836
1;50;50;50;0;0;0.058557
1;50;50;100;0;0;0.0626152
10;1;1;1;0;9;0.0021836
10;1;1;10;0;9;0.0064336
10;1;1;50;0;9;0.0067412
10;1;1;100;0;9;0.0114461
10;1;5;1;0;45;0.0040408
10;1;5;10;0;45;0.0041572
10;1;5;50;0;45;0.0104801
10;1;5;100;0;45;0.0230066
10;1;10;1;0;90;0.0024172
10;1;10;10;0;90;0.00743
10;1;10;50;0;90;0.0322169
10;1;10;100;0;90;0.0578641
10;1;50;1;0;450;0.0065938
10;1;50;10;0;450;0.0270653
10;1;50;50;0;450;0.191034
10;1;50;100;0;450;0.2082684
10;5;1;1;0;45;0.0029826
10;5;1;10;0;45;0.0053965
10;5;1;50;0;45;0.0134508
10;5;1;100;0;45;0.0174181
10;5;5;1;0;225;0.0060332
10;5;5;10;0;225;0.0111048
10;5;5;50;0;225;0.0726125
10;5;5;100;0;225;0.1421937
10;5;10;1;0;450;0.0051804
10;5;10;10;0;450;0.031191
10;5;10;50;0;450;0.1195005
10;5;10;100;0;450;0.1944895
10;5;50;1;0;2250;0.0202731
10;5;50;10;0;2250;0.1784314
10;5;50;50;0;2250;0.4512916
10;5;50;100;0;2250;0.5917967
10;10;1;1;0;90;0.0032441
10;10;1;10;0;90;0.0059253
10;10;1;50;0;90;0.052874
10;10;1;100;0;90;0.0555381
10;10;5;1;0;450;0.0060785
10;10;5;10;0;450;0.0268535
10;10;5;50;0;450;0.1169527
10;10;5;100;0;450;0.1387785
10;10;10;1;0;900;0.0065468
10;10;10;10;0;900;0.0582955
10;10;10;50;0;900;0.1600056
10;10;10;100;0;900;0.4154449
10;10;50;1;0;4500;0.048069
10;10;50;10;0;4500;0.1562993
10;10;50;50;0;4500;0.5105591
10;10;50;100;0;4500;0.9993416
10;50;1;1;0;450;0.0070318
10;50;1;10;0;450;0.0327043
10;50;1;50;0;450;0.1387327
10;50;1;100;0;450;0.1630552
10;50;5;1;0;2250;0.0358404
10;50;5;10;0;2250;0.1902572
10;50;5;50;0;2250;0.4357354
10;50;5;100;0;2250;0.5857088
10;50;10;1;0;4500;0.0334445
10;50;10;10;0;4500;0.2355527
10;50;10;50;0;4500;0.7293855
10;50;10;100;0;4500;1.1044286
10;50;50;1;0;22500;0.1528282
10;50;50;10;0;22500;0.6280826
10;50;50;50;0;22500;2.9193846
10;50;50;100;0;22500;5.2062468
20;1;1;1;0;19;0.0017016
20;1;1;10;0;19;0.0050565
20;1;1;50;0;19;0.0080434
20;1;1;100;0;19;0.0228016
20;1;5;1;0;95;0.0029061
20;1;5;10;0;95;0.006462
20;1;5;50;0;95;0.0302696
20;1;5;100;0;95;0.0531919
20;1;10;1;0;190;0.0094914
20;1;10;10;0;190;0.0144465
20;1;10;50;0;190;0.0625447
20;1;10;100;0;190;0.1552187
20;1;50;1;0;950;0.0124883
20;1;50;10;0;950;0.0790783
20;1;50;50;0;950;0.1661833
20;1;50;100;0;950;0.4957547
20;5;1;1;0;95;0.00366
20;5;1;10;0;95;0.0074571
20;5;1;50;0;95;0.0326024
20;5;1;100;0;95;0.0658964
20;5;5;1;0;475;0.0059517
20;5;5;10;0;475;0.0360524
20;5;5;50;0;475;0.1293659
20;5;5;100;0;475;0.1418094
20;5;10;1;0;950;0.0145374
20;5;10;10;0;950;0.0808087
20;5;10;50;0;950;0.1652492
20;5;10;100;0;950;0.2900239
20;5;50;1;0;4750;0.0707059
20;5;50;10;0;4750;0.1927837
20;5;50;50;0;4750;1.034491
20;5;50;100;0;4750;2.677645
20;10;1;1;0;190;0.0059832
20;10;1;10;0;190;0.0195271
20;10;1;50;0;190;0.0540181
20;10;1;100;0;190;0.1296185
20;10;5;1;0;950;0.0142928
20;10;5;10;0;950;0.0649227
20;10;5;50;0;950;0.2186412
20;10;5;100;0;950;0.3319262
20;10;10;1;0;1900;0.0303463
20;10;10;10;0;1900;0.1081747
20;10;10;50;0;1900;0.3633169
20;10;10;100;0;1900;0.7771511
20;10;50;1;0;9500;0.1941612
20;10;50;10;0;9500;0.5088681
20;10;50;50;0;9500;2.2525813
20;10;50;100;0;9500;4.8396375
20;50;1;1;0;950;0.0194243
20;50;1;10;0;950;0.0899388
20;50;1;50;0;950;0.1791013
20;50;1;100;0;950;0.5191937
20;50;5;1;0;4750;0.1655298
20;50;5;10;0;4750;0.20027
20;50;5;50;0;4750;0.9426725
20;50;5;100;0;4750;2.3689722
20;50;10;1;0;9500;0.2848506
20;50;10;10;0;9500;0.4915695
20;50;10;50;0;9500;2.2187424
20;50;10;100;0;9500;4.6545069
20;50;50;1;0;47500;0.4759148
20;50;50;10;0;47500;2.8271262
20;50;50;50;0;47500;10.4659134
