Workspaces,Instances,Properties,SinglePropertyChanges,CollectionPropertyChanges,Conflicts detected,Time(s)
1,1,1,0,1,0,4.658E-4
1,1,1,0,10,0,4.188E-4
1,1,1,0,50,0,0.002594
1,1,1,0,100,0,6.418E-4
1,1,5,0,1,0,5.028E-4
1,1,5,0,10,0,6.493E-4
1,1,5,0,50,0,0.0015239
1,1,5,0,100,0,0.001689
1,1,10,0,1,0,8.029E-4
1,1,10,0,10,0,0.0010241
1,1,10,0,50,0,0.0014985
1,1,10,0,100,0,0.0014856
1,1,50,0,1,0,0.0010066
1,1,50,0,10,0,0.0014577
1,1,50,0,50,0,0.0017051
1,1,50,0,100,0,0.0038866
1,5,1,0,1,0,6.162E-4
1,5,1,0,10,0,3.541E-4
1,5,1,0,50,0,0.0011202
1,5,1,0,100,0,0.0030309
1,5,5,0,1,0,8.787E-4
1,5,5,0,10,0,0.0016399
1,5,5,0,50,0,0.0036933
1,5,5,0,100,0,0.0022122
1,5,10,0,1,0,8.773E-4
1,5,10,0,10,0,8.063E-4
1,5,10,0,50,0,0.0020341
1,5,10,0,100,0,0.0038578
1,5,50,0,1,0,0.001691
1,5,50,0,10,0,0.0015191
1,5,50,0,50,0,0.0077637
1,5,50,0,100,0,0.0127845
1,10,1,0,1,0,4.89E-4
1,10,1,0,10,0,0.001221
1,10,1,0,50,0,0.0014442
1,10,1,0,100,0,8.339E-4
1,10,5,0,1,0,5.05E-4
1,10,5,0,10,0,0.0013408
1,10,5,0,50,0,0.0019907
1,10,5,0,100,0,0.0028715
1,10,10,0,1,0,5.468E-4
1,10,10,0,10,0,0.0013557
1,10,10,0,50,0,0.0025307
1,10,10,0,100,0,0.0066732
1,10,50,0,1,0,0.0014846
1,10,50,0,10,0,0.0033048
1,10,50,0,50,0,0.0103955
1,10,50,0,100,0,0.0198661
1,50,1,0,1,0,4.898E-4
1,50,1,0,10,0,0.0011985
1,50,1,0,50,0,0.0018848
1,50,1,0,100,0,0.0024377
1,50,5,0,1,0,0.0012674
1,50,5,0,10,0,0.001814
1,50,5,0,50,0,0.0067334
1,50,5,0,100,0,0.0144035
1,50,10,0,1,0,0.0016204
1,50,10,0,10,0,0.0032254
1,50,10,0,50,0,0.0177728
1,50,10,0,100,0,0.0192159
1,50,50,0,1,0,0.0022633
1,50,50,0,10,0,0.0089939
1,50,50,0,50,0,0.0360025
1,50,50,0,100,0,0.0524352
10,1,1,0,1,9,0.0014925
10,1,1,0,10,9,0.0025129
10,1,1,0,50,9,0.0047342
10,1,1,0,100,9,0.0055424
10,1,5,0,1,45,0.0024449
10,1,5,0,10,45,0.0045332
10,1,5,0,50,45,0.0094462
10,1,5,0,100,45,0.0304789
10,1,10,0,1,90,0.0033653
10,1,10,0,10,90,0.0101756
10,1,10,0,50,90,0.0369629
10,1,10,0,100,90,0.0472073
10,1,50,0,1,450,0.0068688
10,1,50,0,10,450,0.020355
10,1,50,0,50,450,0.0855317
10,1,50,0,100,450,0.116633
10,5,1,0,1,45,0.0021444
10,5,1,0,10,45,0.0036713
10,5,1,0,50,45,0.0086284
10,5,1,0,100,45,0.0145455
10,5,5,0,1,225,0.0051353
