ras,size,user_id
0.4242,2636,4
0.8046,2636,3
1.7635,2636,2
4.8535,2636,0
1.3597,2093,4
2.2986,2093,3
4.6655,2093,2
9.8813,2093,0
0.5820,2796,4
1.4762,2796,3
3.0899,2796,2
9.4101,2796,0
3.6018,1261,4
7.5044,1261,3
12.8407,1261,2
28.7168,1261,0
1.2857,621,4
2.5893,621,3
4.8750,621,2
12.5714,621,0
0.5181,1979,4
0.8442,1979,3
1.8877,1979,2
5.9819,1979,0
0.8624,1100,4
1.5413,1100,3
3.6239,1100,2
8.4037,1100,0
5.4736,8771,0
0.4199,8771,4
0.8995,8771,3
1.8697,8771,2
1.7730,1540,4
3.1081,1540,3
6.6108,1540,2
16.5568,1540,0
0.6452,1257,4
1.1290,1257,3
1.6774,1257,2
5.1613,1257,0
8.8027,92820,0
0.5956,92820,4
1.1651,92820,3
2.3140,92820,2
0.6166,12055,4
1.2047,12055,3
2.5212,12055,2
9.6476,12055,0
2.4717,1464,4
5.6038,1464,3
12.1509,1464,2
24.2642,1464,0
0.5360,11419,4
1.0316,11419,3
2.0970,11419,2
5.1886,11419,0
2.6327,2048,4
5.2806,2048,3
13.0102,2048,2
25.8980,2048,0
0.5614,385,4
0.7544,385,3
2.0351,385,2
5.9298,385,0
1.4156,1064,4
4.9740,1064,3
11.3506,1064,2
24.9870,1064,0
2.4494,15619,2
5.7247,15619,0
0.5896,15619,4
1.2366,15619,3
8.0217,51169,0
0.6106,51169,4
1.2529,51169,3
2.4781,51169,2
0.3969,9853,4
0.7690,9853,3
1.6090,9853,2
5.2106,9853,0
1.4167,292,4
2.1667,292,3
3.7500,292,2
8.5833,292,0
0.4130,3009,4
0.8768,3009,3
1.7319,3009,2
7.3478,3009,0
0.5956,63098,4
1.1845,63098,3
2.4203,63098,2
8.8679,63098,0
0.3448,448,4
1.2759,448,3
3.0517,448,2
9.9828,448,0
2.0000,71,4
2.3333,71,3
2.3333,71,2
9.6667,71,0
1.3846,1466,4
3.2735,1466,3
9.2906,1466,2
18.9744,1466,0
2.7500,204,4
2.9167,204,3
6.6667,204,2
19.0833,204,0
1.5784,5857,4
2.9187,5857,3
6.3686,5857,2
14.6749,5857,0
