repairs,size,percentage_owned
1.1287,51169,50
1.6975,51169,75
2.2667,51169,100
0.5614,51169,25
153.4162,1540,100
149.7027,1540,50
151.7784,1540,75
147.0054,1540,25
1.1476,92820,100
0.2816,92820,25
0.5661,92820,50
0.8569,92820,75
3.4839,1257,75
5.1613,1257,100
1.8387,1257,50
0.6129,1257,25
0.2985,12055,25
0.5914,12055,50
0.8467,12055,75
1.1419,12055,100
64.2925,1464,100
51.6132,1464,25
56.5377,1464,50
60.4906,1464,75
8.3340,11419,75
9.1522,11419,100
4.7731,11419,25
7.0599,11419,50
6.6071,2048,25
10.7959,2048,50
18.1122,2048,75
23.9082,2048,100
6.8740,2636,100
3.4576,2636,25
4.8329,2636,50
5.7763,2636,75
6.1930,385,100
2.3684,385,25
4.2456,385,50
5.1930,385,75
13.0519,1064,50
18.4675,1064,75
25.2208,1064,100
4.5195,1064,25
9.3034,15619,75
10.2161,15619,100
8.0139,15619,50
5.8075,15619,25
18.3244,9853,75
19.4317,9853,100
16.7556,9853,50
12.2216,9853,25
3.9167,292,50
5.8333,292,75
8.5833,292,100
1.5833,292,25
13.6032,2796,75
15.9550,2796,100
9.5820,2796,50
6.8280,2796,25
0.9329,63098,75
1.2495,63098,100
0.6331,63098,50
0.3242,63098,25
6.8406,3009,25
8.3913,3009,50
10.1739,3009,75
11.1304,3009,100
25.1724,448,25
32.3103,448,50
37.3621,448,75
41.4828,448,100
5.4318,8771,75
6.4020,8771,100
2.3731,8771,25
4.1184,8771,50
3.3333,71,50
7.6667,71,75
9.6667,71,100
0.6667,71,25
98.5470,1466,100
89.7692,1466,25
92.2137,1466,50
94.9060,1466,75
419.1667,204,25
421.2500,204,50
425.0000,204,75
427.9167,204,100
26.8633,2093,100
20.2014,2093,25
22.2050,2093,50
24.7446,2093,75
37.8129,5857,75
39.5974,5857,100
30.8336,5857,25
35.9112,5857,50
4.6703,1979,50
5.8188,1979,75
6.8514,1979,100
2.1957,1979,25
27.5357,621,50
30.2500,621,75
33.3036,621,100
20.8036,621,25
3.6055,1100,25
8.0092,1100,50
24.9450,1100,75
33.3945,1100,100
56.5664,1261,75
60.9646,1261,100
49.5841,1261,25
52.7611,1261,50
