ras,ev_time,rep_time,size,name
4.8535,13707443.0000,82.9100,2636,BiterRobocupClient
9.8813,7876785.0000,114.8885,2093,Buil.Management
9.4101,9532291.0000,146.5873,2796,Calendarium
28.7168,3583605.0000,311.9735,1261,CourseRegistration
12.5714,2153676.0000,307.4464,621,CurriculumPlanner
5.9819,14641257.0000,137.2464,1979,DESI
8.4037,1518974.0000,146.5413,1100,Dice
5.4736,138329984.0000,104.1801,8771,dSpace
9.9828,1416050.0000,249.9310,448,eBullition
24.2642,2748504.0000,288.5283,1464,HomeApplianceContr.
24.9870,1821362.0000,222.3636,1064,InventoryandSales
25.8980,9273169.0000,158.0408,2048,iTalks
8.5833,334485.0000,1037.0833,292,MicrowaveOven
5.9298,808097.0000,290.8947,385,MVC
5.2106,33780141.0000,88.6155,9853,oodt
5.1613,2281844.0000,394.1290,1257,TeleoperatedRobot
7.3478,3260305.0000,147.1014,3009,UMLLCAF03aT1
16.5568,3777218.0000,153.7892,1540,IOCF05aT12
19.0833,1348938.0000,902.2500,204,ATM
18.9744,4654391.0000,268.0598,1466,VacationAndSickLeave
5.7247,115382197.0000,33.6377,15619,VInsuranceNetworkFC
9.6667,200072.0000,2495.3333,71,VOD
5.1886,35395935.0000,103.7576,11419,WordPad
14.6749,9465678.0000,136.0340,5857,XVNPI
9.6476,11807275.0000,68.7276,12055,chess
8.0217,116841152.0000,78.5625,51169,gantt
8.8679,89147985.0000,91.9538,63098,itrust
8.8027,154318695.0000,74.5589,92820,jhotdraw
