ras,mes,user_id
0.4750,120,2
0.2277,1392,2
0.6365,1117,2
0.4131,1479,2
1.4443,655,2
0.4849,332,2
0.2230,1045,2
0.3316,576,2
0.2044,4462,2
0.3402,241,2
0.9094,773,2
0.7204,558,2
1.0210,1093,2
0.1845,168,2
0.2322,211,2
0.3123,4989,2
0.0597,653,2
0.0917,1581,2
0.9066,814,2
0.7080,774,2
0.5381,7897,2
0.1321,53,2
0.2687,5798,2
0.6807,2997,2
0.4448,6101,2
0.6999,25688,2
0.4698,31722,2
0.5119,46572,2
0.2276,145,4
0.1223,1349,4
0.3503,1079,4
0.1530,1438,4
0.6185,658,4
0.2040,353,4
0.1412,1013,4
0.1612,583,4
0.0958,4406,4
0.0763,262,4
0.3479,753,4
0.1916,569,4
0.4877,1058,4
0.0929,183,4
0.1416,226,4
0.1614,4951,4
0.0305,656,4
0.0369,1543,4
0.4147,791,4
0.2146,755,4
0.2495,7819,4
0.0857,70,4
0.1384,5750,4
0.2812,2969,4
0.1251,6042,4
0.2014,25468,4
0.1370,31407,4
0.1530,46329,4
0.2713,129,3
0.2387,1311,3
0.5961,1072,3
0.4012,1391,3
1.2810,662,3
0.4434,327,3
0.2328,1001,3
0.2917,576,3
0.2080,4346,3
0.3045,243,3
0.7795,762,3
0.6876,557,3
0.9867,1049,3
0.1503,173,3
0.2009,214,3
0.3171,4882,3
0.0532,658,3
0.0809,1496,3
0.7233,795,3
0.5020,763,3
0.5263,7775,3
0.1228,57,3
0.2694,5687,3
0.5304,2911,3
0.2478,5961,3
0.4120,25552,3
0.2719,31469,3
0.3006,46123,3
