ras,rule_name,exp,user_id
0.3032,CR12,8,4
0.5226,CR12,8,3
1.0903,CR12,8,2
3.0000,CR12,8,0
0.6667,CR9,18,4
1.4667,CR9,18,3
6.6667,CR9,18,2
35.6667,CR9,18,0
0.4759,CR2,6,4
0.9707,CR2,6,3
2.0217,CR2,6,2
10.0453,CR2,6,0
0.4874,CR11,5,4
0.9576,CR11,5,3
1.9400,CR11,5,2
4.8216,CR11,5,0
2.2500,CR5,4,4
3.5833,CR5,4,3
7.8333,CR5,4,2
19.9583,CR5,4,0
0.1250,CR15,1,4
0.2961,CR15,1,3
0.5592,CR15,1,2
2.0000,CR15,1,0
0.6214,CR13,11,4
1.7816,CR13,11,3
3.9272,CR13,11,2
7.7087,CR13,11,0
31.1176,CR7,8,4
66.4706,CR7,8,3
147.1176,CR7,8,2
311.4706,CR7,8,0
1.4496,CR1,5,4
2.9506,CR1,5,3
6.3134,CR1,5,2
13.2028,CR1,5,0
1.0000,CR3,4,4
1.0000,CR3,4,3
2.5000,CR3,4,2
11.0000,CR3,4,0
0.0000,CR8,7,4
0.0000,CR8,7,3
0.0000,CR8,7,2
7.0000,CR8,7,0
1.1637,CR31,2,3
2.3485,CR31,2,2
5.6559,CR31,2,0
0.5811,CR31,2,4
16.1424,CR29,5,0
0.0000,CR29,5,4
0.0000,CR29,5,3
0.0000,CR29,5,2
0.0000,CR27,2,2
2.0000,CR27,2,0
0.0000,CR27,2,4
0.0000,CR27,2,3
0.0000,CR25,2,4
0.0000,CR25,2,3
0.0000,CR25,2,2
2.0000,CR25,2,0
4.5031,CR26,6,4
8.9246,CR26,6,3
17.9590,CR26,6,2
36.4870,CR26,6,0
1.8798,CR23,2,4
3.7766,CR23,2,3
7.3423,CR23,2,2
15.2924,CR23,2,0
0.1479,CR20,2,4
0.3204,CR20,2,3
0.6197,CR20,2,2
3.3310,CR20,2,0
0.0000,CR24,2,4
0.0000,CR24,2,3
0.0000,CR24,2,2
2.0000,CR24,2,0
0.0000,CR22,5,4
0.0000,CR22,5,3
0.0000,CR22,5,2
2.0063,CR22,5,0
0.0000,CR30,2,4
0.0000,CR30,2,3
0.0000,CR30,2,2
2.0000,CR30,2,0
0.0000,CR18,1,4
0.0000,CR18,1,3
0.0000,CR18,1,2
1.0000,CR18,1,0
2.3077,CR10,4,4
4.0000,CR10,4,3
8.6154,CR10,4,2
21.7692,CR10,4,0
0.3600,CR6,7,4
0.6000,CR6,7,3
1.3200,CR6,7,2
4.0000,CR6,7,0
