time,size,type
13707443.0000,2636,0
7876785.0000,2093,0
9532291.0000,2796,0
3583605.0000,1261,0
2153676.0000,621,0
14641257.0000,1979,0
1518974.0000,1100,0
138329984.0000,8771,0
1416050.0000,448,0
2748504.0000,1464,0
1821362.0000,1064,0
9273169.0000,2048,0
334485.0000,292,0
808097.0000,385,0
33780141.0000,9853,0
2281844.0000,1257,0
3260305.0000,3009,0
3777218.0000,1540,0
1348938.0000,204,0
4654391.0000,1466,0
115382197.0000,15619,0
200072.0000,71,0
35395935.0000,11419,0
9465678.0000,5857,0
11807275.0000,12055,0
116841152.0000,51169,0
89147985.0000,63098,0
154318695.0000,92820,0
32252,2636,1
31939,2093,1
55410,2796,1
35253,1261,1
17217,621,1
37880,1979,1
15973,1100,1
104701,8771,1
14496,448,1
30584,1464,1
17122,1064,1
30976,2048,1
12445,292,1
16581,385,1
178383,9853,1
12218,1257,1
20300,3009,1
28451,1540,1
10827,204,1
31363,1466,1
111307,15619,1
7486,71,1
154080,11419,1
71962,5857,1
84260,12055,1
660082,51169,1
664182,63098,1
887251,92820,1
