time,size,type
6216.5274,2636,0
6256.3820,2093,0
3976.7589,2796,0
4468.3354,1261,0
3791.6831,621,0
8230.0489,1979,0
2009.2249,1100,0
24439.9265,8771,0
4425.1563,448,0
2977.7941,1464,0
2251.3745,1064,0
4497.1722,2048,0
2144.1346,292,0
2308.8486,385,0
3117.6872,9853,0
3100.3315,1257,0
2107.5016,3009,0
3800.0181,1540,0
5331.7708,204,0
4129.8944,1466,0
10711.3068,15619,0
2632.5263,71,0
5054.3960,11419,0
2824.7323,5857,0
1955.4944,12055,0
2997.6179,51169,0
2355.5458,63098,0
3235.3284,92820,0
82.9100,2636,1
114.8885,2093,1
146.5873,2796,1
311.9735,1261,1
307.4464,621,1
137.2464,1979,1
146.5413,1100,1
104.1801,8771,1
249.9310,448,1
288.5283,1464,1
222.3636,1064,1
158.0408,2048,1
1037.0833,292,1
290.8947,385,1
88.6155,9853,1
394.1290,1257,1
147.1014,3009,1
153.7892,1540,1
902.2500,204,1
268.0598,1466,1
33.6377,15619,1
2495.3333,71,1
103.7576,11419,1
136.0340,5857,1
68.7276,12055,1
78.5625,51169,1
91.9538,63098,1
74.5589,92820,1

