idsmodels,avg_n_incon,avg_repairs,std_repair,avg_over,std_over,avg_conflicting,std_conflicting,avg_shared_locations,std_shared_locations
1,2.40,15.90,5.65,0.00,0,1.20,0.4,1.20,0.4
3,2.00,20.08,11.5,6.38,5.94,9.77,5.51,9.77,5.51
4,24.53,195.18,166.75,59.56,36.23,125.62,92.34,72.86,70.01
7,2.00,14.82,11.04,7.00,0,5.38,5.47,5.38,5.47
8,4.71,99.12,65.79,11.23,17.36,50.68,28.85,42.82,29.84
10,5.94,100.85,122.31,18.68,19.21,56.92,61.07,44.79,61.31
11,8.67,68.10,55.43,22.24,12.14,35.87,21.69,18.21,15.67
13,2.76,55.40,95.03,7.34,1.71,24.09,42.35,21.73,39.91
15,2.00,22.38,19.17,7.00,0,9.19,9.58,9.19,9.58
17,9.75,235.50,170.5,33.00,31,133.50,68.5,109.27,92.97
19,10.60,109.79,85.96,27.65,13.68,67.72,42.98,44.98,40.55
20,5.29,68.19,73.51,12.68,8.87,37.03,35.27,29.30,35.37
21,3.76,39.16,36.66,8.89,4.33,19.67,17.16,15.44,16.6
22,2.98,23.57,30.03,7.40,3.61,10.23,14.41,7.83,10.06
23,2.33,29.38,16.23,2.70,3.7,15.53,8.31,14.49,8.31
24,2.10,9.53,1.94,5.70,2.47,2.83,1.04,2.83,1.04
26,2.00,26.53,27.01,2.18,2.38,12.87,13.31,12.87,13.31
27,2.00,30.50,29.5,1.00,0,14.00,13,14.00,13
29,2.00,16.42,15.08,2.02,2.25,7.88,7.2,7.88,7.2
30,2.00,29.00,28,1.00,0,14.50,13.5,14.50,13.5
31,2.00,15.10,13.64,2.29,2.47,7.12,6.46,7.12,6.46
33,2.00,11.00,10,1.00,0,5.50,4.5,5.50,4.5
35,2.00,17.80,16.6,2.20,2.4,8.50,8.03,8.50,8.03
37,2.00,43.45,45.53,1.76,2,20.58,21.53,20.58,21.53
38,2.07,19.25,13.28,2.43,2.44,9.85,6.97,9.52,7.02
40,2.00,12.88,11.51,1.54,1.71,6.26,5.33,6.26,5.33
41,2.25,15.75,14.01,5.13,1.96,7.63,7.61,6.63,7.47
42,2.00,3.00,2,1.00,0,1.50,0.5,1.50,0.5
47,2.00,6.76,5.03,1.96,2.2,3.06,1.92,3.06,1.92
