idsmodels,number_of_incon,avg_repairs,std_repair,avg_over,std_over,avg_conflicting,std_conflicting,avg_shared_locations,std_shared_locations
1,2,13.71,5.44,0.00,0,1.29,0.45,1.29,0.45
1,3,21.00,0,0.00,0,1.00,0,1.00,0
1,4,21.00,0,0.00,0,1.00,0,1.00,0
3,2,20.08,11.5,6.38,5.94,9.77,5.51,9.77,5.51
4,2,31.85,74.87,12.38,15.69,17.36,39.61,14.16,37.35
4,3,144.50,144.16,42.00,23.07,92.81,58.99,69.81,70.53
4,4,144.50,144.16,42.54,22.18,93.08,59.44,68.81,70.53
4,5,144.50,144.16,43.08,21.29,93.35,59.88,67.81,70.53
4,6,144.50,144.16,43.62,20.4,93.62,60.32,66.81,70.53
4,7,144.50,144.16,44.15,19.52,93.88,60.77,65.81,70.53
4,8,144.50,144.16,44.69,18.63,94.15,61.21,64.81,70.53
4,9,144.50,144.16,45.23,17.74,94.42,61.65,63.81,70.53
4,10,144.50,144.16,45.77,16.86,94.69,62.1,62.81,70.53
4,11,144.50,144.16,46.31,15.97,94.96,62.54,61.81,70.53
4,12,144.50,144.16,46.85,15.08,95.23,62.99,60.81,70.53
4,13,144.50,144.16,47.38,14.19,95.50,63.43,59.81,70.53
4,14,144.50,144.16,47.92,13.31,95.77,63.87,58.81,70.53
4,15,144.50,144.16,48.46,12.42,96.04,64.32,57.81,70.53
4,16,144.50,144.16,49.00,11.53,96.31,64.76,56.81,70.53
4,17,144.50,144.16,49.54,10.65,96.58,65.2,55.81,70.53
4,18,144.50,144.16,50.08,9.76,96.85,65.65,54.81,70.53
4,19,144.50,144.16,50.62,8.87,97.12,66.09,53.81,70.53
4,20,144.50,144.16,51.15,7.98,97.38,66.53,52.81,70.53
4,21,144.50,144.16,51.69,7.1,97.65,66.98,51.81,70.53
4,22,144.50,144.16,52.23,6.21,97.92,67.42,50.81,70.53
4,23,144.50,144.16,52.77,5.32,98.19,67.86,49.81,70.53
4,24,144.50,144.16,53.31,4.44,98.46,68.31,48.81,70.53
4,25,144.50,144.16,53.85,3.55,98.73,68.75,47.81,70.53
4,26,144.50,144.16,54.38,2.66,99.00,69.2,46.81,70.53
4,27,144.50,144.16,54.92,1.77,99.27,69.64,45.81,70.53
4,28,144.50,144.16,55.46,0.89,99.54,70.08,44.81,70.53
4,29,144.50,144.16,56.00,0,99.81,70.53,43.81,70.53
4,30,382.00,0,58.00,0,217.00,0,159.00,0
4,31,382.00,0,60.00,0,218.00,0,158.00,0
4,32,382.00,0,62.00,0,219.00,0,157.00,0
4,33,382.00,0,64.00,0,220.00,0,156.00,0
4,34,382.00,0,66.00,0,221.00,0,155.00,0
4,35,382.00,0,68.00,0,222.00,0,154.00,0
4,36,382.00,0,70.00,0,223.00,0,153.00,0
4,37,382.00,0,72.00,0,224.00,0,152.00,0
4,38,382.00,0,74.00,0,225.00,0,151.00,0
4,39,382.00,0,76.00,0,226.00,0,150.00,0
4,40,382.00,0,78.00,0,227.00,0,149.00,0
4,41,382.00,0,80.00,0,228.00,0,148.00,0
4,42,382.00,0,82.00,0,229.00,0,147.00,0
4,43,382.00,0,84.00,0,230.00,0,146.00,0
4,44,382.00,0,86.00,0,231.00,0,145.00,0
4,45,382.00,0,88.00,0,232.00,0,144.00,0
4,46,382.00,0,90.00,0,233.00,0,143.00,0
4,47,382.00,0,92.00,0,234.00,0,142.00,0
4,48,382.00,0,94.00,0,235.00,0,141.00,0
4,49,382.00,0,96.00,0,236.00,0,140.00,0
4,50,382.00,0,98.00,0,237.00,0,139.00,0
4,51,382.00,0,100.00,0,238.00,0,138.00,0
4,52,382.00,0,102.00,0,239.00,0,137.00,0
4,53,382.00,0,104.00,0,240.00,0,136.00,0
4,54,382.00,0,106.00,0,241.00,0,135.00,0
4,55,382.00,0,108.00,0,242.00,0,134.00,0
4,56,382.00,0,110.00,0,243.00,0,133.00,0
4,57,382.00,0,112.00,0,244.00,0,132.00,0
4,58,382.00,0,114.00,0,245.00,0,131.00,0
4,59,382.00,0,116.00,0,246.00,0,130.00,0
4,60,382.00,0,118.00,0,247.00,0,129.00,0
4,61,382.00,0,120.00,0,248.00,0,128.00,0
4,62,382.00,0,122.00,0,249.00,0,127.00,0
4,63,382.00,0,124.00,0,250.00,0,126.00,0
4,64,382.00,0,126.00,0,251.00,0,125.00,0
4,65,382.00,0,128.00,0,252.00,0,124.00,0
4,66,382.00,0,130.00,0,253.00,0,123.00,0
4,67,382.00,0,132.00,0,254.00,0,122.00,0
4,68,382.00,0,134.00,0,255.00,0,121.00,0
4,69,382.00,0,136.00,0,256.00,0,120.00,0
4,70,382.00,0,138.00,0,257.00,0,119.00,0
4,71,382.00,0,140.00,0,258.00,0,118.00,0
4,72,382.00,0,142.00,0,259.00,0,117.00,0
4,73,382.00,0,144.00,0,260.00,0,116.00,0
4,74,382.00,0,146.00,0,261.00,0,115.00,0
4,75,382.00,0,148.00,0,262.00,0,114.00,0
4,76,382.00,0,150.00,0,263.00,0,113.00,0
4,77,382.00,0,152.00,0,264.00,0,112.00,0
7,2,14.82,11.04,7.00,0,5.38,5.47,5.38,5.47
8,2,94.42,67.1,2.57,5.03,43.74,29.8,43.52,29.83
8,3,133.43,57.11,18.92,21.53,70.59,13.58,59.14,24.34
8,4,133.43,57.11,20.27,20.6,71.27,14.04,58.14,24.34
8,5,133.43,57.11,21.62,19.66,71.95,14.51,57.14,24.34
8,6,133.43,57.11,22.97,18.72,72.62,14.98,56.14,24.34
8,7,133.43,57.11,24.32,17.79,73.30,15.45,55.14,24.34
8,8,133.43,57.11,25.68,16.85,73.97,15.92,54.14,24.34
8,9,133.43,57.11,27.03,15.92,74.65,16.38,53.14,24.34
