idsmodels,total,average,std
1,159,15.90,5.65
3,522,20.08,11.5
4,940375,195.18,166.75
7,504,14.82,11.04
8,191897,99.12,65.79
10,55670,100.85,122.31
11,60066,68.10,55.43
13,9196,55.40,95.03
15,5820,22.38,19.17
17,15072,235.50,170.5
19,111547,109.79,85.96
20,32595,68.19,73.51
21,9947,39.16,36.66
22,4054,23.57,30.03
23,25854,29.38,16.23
24,572,9.53,1.94
26,12682,26.53,27.01
27,5368,30.50,29.5
29,5650,16.42,15.08
30,3828,29.00,28
31,3080,15.10,13.64
33,2244,11.00,10
35,1958,17.80,16.6
37,12339,43.45,45.53
38,2349,19.25,13.28
40,1442,12.88,11.51
41,252,15.75,14.01
42,834,3.00,2
47,338,6.76,5.03
