crd,change_type,type,time,inconsistencies,cres,crh
CR3B,ExtractMethod,java,8.9133,0,450,1
CR8B,ExtractMethod,java,1.0000,1845,1845,1
CR8B,MoveMethod,java,1.0000,3465,3465,1
CR8B,DeleteMethod,java,1.0000,1530,1530,1
CR8B,RenameField,java,1.0000,18,18,1
CR8B,MoveField,java,1.0000,420,420,1
CR8B,DeleteField,java,1.0000,147,147,1
CR8B,RenameClass,java,1.0000,0,121,1
CR10A,DeleteClass,java,1.0000,3234,3234,1
CR10B,DeleteClass,java,1.0000,18,18,1
CR8B,MoveProperty,uml,1.0000,15,15,1
CR8B,DeleteProperty,uml,1.0000,24,24,1
CR8A,ExtractMethod,java,1.0000,135,135,1
CR8A,MoveMethod,java,1.0000,494,494,1
CR8A,DeleteMethod,java,1.0000,236,236,1
CR8A,MoveField,java,1.0000,132,132,1
CR8A,DeleteField,java,1.0000,129,129,1
CR8A,RenameClass,java,1.0000,3,170,1
CR10B,RenameUMLClass,uml,1.0000,95,95,1
CR11B,RenameUMLClass,uml,1.0000,4,4,1
CR13B,RenameUMLClass,uml,1.0000,4,4,1
CR14B,RenameUMLClass,uml,1.0000,4,4,1
CR5B,RenameUMLClass,uml,1.0000,4,4,1
CR6B,RenameUMLClass,uml,1.0000,4,4,1
CR11A,RenameClass,java,1.0000,8,8,1
CR5A,RenameClass,java,1.0000,8,8,1
CR6A,RenameClass,java,1.0000,8,8,1
