size,model_name,change_type,type,time,inconsistencies,cres,crh
10364,S1,ExtractMethod,java,3.1338,320,411,1
10364,S1,MoveMethod,java,1.0000,584,584,1
10364,S1,DeleteMethod,java,1.0000,255,255,1
10364,S1,RenameField,java,1.0000,9,9,1
10364,S1,MoveField,java,1.0000,54,54,1
10364,S1,DeleteField,java,1.0000,21,21,1
10364,S1,RenameClass,java,1.0000,0,4,1
10364,S1,DeleteClass,java,1.0000,300,300,1
10364,S1,MoveProperty,uml,1.0000,1,1,1
10364,S1,DeleteProperty,uml,1.0000,1,1,1
10525,S2,ExtractMethod,java,2.4374,380,471,1
10525,S2,MoveMethod,java,1.0000,747,747,1
10525,S2,DeleteMethod,java,1.0000,345,345,1
10525,S2,MoveField,java,1.0000,84,84,1
10525,S2,DeleteField,java,1.0000,39,39,1
10525,S2,RenameClass,java,1.0000,0,77,1
10525,S2,DeleteClass,java,1.0000,952,952,1
10525,S2,MoveProperty,uml,1.0000,1,1,1
10525,S2,DeleteProperty,uml,1.0000,3,3,1
10525,S2,RenameUMLClass,uml,1.0000,7,7,1
21166,S3,ExtractMethod,java,8.5000,0,10,1
21166,S3,MoveMethod,java,1.0000,54,54,1
21166,S3,DeleteMethod,java,1.0000,21,21,1
21166,S3,MoveField,java,1.0000,12,12,1
21166,S3,DeleteField,java,1.0000,12,12,1
21166,S3,RenameClass,java,1.0000,2,23,1
21166,S3,DeleteClass,java,1.0000,5,5,1
21166,S3,MoveProperty,uml,1.0000,3,3,1
21166,S3,DeleteProperty,uml,1.0000,3,3,1
21166,S3,RenameUMLClass,uml,1.0000,22,22,1
21061,S4,ExtractMethod,java,2.1000,380,460,1
21061,S4,MoveMethod,java,1.0000,752,752,1
21061,S4,DeleteMethod,java,1.0000,340,340,1
21061,S4,RenameField,java,1.0000,9,9,1
21061,S4,MoveField,java,1.0000,141,141,1
21061,S4,DeleteField,java,1.0000,84,84,1
21061,S4,RenameClass,java,1.0000,10,80,1
21061,S4,DeleteClass,java,1.0000,39,39,1
21061,S4,MoveProperty,uml,1.0000,10,10,1
21061,S4,DeleteProperty,uml,1.0000,13,13,1
21061,S4,RenameUMLClass,uml,1.0000,46,46,1
7550,S5,ExtractMethod,java,2.3630,450,540,1
7550,S5,MoveMethod,java,1.0000,896,896,1
7550,S5,DeleteMethod,java,1.0000,395,395,1
7550,S5,MoveField,java,1.0000,75,75,1
7550,S5,DeleteField,java,1.0000,39,39,1
7550,S5,RenameClass,java,1.0000,6,46,1
7550,S5,DeleteClass,java,1.0000,29,29,1
7550,S5,RenameUMLClass,uml,1.0000,30,30,1
8200,S6,ExtractMethod,java,2.2825,450,538,1
8200,S6,MoveMethod,java,1.0000,926,926,1
8200,S6,DeleteMethod,java,1.0000,410,410,1
8200,S6,MoveField,java,1.0000,186,186,1
8200,S6,DeleteField,java,1.0000,81,81,1
8200,S6,RenameClass,java,1.0000,9,85,1
8200,S6,DeleteClass,java,1.0000,1927,1927,1
8200,S6,DeleteProperty,uml,1.0000,4,4,1
8200,S6,RenameUMLClass,uml,1.0000,10,10,1
