time,model_name,change_type,type,size
16,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
8,S1,ExtractMethod,java,10364
8,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
17,S1,ExtractMethod,java,10364
16,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
12,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
36,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
10,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
8,S1,ExtractMethod,java,10364
9,S1,ExtractMethod,java,10364
26,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
19,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
13,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
10,S1,ExtractMethod,java,10364
10,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
9,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
13,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
10,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
19,S1,ExtractMethod,java,10364
22,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
8,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
9,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
11,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
8,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
8,S1,ExtractMethod,java,10364
14,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
12,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
20,S1,ExtractMethod,java,10364
8,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
12,S1,ExtractMethod,java,10364
12,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
15,S1,ExtractMethod,java,10364
10,S1,ExtractMethod,java,10364
9,S1,ExtractMethod,java,10364
11,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
7,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
7,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
8,S1,ExtractMethod,java,10364
9,S1,ExtractMethod,java,10364
8,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
17,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
16,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
21,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
9,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
9,S1,ExtractMethod,java,10364
10,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
8,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
11,S1,ExtractMethod,java,10364
7,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
8,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
7,S1,ExtractMethod,java,10364
8,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
32,S1,ExtractMethod,java,10364
6,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
8,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
8,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
7,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
9,S1,ExtractMethod,java,10364
7,S1,ExtractMethod,java,10364
8,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
7,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
8,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
13,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
9,S1,ExtractMethod,java,10364
10,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
6,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
7,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
7,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
7,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
7,S1,ExtractMethod,java,10364
7,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
9,S1,ExtractMethod,java,10364
7,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
7,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
7,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
8,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
10,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
9,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
11,S1,ExtractMethod,java,10364
8,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
8,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
7,S1,ExtractMethod,java,10364
9,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
8,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
8,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
9,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
9,S1,ExtractMethod,java,10364
9,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
8,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
9,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
1,S1,ExtractMethod,java,10364
7,S1,ExtractMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
1,S1,MoveMethod,java,10364
