time,model_name,size
10,S1,10364
16,S1,10364
12,S1,10364
17,S1,10364
11,S1,10364
14,S1,10364
15,S1,10364
12,S1,10364
13,S1,10364
29,S1,10364
22,S1,10364
19,S1,10364
27,S1,10364
9,S1,10364
14,S1,10364
15,S1,10364
14,S1,10364
15,S1,10364
17,S1,10364
22,S1,10364
16,S1,10364
11,S1,10364
7,S1,10364
12,S1,10364
12,S1,10364
13,S1,10364
16,S1,10364
10,S1,10364
19,S1,10364
17,S1,10364
20,S1,10364
13,S1,10364
19,S1,10364
15,S1,10364
9,S1,10364
14,S1,10364
12,S1,10364
9,S1,10364
17,S1,10364
11,S1,10364
12,S1,10364
19,S1,10364
12,S1,10364
17,S1,10364
24,S1,10364
9,S1,10364
21,S1,10364
10,S1,10364
14,S1,10364
13,S1,10364
49,S1,10364
6,S1,10364
10,S1,10364
11,S1,10364
42,S1,10364
50,S1,10364
12,S1,10364
10,S1,10364
13,S1,10364
11,S1,10364
16,S1,10364
17,S1,10364
12,S1,10364
14,S1,10364
16,S1,10364
10,S1,10364
11,S1,10364
10,S1,10364
11,S1,10364
19,S1,10364
14,S1,10364
20,S1,10364
19,S1,10364
14,S1,10364
12,S1,10364
22,S1,10364
12,S1,10364
15,S1,10364
11,S1,10364
12,S1,10364
10,S1,10364
17,S1,10364
7,S1,10364
13,S1,10364
12,S1,10364
12,S1,10364
12,S1,10364
12,S1,10364
16,S1,10364
12,S1,10364
15,S1,10364
15,S1,10364
12,S1,10364
11,S1,10364
16,S1,10364
12,S1,10364
12,S1,10364
16,S1,10364
12,S1,10364
16,S1,10364
7,S1,10364
11,S1,10364
20,S1,10364
16,S1,10364
16,S1,10364
9,S1,10364
15,S1,10364
16,S1,10364
11,S1,10364
9,S1,10364
15,S1,10364
16,S1,10364
167,S1,10364
107,S1,10364
76,S1,10364
96,S1,10364
65,S1,10364
62,S1,10364
59,S1,10364
76,S1,10364
66,S1,10364
76,S1,10364
100,S1,10364
91,S1,10364
90,S1,10364
93,S1,10364
118,S1,10364
87,S1,10364
65,S1,10364
72,S1,10364
59,S1,10364
94,S1,10364
80,S1,10364
84,S1,10364
60,S1,10364
66,S1,10364
133,S1,10364
76,S1,10364
65,S1,10364
84,S1,10364
308,S1,10364
263,S1,10364
354,S1,10364
313,S1,10364
300,S1,10364
278,S1,10364
308,S1,10364
216,S1,10364
435,S1,10364
213,S1,10364
288,S1,10364
193,S1,10364
192,S1,10364
184,S1,10364
286,S1,10364
276,S1,10364
234,S1,10364
335,S1,10364
196,S1,10364
185,S1,10364
230,S1,10364
266,S1,10364
261,S1,10364
259,S1,10364
337,S1,10364
340,S1,10364
271,S1,10364
321,S1,10364
107,S1,10364
165,S1,10364
189,S1,10364
109,S1,10364
112,S1,10364
154,S1,10364
132,S1,10364
144,S1,10364
201,S1,10364
144,S1,10364
112,S1,10364
117,S1,10364
128,S1,10364
104,S1,10364
109,S1,10364
105,S1,10364
201,S1,10364
402,S1,10364
270,S1,10364
218,S1,10364
470,S1,10364
312,S1,10364
189,S1,10364
210,S1,10364
167,S1,10364
230,S1,10364
406,S1,10364
430,S1,10364
224,S1,10364
257,S1,10364
366,S1,10364
185,S1,10364
292,S1,10364
297,S1,10364
305,S1,10364
175,S1,10364
259,S1,10364
280,S1,10364
212,S1,10364
215,S1,10364
783,S1,10364
414,S1,10364
225,S1,10364
564,S1,10364
277,S1,10364
175,S1,10364
188,S1,10364
322,S1,10364
133,S1,10364
107,S1,10364
144,S1,10364
214,S1,10364
285,S1,10364
69,S1,10364
211,S1,10364
138,S1,10364
193,S1,10364
112,S1,10364
141,S1,10364
99,S1,10364
95,S1,10364
124,S1,10364
133,S1,10364
172,S1,10364
196,S1,10364
4446,S1,10364
273,S1,10364
302,S1,10364
97,S1,10364
834,S1,10364
366,S1,10364
131,S1,10364
65,S1,10364
420,S1,10364
129,S1,10364
122,S1,10364
161,S1,10364
83,S1,10364
94,S1,10364
151,S1,10364
121,S1,10364
84,S1,10364
93,S1,10364
129,S1,10364
101,S1,10364
82,S1,10364
109,S1,10364
135,S1,10364
101,S1,10364
83,S1,10364
110,S1,10364
109,S1,10364
98,S1,10364
