crd,time,inconsistencies,cres
CR1A,0.05231350,223,622
CR1B,0.04975679,1072,1472
CR2A,0.06791701,824,2157
CR2B,0.05419871,607,1862
CR3A,0.06346244,86,2556
CR3B,0.05216097,6495,9101
CR4A,0.03874116,229,622
CR4B,0.02957133,1078,1472
CR5A,0.85947267,90,622
CR5B,0.38834918,74,1472
CR6A,0.07390354,327,622
CR6B,0.38686821,74,1472
CR7A,0.09686741,1774,2157
CR7B,0.10669817,1491,1862
CR8A,1.61569132,18,622
CR8B,0.61953601,85,1472
CR9A,0.19567919,1722,2556
CR9B,0.09835842,13684,18202
CR10A,0.32148826,1502,2556
CR11A,0.06530547,113,622
CR11B,0.04959783,113,1472
CR12A,0.04072347,32,622
CR12B,0.03572215,32,1472
CR13A,0.10097749,0,622
CR13B,0.07134986,0,1472
CR14A,0.13074277,10,622
CR14B,0.07649253,10,1472
