time,crd
39,CR1A
49,CR1A
36,CR1A
28,CR1A
51,CR1A
78,CR1A
49,CR1A
84,CR1A
56,CR1A
42,CR1A
49,CR1A
29,CR1A
44,CR1A
51,CR1A
43,CR1A
46,CR1A
51,CR1A
71,CR1A
47,CR1A
39,CR1A
28,CR1A
41,CR1A
46,CR1A
26,CR1A
64,CR1A
47,CR1A
191,CR1A
79,CR1A
67,CR1A
47,CR1A
58,CR1A
42,CR1A
28,CR1A
46,CR1A
40,CR1A
38,CR1A
37,CR1A
48,CR1A
28,CR1A
51,CR1A
61,CR1A
31,CR1A
54,CR1A
33,CR1A
46,CR1A
32,CR1A
43,CR1A
51,CR1A
29,CR1A
70,CR1A
43,CR1A
41,CR1A
51,CR1A
42,CR1A
31,CR1A
40,CR1A
60,CR1A
49,CR1A
39,CR1A
55,CR1A
69,CR1A
49,CR1A
51,CR1A
60,CR1A
55,CR1A
62,CR1A
36,CR1A
31,CR1A
94,CR1A
42,CR1A
39,CR1A
30,CR1A
48,CR1A
62,CR1A
29,CR1A
28,CR1A
26,CR1A
46,CR1A
35,CR1A
30,CR1A
49,CR1A
39,CR1A
30,CR1A
49,CR1A
39,CR1A
28,CR1A
35,CR1A
46,CR1A
48,CR1A
33,CR1A
47,CR1A
47,CR1A
41,CR1A
37,CR1A
44,CR1A
27,CR1A
51,CR1A
32,CR1A
53,CR1A
24,CR1A
39,CR1A
38,CR1A
52,CR1A
40,CR1A
39,CR1A
39,CR1A
45,CR1A
31,CR1A
44,CR1A
48,CR1A
33,CR1A
29,CR1A
1034,CR1B
49,CR1B
58,CR1B
51,CR1B
67,CR1B
53,CR1B
64,CR1B
55,CR1B
31,CR1B
55,CR1B
45,CR1B
74,CR1B
46,CR1B
70,CR1B
39,CR1B
40,CR1B
51,CR1B
54,CR1B
46,CR1B
64,CR1B
39,CR1B
27,CR1B
50,CR1B
63,CR1B
46,CR1B
43,CR1B
42,CR1B
33,CR1B
59,CR1B
55,CR1B
91,CR1B
71,CR1B
55,CR1B
33,CR1B
56,CR1B
49,CR1B
39,CR1B
44,CR1B
55,CR1B
60,CR1B
47,CR1B
35,CR1B
26,CR1B
56,CR1B
32,CR1B
49,CR1B
67,CR1B
50,CR1B
38,CR1B
39,CR1B
43,CR1B
30,CR1B
39,CR1B
42,CR1B
60,CR1B
36,CR1B
33,CR1B
31,CR1B
39,CR1B
40,CR1B
29,CR1B
45,CR1B
51,CR1B
41,CR1B
45,CR1B
49,CR1B
47,CR1B
74,CR1B
70,CR1B
71,CR1B
47,CR1B
52,CR1B
49,CR1B
31,CR1B
41,CR1B
58,CR1B
49,CR1B
28,CR1B
39,CR1B
68,CR1B
38,CR1B
49,CR1B
43,CR1B
46,CR1B
37,CR1B
47,CR1B
38,CR1B
60,CR1B
61,CR1B
41,CR1B
30,CR1B
45,CR1B
39,CR1B
30,CR1B
52,CR1B
40,CR1B
32,CR1B
29,CR1B
60,CR1B
37,CR1B
48,CR1B
64,CR1B
76,CR1B
48,CR1B
29,CR1B
42,CR1B
41,CR1B
63,CR1B
40,CR1B
44,CR1B
54,CR1B
40,CR1B
58,CR1B
42,CR1B
30,CR1B
30,CR1B
30,CR1B
52,CR1B
63,CR1B
62,CR1B
52,CR1B
42,CR1B
41,CR1B
36,CR1B
47,CR1B
44,CR1B
44,CR1B
85,CR1B
52,CR1B
39,CR1B
46,CR1B
39,CR1B
28,CR1B
53,CR1B
52,CR1B
47,CR1B
44,CR1B
41,CR1B
59,CR1B
58,CR1B
46,CR1B
47,CR1B
42,CR1B
44,CR1B
34,CR1B
44,CR1B
37,CR1B
63,CR1B
55,CR1B
46,CR1B
44,CR1B
39,CR1B
40,CR1B
33,CR1B
29,CR1B
41,CR1B
28,CR1B
62,CR1B
44,CR1B
37,CR1B
74,CR1B
70,CR1B
45,CR1B
49,CR1B
67,CR1B
37,CR1B
56,CR1B
30,CR1B
33,CR1B
56,CR1B
64,CR1B
47,CR1B
36,CR1B
46,CR1B
50,CR1B
42,CR1B
39,CR1B
45,CR1B
71,CR1B
30,CR1B
58,CR1B
43,CR1B
42,CR1B
28,CR1B
45,CR1B
67,CR1B
43,CR1B
35,CR1B
64,CR1B
82,CR1B
43,CR1B
48,CR1B
30,CR1B
44,CR1B
53,CR1B
278,CR1B
36,CR1B
50,CR1B
30,CR1B
43,CR1B
30,CR1B
52,CR1B
47,CR1B
42,CR1B
35,CR1B
46,CR1B
80,CR1B
56,CR1B
48,CR1B
63,CR1B
47,CR1B
34,CR1B
77,CR1B
53,CR1B
31,CR1B
52,CR1B
58,CR1B
56,CR1B
56,CR1B
47,CR1B
31,CR1B
57,CR1B
29,CR1B
44,CR1B
41,CR1B
41,CR1B
31,CR1B
58,CR1B
49,CR1B
52,CR1B
40,CR1B
66,CR1B
33,CR1B
95,CR1B
73,CR1B
40,CR1B
44,CR1B
49,CR1B
72,CR1B
34,CR1B
51,CR1B
32,CR1B
73,CR1B
54,CR1B
43,CR1B
70,CR1B
55,CR1B
54,CR1B
25,CR1B
34,CR1B
42,CR1B
29,CR1B
47,CR1B
63,CR1B
43,CR1B
42,CR1B
62,CR1B
46,CR1B
43,CR1B
44,CR1B
26,CR1B
59,CR1B
25,CR1B
70,CR1B
48,CR1B
62,CR1B
45,CR1B
41,CR1B
69,CR1B
39,CR1B
39,CR1B
43,CR1B
35,CR1B
45,CR1B
61,CR1B
44,CR1B
50,CR1B
50,CR1B
58,CR1B
53,CR1B
43,CR1B
29,CR1B
93,CR1B
63,CR1B
51,CR1B
42,CR1B
51,CR1B
31,CR1B
59,CR1B
39,CR1B
39,CR1B
30,CR1B
42,CR1B
47,CR1B
45,CR1B
39,CR1B
48,CR1B
58,CR1B
43,CR1B
47,CR1B
55,CR1B
46,CR1B
40,CR1B
51,CR1B
62,CR1B
43,CR1B
76,CR1B
43,CR1B
47,CR1B
50,CR1B
39,CR1B
42,CR1B
57,CR1B
46,CR1B
49,CR2A
95,CR2A
84,CR2A
66,CR2A
66,CR2A
48,CR2A
59,CR2A
33,CR2A
77,CR2A
29,CR2A
59,CR2A
45,CR2A
75,CR2A
39,CR2A
36,CR2A
73,CR2A
45,CR2A
60,CR2A
56,CR2A
58,CR2A
68,CR2A
74,CR2A
36,CR2A
34,CR2A
59,CR2A
60,CR2A
66,CR2A
46,CR2A
45,CR2A
55,CR2A
67,CR2A
33,CR2A
36,CR2A
52,CR2A
47,CR2A
33,CR2A
27,CR2A
51,CR2A
36,CR2A
50,CR2A
51,CR2A
66,CR2A
41,CR2A
61,CR2A
44,CR2A
52,CR2A
72,CR2A
71,CR2A
48,CR2A
51,CR2A
55,CR2A
43,CR2A
60,CR2A
102,CR2A
36,CR2A
60,CR2A
54,CR2A
46,CR2A
73,CR2A
31,CR2A
59,CR2A
55,CR2A
43,CR2A
47,CR2A
62,CR2A
50,CR2A
104,CR2A
38,CR2A
45,CR2A
31,CR2A
49,CR2A
35,CR2A
31,CR2A
60,CR2A
34,CR2A
58,CR2A
33,CR2A
33,CR2A
80,CR2A
28,CR2A
98,CR2A
30,CR2A
51,CR2A
51,CR2A
50,CR2A
36,CR2A
52,CR2A
46,CR2A
83,CR2A
83,CR2A
48,CR2A
46,CR2A
75,CR2A
34,CR2A
46,CR2A
47,CR2A
83,CR2A
47,CR2A
57,CR2A
75,CR2A
52,CR2A
58,CR2A
76,CR2A
50,CR2A
51,CR2A
51,CR2A
55,CR2A
57,CR2A
38,CR2A
69,CR2A
33,CR2A
54,CR2A
49,CR2A
31,CR2A
80,CR2A
65,CR2A
51,CR2A
57,CR2A
60,CR2A
58,CR2A
49,CR2A
46,CR2A
46,CR2A
59,CR2A
38,CR2A
44,CR2A
60,CR2A
40,CR2A
35,CR2A
55,CR2A
49,CR2A
56,CR2A
55,CR2A
45,CR2A
68,CR2A
41,CR2A
27,CR2A
69,CR2A
69,CR2A
60,CR2A
65,CR2A
48,CR2A
75,CR2A
66,CR2A
60,CR2A
43,CR2A
79,CR2A
43,CR2A
49,CR2A
52,CR2A
32,CR2A
43,CR2A
49,CR2A
75,CR2A
43,CR2A
43,CR2A
54,CR2A
58,CR2A
48,CR2A
52,CR2A
68,CR2A
56,CR2A
46,CR2A
56,CR2A
44,CR2A
42,CR2A
173,CR2A
59,CR2A
59,CR2A
63,CR2A
55,CR2A
44,CR2A
51,CR2A
45,CR2A
46,CR2A
51,CR2A
43,CR2A
45,CR2A
49,CR2A
46,CR2A
36,CR2A
42,CR2A
51,CR2A
47,CR2A
51,CR2A
83,CR2A
39,CR2A
75,CR2A
47,CR2A
54,CR2A
63,CR2A
56,CR2A
57,CR2A
61,CR2A
43,CR2A
32,CR2A
30,CR2A
106,CR2A
53,CR2A
73,CR2A
41,CR2A
83,CR2A
111,CR2A
64,CR2A
47,CR2A
38,CR2A
25,CR2A
44,CR2A
54,CR2A
32,CR2A
46,CR2A
32,CR2A
58,CR2A
52,CR2A
176,CR2A
44,CR2A
94,CR2A
27,CR2A
38,CR2A
38,CR2A
48,CR2A
47,CR2A
53,CR2A
32,CR2A
545,CR2A
76,CR2A
59,CR2A
56,CR2A
49,CR2A
29,CR2A
59,CR2A
58,CR2A
48,CR2A
30,CR2A
50,CR2A
80,CR2A
59,CR2A
57,CR2A
37,CR2A
31,CR2A
74,CR2A
45,CR2A
49,CR2A
51,CR2A
43,CR2A
30,CR2A
72,CR2A
57,CR2A
59,CR2A
70,CR2A
27,CR2A
51,CR2A
33,CR2A
51,CR2A
49,CR2A
54,CR2A
38,CR2A
33,CR2A
59,CR2A
29,CR2A
32,CR2A
44,CR2A
57,CR2A
51,CR2A
54,CR2A
44,CR2A
50,CR2A
59,CR2A
44,CR2A
41,CR2A
37,CR2A
59,CR2A
33,CR2A
64,CR2A
35,CR2A
30,CR2A
5723,CR2A
52,CR2A
52,CR2A
45,CR2A
47,CR2A
45,CR2A
45,CR2A
56,CR2A
47,CR2A
47,CR2A
49,CR2A
49,CR2A
70,CR2A
69,CR2A
81,CR2A
49,CR2A
41,CR2A
64,CR2A
31,CR2A
53,CR2A
32,CR2A
44,CR2A
51,CR2A
68,CR2A
39,CR2A
49,CR2A
53,CR2A
46,CR2A
53,CR2A
42,CR2A
45,CR2A
44,CR2A
53,CR2A
49,CR2A
65,CR2A
71,CR2A
53,CR2A
44,CR2A
48,CR2A
47,CR2A
51,CR2A
54,CR2A
59,CR2A
44,CR2A
47,CR2A
49,CR2A
32,CR2A
46,CR2A
48,CR2A
33,CR2A
46,CR2A
39,CR2A
69,CR2A
68,CR2A
50,CR2A
94,CR2A
48,CR2A
43,CR2A
61,CR2A
48,CR2A
70,CR2A
36,CR2A
30,CR2A
146,CR2A
63,CR2A
57,CR2A
44,CR2A
56,CR2A
45,CR2A
58,CR2A
43,CR2A
52,CR2A
46,CR2A
29,CR2A
28,CR2A
50,CR2A
59,CR2A
