,ApoBot,ApoCommando,ApoDefence,ApoIcarus,ApoMarc,ApoNotSoSimple,ApoPongBeat,ApoRelax,ApoSimple,ApoSimpleSudoku,ApoSlitherLink,ApoStarz,TutorVolley,ApoClock,ApoDice,ApoMonoAndroid,ApoSnake,BitsEngineAndroid,myTreasureAndroid
ApoBot,47,27,7,16,0,0,0,7,27,26,33,28,4,9,9,8,8,5,10
ApoCommando,27,96,9,25,0,0,0,9,40,37,32,29,4,9,11,9,10,7,10
ApoDefence,7,9,85,0,0,0,0,8,11,9,10,7,4,5,7,5,6,7,7
ApoIcarus,16,25,0,59,14,15,14,9,21,20,16,15,0,2,2,2,2,1,2
ApoMarc,0,0,0,14,51,32,35,28,0,0,0,0,0,0,0,0,0,0,0
ApoNotSoSimple,0,0,0,15,32,63,35,26,0,0,0,0,0,0,0,0,0,0,0
ApoPongBeat,0,0,0,14,35,35,67,30,0,0,0,0,0,0,0,0,0,0,0
ApoRelax,7,9,8,9,28,26,30,70,9,9,9,8,4,4,6,5,6,7,6
ApoSimple,27,40,11,21,0,0,0,9,102,38,43,29,4,10,11,10,11,7,11
ApoSimpleSudoku,26,37,9,20,0,0,0,9,38,49,33,28,4,11,13,11,12,7,10
ApoSlitherLink,33,32,10,16,0,0,0,9,43,33,59,32,4,9,10,10,11,7,10
ApoStarz,28,29,7,15,0,0,0,8,29,28,32,44,4,7,8,8,8,6,9
TutorVolley,4,4,4,0,0,0,0,4,4,4,4,4,5,3,3,3,3,3,4
ApoClock,9,9,5,2,0,0,0,4,10,11,9,7,3,30,20,22,21,5,20
ApoDice,9,11,7,2,0,0,0,6,11,13,10,8,3,20,22,16,17,6,13
ApoMonoAndroid,8,9,5,2,0,0,0,5,10,11,10,8,3,22,16,46,26,6,20
ApoSnake,8,10,6,2,0,0,0,6,11,12,11,8,3,21,17,26,26,6,15
BitsEngineAndroid,5,7,7,1,0,0,0,7,7,7,7,6,3,5,6,6,6,145,18
myTreasureAndroid,10,10,7,2,0,0,0,6,11,10,10,9,4,20,13,20,15,18,30
