system_name,CR1,CR2,CR3,CR4,CR5,CR6
ApoBot,3,8,4,24,0,8
ApoCommando,4,14,12,54,0,12
ApoDefence,7,10,14,42,0,12
ApoIcarus,2,7,4,36,0,10
ApoMarc,1,7,2,31,0,10
ApoNotSoSimple,3,11,3,35,0,11
ApoPongBeat,2,8,6,38,0,13
ApoRelax,3,9,11,37,0,10
ApoSimple,7,16,10,56,0,13
ApoSimpleSudoku,1,7,3,28,0,10
ApoStarz,3,7,3,22,0,9
TutorVolley,0,0,0,0,0,5
ApoClock,0,2,3,19,0,6
ApoDice,0,2,1,12,0,7
ApoMonoAndroid,2,4,5,30,0,5
ApoSnake,0,2,4,13,0,7
BitsEngineAndroid,5,8,6,114,0,12
myTreasureAndroid,3,3,5,12,0,7
ApoSlitherLink,3,9,8,29,0,10
