crd,cre,instance_type,count
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-getButtonImage<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,49
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-touchedDragged<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,34
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-getButtonImage<InstanceType-Method8}>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method8}>]]",<InstanceType-Method8}>,23
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-drawArc<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,18
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-drawString<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,17
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-getButtonWithImage<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,17
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-onPointerDragged<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,16
"CR6 (Data Class) - A class contains only crude methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-primitive#void<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods->exists(m | not m.name.contains('get') and not m.name.contains('set')),contextType=<InstanceType-Class>]]",<InstanceType-Class>,15
"CR6 (Data Class) - A class contains only crude methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-primitive#boolean<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods->exists(m | not m.name.contains('get') and not m.name.contains('set')),contextType=<InstanceType-Class>]]",<InstanceType-Class>,15
"CR6 (Data Class) - A class contains only crude methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-primitive#int<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods->exists(m | not m.name.contains('get') and not m.name.contains('set')),contextType=<InstanceType-Class>]]",<InstanceType-Class>,15
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoAnimation<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,14
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoButtonText<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,14
"CR6 (Data Class) - A class contains only crude methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-primitive#float<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods->exists(m | not m.name.contains('get') and not m.name.contains('set')),contextType=<InstanceType-Class>]]",<InstanceType-Class>,14
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-render<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,13
"CR2 (Large Class) - A class has many methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoEntity<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]",<InstanceType-Class>,12
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoButton<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,12
"CR3 (Long Methods) - A method contains too many lines of code.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-render<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.statements.size() <= 20,contextType=<InstanceType-Method>]]",<InstanceType-Method>,12
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-fillArc<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,12
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-drawOval<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,12
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoEntity<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,11
"CR6 (Data Class) - A class contains only crude methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-primitive#char<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods->exists(m | not m.name.contains('get') and not m.name.contains('set')),contextType=<InstanceType-Class>]]",<InstanceType-Class>,11
"CR6 (Data Class) - A class contains only crude methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-primitive#double<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods->exists(m | not m.name.contains('get') and not m.name.contains('set')),contextType=<InstanceType-Class>]]",<InstanceType-Class>,10
"CR6 (Data Class) - A class contains only crude methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-primitive#long<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods->exists(m | not m.name.contains('get') and not m.name.contains('set')),contextType=<InstanceType-Class>]]",<InstanceType-Class>,10
"CR6 (Data Class) - A class contains only crude methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-primitive#byte<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods->exists(m | not m.name.contains('get') and not m.name.contains('set')),contextType=<InstanceType-Class>]]",<InstanceType-Class>,9
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-rectangleIntersects<InstanceType-Method8}>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method8}>]]",<InstanceType-Method8}>,9
"CR3 (Long Methods) - A method contains too many lines of code.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-init<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.statements.size() <= 20,contextType=<InstanceType-Method>]]",<InstanceType-Method>,8
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoButtonText<InstanceType-Method8}>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method8}>]]",<InstanceType-Method8}>,8
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoAnimation<InstanceType-Method8}>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method8}>]]",<InstanceType-Method8}>,8
"CR3 (Long Methods) - A method contains too many lines of code.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoSplashScreen<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.statements.size() <= 20,contextType=<InstanceType-Method>]]",<InstanceType-Method>,7
"CR6 (Data Class) - A class contains only crude methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoConstants<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods->exists(m | not m.name.contains('get') and not m.name.contains('set')),contextType=<InstanceType-Class>]]",<InstanceType-Class>,7
"CR3 (Long Methods) - A method contains too many lines of code.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-process<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.statements.size() <= 20,contextType=<InstanceType-Method>]]",<InstanceType-Method>,6
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-getCircleCuts<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,6
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-drawTriangle<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,6
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-drawRoundRect<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,6
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-rectangleIntersects<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,5
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-drawSpeech<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,5
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoEntity<InstanceType-Method8}>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method8}>]]",<InstanceType-Method8}>,5
