repair_generation_time,system_name,size
9953,ApoBot,13537
319,ApoBot,13537
439,ApoBot,13537
533,ApoBot,13537
269,ApoBot,13537
356,ApoBot,13537
275,ApoBot,13537
1073,ApoBot,13537
313,ApoBot,13537
656,ApoBot,13537
308,ApoBot,13537
333,ApoBot,13537
798,ApoBot,13537
364,ApoBot,13537
153,ApoBot,13537
1129,ApoBot,13537
365,ApoBot,13537
338,ApoBot,13537
208,ApoBot,13537
421,ApoBot,13537
244,ApoBot,13537
123,ApoBot,13537
263,ApoBot,13537
221,ApoBot,13537
213,ApoBot,13537
293,ApoBot,13537
202,ApoBot,13537
342,ApoBot,13537
644,ApoBot,13537
472,ApoBot,13537
621,ApoBot,13537
91,ApoBot,13537
159,ApoBot,13537
177,ApoBot,13537
221,ApoBot,13537
188,ApoBot,13537
386,ApoBot,13537
905,ApoBot,13537
182,ApoBot,13537
482,ApoBot,13537
679,ApoBot,13537
223,ApoBot,13537
240,ApoBot,13537
149,ApoBot,13537
110,ApoBot,13537
350,ApoBot,13537
163,ApoBot,13537
9041,ApoCommando,30314
348,ApoCommando,30314
412,ApoCommando,30314
342,ApoCommando,30314
317,ApoCommando,30314
752,ApoCommando,30314
281,ApoCommando,30314
237,ApoCommando,30314
412,ApoCommando,30314
130,ApoCommando,30314
136,ApoCommando,30314
374,ApoCommando,30314
269,ApoCommando,30314
408,ApoCommando,30314
211,ApoCommando,30314
389,ApoCommando,30314
342,ApoCommando,30314
532,ApoCommando,30314
257,ApoCommando,30314
281,ApoCommando,30314
175,ApoCommando,30314
194,ApoCommando,30314
150,ApoCommando,30314
526,ApoCommando,30314
225,ApoCommando,30314
381,ApoCommando,30314
423,ApoCommando,30314
285,ApoCommando,30314
240,ApoCommando,30314
285,ApoCommando,30314
279,ApoCommando,30314
210,ApoCommando,30314
166,ApoCommando,30314
171,ApoCommando,30314
234,ApoCommando,30314
210,ApoCommando,30314
315,ApoCommando,30314
195,ApoCommando,30314
252,ApoCommando,30314
117,ApoCommando,30314
276,ApoCommando,30314
150,ApoCommando,30314
65,ApoCommando,30314
376,ApoCommando,30314
2464,ApoCommando,30314
212,ApoCommando,30314
206,ApoCommando,30314
283,ApoCommando,30314
247,ApoCommando,30314
199,ApoCommando,30314
217,ApoCommando,30314
397,ApoCommando,30314
138,ApoCommando,30314
113,ApoCommando,30314
103,ApoCommando,30314
156,ApoCommando,30314
203,ApoCommando,30314
212,ApoCommando,30314
123,ApoCommando,30314
128,ApoCommando,30314
124,ApoCommando,30314
79,ApoCommando,30314
115,ApoCommando,30314
117,ApoCommando,30314
110,ApoCommando,30314
159,ApoCommando,30314
110,ApoCommando,30314
322,ApoCommando,30314
145,ApoCommando,30314
74,ApoCommando,30314
67,ApoCommando,30314
118,ApoCommando,30314
155,ApoCommando,30314
134,ApoCommando,30314
209,ApoCommando,30314
735,ApoCommando,30314
129,ApoCommando,30314
197,ApoCommando,30314
146,ApoCommando,30314
82,ApoCommando,30314
108,ApoCommando,30314
93,ApoCommando,30314
80,ApoCommando,30314
230,ApoCommando,30314
103,ApoCommando,30314
143,ApoCommando,30314
415,ApoCommando,30314
478,ApoCommando,30314
1481,ApoCommando,30314
361,ApoCommando,30314
167,ApoCommando,30314
880,ApoCommando,30314
300,ApoCommando,30314
398,ApoCommando,30314
166,ApoCommando,30314
173,ApoCommando,30314
7793,ApoDefence,27458
1215,ApoDefence,27458
207,ApoDefence,27458
235,ApoDefence,27458
565,ApoDefence,27458
315,ApoDefence,27458
332,ApoDefence,27458
511,ApoDefence,27458
220,ApoDefence,27458
480,ApoDefence,27458
251,ApoDefence,27458
273,ApoDefence,27458
465,ApoDefence,27458
305,ApoDefence,27458
297,ApoDefence,27458
444,ApoDefence,27458
242,ApoDefence,27458
186,ApoDefence,27458
116,ApoDefence,27458
2351,ApoDefence,27458
280,ApoDefence,27458
576,ApoDefence,27458
323,ApoDefence,27458
249,ApoDefence,27458
546,ApoDefence,27458
8583,ApoDefence,27458
408,ApoDefence,27458
329,ApoDefence,27458
224,ApoDefence,27458
366,ApoDefence,27458
613,ApoDefence,27458
110,ApoDefence,27458
412,ApoDefence,27458
174,ApoDefence,27458
123,ApoDefence,27458
298,ApoDefence,27458
279,ApoDefence,27458
394,ApoDefence,27458
124,ApoDefence,27458
156,ApoDefence,27458
150,ApoDefence,27458
368,ApoDefence,27458
90,ApoDefence,27458
148,ApoDefence,27458
95,ApoDefence,27458
89,ApoDefence,27458
412,ApoDefence,27458
