time,system_name,crd
7,ApoBot,"CR1 (Large Class) - A class has many fields"
659,ApoBot,"CR1 (Large Class) - A class has many fields"
5,ApoBot,"CR1 (Large Class) - A class has many fields"
8,ApoBot,"CR2 (Large Class) - A class has many methods"
7,ApoBot,"CR2 (Large Class) - A class has many methods"
6,ApoBot,"CR2 (Large Class) - A class has many methods"
55,ApoBot,"CR2 (Large Class) - A class has many methods"
6,ApoBot,"CR2 (Large Class) - A class has many methods"
5,ApoBot,"CR2 (Large Class) - A class has many methods"
7,ApoBot,"CR2 (Large Class) - A class has many methods"
53,ApoBot,"CR2 (Large Class) - A class has many methods"
338,ApoBot,"CR3 (Long Methods) - A method contains too many lines of code."
367,ApoBot,"CR3 (Long Methods) - A method contains too many lines of code."
6,ApoBot,"CR3 (Long Methods) - A method contains too many lines of code."
5,ApoBot,"CR3 (Long Methods) - A method contains too many lines of code."
36,ApoBot,"CR4 (Long Parameter List) - A method contains too many parameters."
40,ApoBot,"CR4 (Long Parameter List) - A method contains too many parameters."
46,ApoBot,"CR4 (Long Parameter List) - A method contains too many parameters."
53,ApoBot,"CR4 (Long Parameter List) - A method contains too many parameters."
34,ApoBot,"CR4 (Long Parameter List) - A method contains too many parameters."
49,ApoBot,"CR4 (Long Parameter List) - A method contains too many parameters."
48,ApoBot,"CR4 (Long Parameter List) - A method contains too many parameters."
43,ApoBot,"CR4 (Long Parameter List) - A method contains too many parameters."
47,ApoBot,"CR4 (Long Parameter List) - A method contains too many parameters."
62,ApoBot,"CR4 (Long Parameter List) - A method contains too many parameters."
44,ApoBot,"CR4 (Long Parameter List) - A method contains too many parameters."
85,ApoBot,"CR4 (Long Parameter List) - A method contains too many parameters."
49,ApoBot,"CR4 (Long Parameter List) - A method contains too many parameters."
49,ApoBot,"CR4 (Long Parameter List) - A method contains too many parameters."
33,ApoBot,"CR4 (Long Parameter List) - A method contains too many parameters."
69,ApoBot,"CR4 (Long Parameter List) - A method contains too many parameters."
33,ApoBot,"CR4 (Long Parameter List) - A method contains too many parameters."
50,ApoBot,"CR4 (Long Parameter List) - A method contains too many parameters."
55,ApoBot,"CR4 (Long Parameter List) - A method contains too many parameters."
60,ApoBot,"CR4 (Long Parameter List) - A method contains too many parameters."
48,ApoBot,"CR4 (Long Parameter List) - A method contains too many parameters."
78,ApoBot,"CR4 (Long Parameter List) - A method contains too many parameters."
65,ApoBot,"CR4 (Long Parameter List) - A method contains too many parameters."
32,ApoBot,"CR4 (Long Parameter List) - A method contains too many parameters."
9,ApoBot,"CR7 (Data Class) - A class contains only crude methods"
8,ApoBot,"CR7 (Data Class) - A class contains only crude methods"
