time,system_name,size
7,ApoBot,13537
659,ApoBot,13537
5,ApoBot,13537
8,ApoBot,13537
7,ApoBot,13537
6,ApoBot,13537
55,ApoBot,13537
6,ApoBot,13537
5,ApoBot,13537
7,ApoBot,13537
53,ApoBot,13537
338,ApoBot,13537
367,ApoBot,13537
6,ApoBot,13537
5,ApoBot,13537
36,ApoBot,13537
40,ApoBot,13537
46,ApoBot,13537
53,ApoBot,13537
34,ApoBot,13537
49,ApoBot,13537
48,ApoBot,13537
43,ApoBot,13537
47,ApoBot,13537
62,ApoBot,13537
44,ApoBot,13537
85,ApoBot,13537
49,ApoBot,13537
49,ApoBot,13537
33,ApoBot,13537
69,ApoBot,13537
33,ApoBot,13537
50,ApoBot,13537
55,ApoBot,13537
60,ApoBot,13537
48,ApoBot,13537
78,ApoBot,13537
65,ApoBot,13537
32,ApoBot,13537
9,ApoBot,13537
8,ApoBot,13537
19,ApoBot,13537
6,ApoBot,13537
11,ApoBot,13537
13,ApoBot,13537
7,ApoBot,13537
15,ApoBot,13537
426,ApoCommando,30314
10,ApoCommando,30314
1557,ApoCommando,30314
8,ApoCommando,30314
41,ApoCommando,30314
7,ApoCommando,30314
9,ApoCommando,30314
8,ApoCommando,30314
10,ApoCommando,30314
28,ApoCommando,30314
41,ApoCommando,30314
7,ApoCommando,30314
50,ApoCommando,30314
42,ApoCommando,30314
8,ApoCommando,30314
7,ApoCommando,30314
7,ApoCommando,30314
7,ApoCommando,30314
266,ApoCommando,30314
7,ApoCommando,30314
234,ApoCommando,30314
186,ApoCommando,30314
327,ApoCommando,30314
205,ApoCommando,30314
6,ApoCommando,30314
9,ApoCommando,30314
5,ApoCommando,30314
301,ApoCommando,30314
258,ApoCommando,30314
8,ApoCommando,30314
49,ApoCommando,30314
30,ApoCommando,30314
44,ApoCommando,30314
47,ApoCommando,30314
45,ApoCommando,30314
52,ApoCommando,30314
40,ApoCommando,30314
37,ApoCommando,30314
29,ApoCommando,30314
29,ApoCommando,30314
51,ApoCommando,30314
41,ApoCommando,30314
36,ApoCommando,30314
22,ApoCommando,30314
45,ApoCommando,30314
41,ApoCommando,30314
28,ApoCommando,30314
71,ApoCommando,30314
38,ApoCommando,30314
40,ApoCommando,30314
32,ApoCommando,30314
65,ApoCommando,30314
31,ApoCommando,30314
40,ApoCommando,30314
58,ApoCommando,30314
42,ApoCommando,30314
31,ApoCommando,30314
32,ApoCommando,30314
26,ApoCommando,30314
32,ApoCommando,30314
35,ApoCommando,30314
78,ApoCommando,30314
34,ApoCommando,30314
37,ApoCommando,30314
32,ApoCommando,30314
50,ApoCommando,30314
68,ApoCommando,30314
43,ApoCommando,30314
42,ApoCommando,30314
41,ApoCommando,30314
40,ApoCommando,30314
37,ApoCommando,30314
195,ApoCommando,30314
28,ApoCommando,30314
41,ApoCommando,30314
33,ApoCommando,30314
40,ApoCommando,30314
31,ApoCommando,30314
29,ApoCommando,30314
36,ApoCommando,30314
59,ApoCommando,30314
39,ApoCommando,30314
37,ApoCommando,30314
39,ApoCommando,30314
22,ApoCommando,30314
9,ApoCommando,30314
7,ApoCommando,30314
12,ApoCommando,30314
5,ApoCommando,30314
7,ApoCommando,30314
10,ApoCommando,30314
8,ApoCommando,30314
7,ApoCommando,30314
13,ApoCommando,30314
11,ApoCommando,30314
7,ApoCommando,30314
8,ApoDefence,27458
376,ApoDefence,27458
4,ApoDefence,27458
7,ApoDefence,27458
2177,ApoDefence,27458
540,ApoDefence,27458
4,ApoDefence,27458
5,ApoDefence,27458
4,ApoDefence,27458
12,ApoDefence,27458
7,ApoDefence,27458
5,ApoDefence,27458
4,ApoDefence,27458
36,ApoDefence,27458
5,ApoDefence,27458
6,ApoDefence,27458
42,ApoDefence,27458
6,ApoDefence,27458
289,ApoDefence,27458
222,ApoDefence,27458
7,ApoDefence,27458
7,ApoDefence,27458
8,ApoDefence,27458
259,ApoDefence,27458
20,ApoDefence,27458
4,ApoDefence,27458
6,ApoDefence,27458
4,ApoDefence,27458
4,ApoDefence,27458
168,ApoDefence,27458
6,ApoDefence,27458
62,ApoDefence,27458
35,ApoDefence,27458
69,ApoDefence,27458
25,ApoDefence,27458
49,ApoDefence,27458
41,ApoDefence,27458
41,ApoDefence,27458
44,ApoDefence,27458
22,ApoDefence,27458
52,ApoDefence,27458
34,ApoDefence,27458
34,ApoDefence,27458
67,ApoDefence,27458
25,ApoDefence,27458
50,ApoDefence,27458
35,ApoDefence,27458
27,ApoDefence,27458
25,ApoDefence,27458
22,ApoDefence,27458
57,ApoDefence,27458
38,ApoDefence,27458
30,ApoDefence,27458
19,ApoDefence,27458
38,ApoDefence,27458
52,ApoDefence,27458
29,ApoDefence,27458
45,ApoDefence,27458
56,ApoDefence,27458
69,ApoDefence,27458
31,ApoDefence,27458
51,ApoDefence,27458
31,ApoDefence,27458
24,ApoDefence,27458
19,ApoDefence,27458
27,ApoDefence,27458
19,ApoDefence,27458
44,ApoDefence,27458
30,ApoDefence,27458
54,ApoDefence,27458
23,ApoDefence,27458
36,ApoDefence,27458
25,ApoDefence,27458
6,ApoDefence,27458
5,ApoDefence,27458
11,ApoDefence,27458
5,ApoDefence,27458
7,ApoDefence,27458
7,ApoDefence,27458
7,ApoDefence,27458
11,ApoDefence,27458
5,ApoDefence,27458
11,ApoDefence,27458
8,ApoDefence,27458
6,ApoDefence,27458
1176,ApoIcarus,12577
5,ApoIcarus,12577
7,ApoIcarus,12577
8,ApoIcarus,12577
6,ApoIcarus,12577
29,ApoIcarus,12577
72,ApoIcarus,12577
31,ApoIcarus,12577
22,ApoIcarus,12577
248,ApoIcarus,12577
7,ApoIcarus,12577
416,ApoIcarus,12577
425,ApoIcarus,12577
78,ApoIcarus,12577
37,ApoIcarus,12577
30,ApoIcarus,12577
216,ApoIcarus,12577
38,ApoIcarus,12577
53,ApoIcarus,12577
63,ApoIcarus,12577
65,ApoIcarus,12577
42,ApoIcarus,12577
38,ApoIcarus,12577
42,ApoIcarus,12577
35,ApoIcarus,12577
37,ApoIcarus,12577
36,ApoIcarus,12577
55,ApoIcarus,12577
44,ApoIcarus,12577
41,ApoIcarus,12577
38,ApoIcarus,12577
52,ApoIcarus,12577
71,ApoIcarus,12577
73,ApoIcarus,12577
85,ApoIcarus,12577
39,ApoIcarus,12577
37,ApoIcarus,12577
56,ApoIcarus,12577
32,ApoIcarus,12577
42,ApoIcarus,12577
28,ApoIcarus,12577
61,ApoIcarus,12577
39,ApoIcarus,12577
57,ApoIcarus,12577
58,ApoIcarus,12577
43,ApoIcarus,12577
45,ApoIcarus,12577
40,ApoIcarus,12577
66,ApoIcarus,12577
