time,size,model_name
35,12055,chess
30,12055,chess
32,12055,chess
39,12055,chess
36,12055,chess
31,12055,chess
47,12055,chess
50,12055,chess
92,12055,chess
38,12055,chess
34,12055,chess
114,12055,chess
82,12055,chess
41,12055,chess
89,12055,chess
54,12055,chess
45,12055,chess
55,12055,chess
42,12055,chess
46,12055,chess
53,12055,chess
57,12055,chess
87,12055,chess
52,12055,chess
43,12055,chess
37,12055,chess
40,12055,chess
70,12055,chess
95,12055,chess
60,12055,chess
140,12055,chess
68,12055,chess
58,12055,chess
75,12055,chess
71,12055,chess
110,12055,chess
62,12055,chess
91,12055,chess
97,12055,chess
109,12055,chess
51,12055,chess
59,12055,chess
78,12055,chess
118,12055,chess
48,12055,chess
83,12055,chess
77,12055,chess
98,12055,chess
94,12055,chess
81,12055,chess
127,12055,chess
44,12055,chess
69,12055,chess
67,12055,chess
49,12055,chess
79,12055,chess
103,12055,chess
144,12055,chess
85,12055,chess
177,12055,chess
104,12055,chess
170,12055,chess
115,12055,chess
137,12055,chess
61,12055,chess
64,12055,chess
102,12055,chess
99,12055,chess
101,12055,chess
72,12055,chess
84,12055,chess
96,12055,chess
90,12055,chess
93,12055,chess
86,12055,chess
146,12055,chess
66,12055,chess
88,12055,chess
195,12055,chess
74,12055,chess
56,12055,chess
197,12055,chess
943,12055,chess
138,12055,chess
80,12055,chess
184,12055,chess
63,12055,chess
156,12055,chess
111,12055,chess
222,12055,chess
33,12055,chess
107,12055,chess
123,12055,chess
100,12055,chess
105,12055,chess
113,12055,chess
299,12055,chess
544,12055,chess
121,12055,chess
126,12055,chess
285,12055,chess
129,12055,chess
1248,12055,chess
228,12055,chess
374,12055,chess
180,12055,chess
145,12055,chess
217,12055,chess
159,12055,chess
120,12055,chess
153,12055,chess
108,12055,chess
292,12055,chess
149,12055,chess
73,12055,chess
2007,12055,chess
499,12055,chess
274,12055,chess
185,12055,chess
163,12055,chess
175,12055,chess
346,12055,chess
909,12055,chess
141,12055,chess
1527,12055,chess
389,12055,chess
130,12055,chess
1578,12055,chess
181,12055,chess
151,12055,chess
208,12055,chess
1252,12055,chess
117,12055,chess
131,12055,chess
223,12055,chess
178,12055,chess
124,12055,chess
277,12055,chess
238,12055,chess
202,12055,chess
229,12055,chess
4812,12055,chess
260,12055,chess
122,12055,chess
215,12055,chess
211,12055,chess
106,12055,chess
134,12055,chess
65,12055,chess
174,12055,chess
803,12055,chess
259,12055,chess
354,12055,chess
116,12055,chess
148,12055,chess
262,12055,chess
176,12055,chess
128,12055,chess
188,12055,chess
235,12055,chess
152,12055,chess
294,12055,chess
158,12055,chess
150,12055,chess
250,12055,chess
119,12055,chess
412,12055,chess
870,12055,chess
370,12055,chess
365,12055,chess
303,12055,chess
296,12055,chess
949,12055,chess
320,12055,chess
147,12055,chess
610,12055,chess
191,12055,chess
258,12055,chess
293,12055,chess
167,12055,chess
333,12055,chess
417,12055,chess
420,12055,chess
246,12055,chess
157,12055,chess
1424,12055,chess
253,12055,chess
269,12055,chess
359,12055,chess
502,12055,chess
297,12055,chess
1243,12055,chess
369,12055,chess
218,12055,chess
902,12055,chess
465,12055,chess
169,12055,chess
741,12055,chess
212,12055,chess
172,12055,chess
198,12055,chess
8567,12055,chess
29,51169,gantt
28,51169,gantt
168,51169,gantt
27,51169,gantt
125,51169,gantt
166,51169,gantt
112,51169,gantt
76,51169,gantt
23,51169,gantt
21,51169,gantt
19,51169,gantt
139,51169,gantt
227,51169,gantt
142,51169,gantt
132,51169,gantt
224,51169,gantt
234,51169,gantt
26,51169,gantt
154,51169,gantt
135,51169,gantt
155,51169,gantt
186,51169,gantt
200,51169,gantt
325,51169,gantt
136,51169,gantt
143,51169,gantt
24,51169,gantt
25,51169,gantt
193,51169,gantt
165,51169,gantt
1206,51169,gantt
447,51169,gantt
314,51169,gantt
425,51169,gantt
190,51169,gantt
171,51169,gantt
21991,51169,gantt
203,51169,gantt
3226,51169,gantt
735,51169,gantt
230,51169,gantt
242,51169,gantt
1162,51169,gantt
232,51169,gantt
339,51169,gantt
1621,51169,gantt
266,51169,gantt
901,51169,gantt
885,51169,gantt
267,51169,gantt
271,51169,gantt
282,51169,gantt
642,51169,gantt
1117,51169,gantt
643,51169,gantt
351,51169,gantt
522,51169,gantt
315,51169,gantt
1211,51169,gantt
419,51169,gantt
1227,51169,gantt
560,51169,gantt
307,51169,gantt
1060,51169,gantt
289,51169,gantt
519,51169,gantt
2645,51169,gantt
173,51169,gantt
379,51169,gantt
272,51169,gantt
1330,51169,gantt
225,51169,gantt
2200,51169,gantt
1349,51169,gantt
413,51169,gantt
237,51169,gantt
288,51169,gantt
472,51169,gantt
950,51169,gantt
255,51169,gantt
280,51169,gantt
183,51169,gantt
1313,51169,gantt
1149,51169,gantt
281,51169,gantt
403,51169,gantt
421,51169,gantt
162,51169,gantt
628,51169,gantt
591,51169,gantt
851,51169,gantt
236,51169,gantt
1045,51169,gantt
588,51169,gantt
1286,51169,gantt
219,51169,gantt
304,51169,gantt
2252,51169,gantt
248,51169,gantt
1808,51169,gantt
261,51169,gantt
495,51169,gantt
312,51169,gantt
401,51169,gantt
614,51169,gantt
338,51169,gantt
214,51169,gantt
513,51169,gantt
182,51169,gantt
842,51169,gantt
742,51169,gantt
440,51169,gantt
506,51169,gantt
270,51169,gantt
350,51169,gantt
478,51169,gantt
1262,51169,gantt
416,51169,gantt
133,51169,gantt
1837,51169,gantt
1212,51169,gantt
233,51169,gantt
344,51169,gantt
556,51169,gantt
3359,51169,gantt
473,51169,gantt
207,51169,gantt
251,51169,gantt
342,51169,gantt
1007,51169,gantt
396,51169,gantt
621,51169,gantt
1273,51169,gantt
656,51169,gantt
1098,51169,gantt
245,51169,gantt
254,51169,gantt
427,51169,gantt
21269,51169,gantt
221,51169,gantt
209,51169,gantt
498,51169,gantt
929,51169,gantt
335,51169,gantt
715,51169,gantt
405,51169,gantt
247,51169,gantt
595,51169,gantt
220,51169,gantt
484,51169,gantt
301,51169,gantt
512,51169,gantt
385,51169,gantt
1656,51169,gantt
605,51169,gantt
497,51169,gantt
454,51169,gantt
206,51169,gantt
711,51169,gantt
749,51169,gantt
615,51169,gantt
347,51169,gantt
256,51169,gantt
541,51169,gantt
445,51169,gantt
2043,51169,gantt
265,51169,gantt
441,51169,gantt
583,51169,gantt
322,51169,gantt
477,51169,gantt
566,51169,gantt
393,51169,gantt
316,51169,gantt
187,51169,gantt
423,51169,gantt
771,51169,gantt
15707,51169,gantt
249,51169,gantt
213,51169,gantt
164,51169,gantt
295,51169,gantt
9581,51169,gantt
1099,51169,gantt
653,51169,gantt
6723,51169,gantt
2356,51169,gantt
2526,51169,gantt
