task,type,confidence
T1 ,WR,1
T1 ,WR,2
T1 ,WR,2
T1 ,WR,2
T1 ,WR,2
T1 ,WR,3
T1 ,WR,3
T1 ,WR,3
T1 ,WR,4
T1 ,WR,4
T1 ,WR,4
T1 ,WR,5
T1 ,RR,2
T1 ,RR,2
T1 ,RR,2
T1 ,RR,2
T1 ,RR,3
T1 ,RR,3
T1 ,RR,3
T1 ,RR,3
T1 ,RR,3
T1 ,RR,4
T1 ,RR,4
T1 ,RR,4
T2 ,WR,2
T2 ,WR,3
T2 ,WR,3
T2 ,WR,3
T2 ,WR,4
T2 ,WR,4
T2 ,WR,4
T2 ,WR,4
T2 ,WR,4
T2 ,WR,5
T2 ,WR,5
T2 ,WR,5
T2 ,RR,2
T2 ,RR,3
T2 ,RR,3
T2 ,RR,3
T2 ,RR,3
T2 ,RR,4
T2 ,RR,4
T2 ,RR,4
T2 ,RR,4
T2 ,RR,4
T2 ,RR,4
T2 ,RR,5
T3 ,WR,3
T3 ,WR,3
T3 ,WR,4
T3 ,WR,4
T3 ,WR,4
T3 ,WR,4
T3 ,WR,4
T3 ,WR,4
T3 ,WR,4
T3 ,WR,4
T3 ,WR,5
T3 ,WR,5
T3 ,RR,3
T3 ,RR,3
T3 ,RR,4
T3 ,RR,4
T3 ,RR,4
T3 ,RR,4
T3 ,RR,4
T3 ,RR,4
T3 ,RR,4
T3 ,RR,4
T3 ,RR,4
T3 ,RR,5
T4 ,WR,2
T4 ,WR,3
T4 ,WR,3
T4 ,WR,4
T4 ,WR,4
T4 ,WR,4
T4 ,WR,4
T4 ,WR,4
T4 ,WR,4
T4 ,WR,4
T4 ,WR,5
T4 ,WR,5
T4 ,RR,2
T4 ,RR,2
T4 ,RR,3
T4 ,RR,3
T4 ,RR,3
T4 ,RR,4
T4 ,RR,4
T4 ,RR,4
T4 ,RR,5
T4 ,RR,5
T4 ,RR,5
T4 ,RR,5
T5 ,WR,2
T5 ,WR,2
T5 ,WR,3
T5 ,WR,3
T5 ,WR,3
T5 ,WR,3
T5 ,WR,4
T5 ,WR,4
T5 ,WR,4
T5 ,WR,4
T5 ,WR,4
T5 ,WR,5
T5 ,RR,1
T5 ,RR,3
T5 ,RR,3
T5 ,RR,3
T5 ,RR,3
T5 ,RR,3
T5 ,RR,3
T5 ,RR,4
T5 ,RR,4
T5 ,RR,4
T5 ,RR,4
T5 ,RR,5
T6 ,WR,2
T6 ,WR,2
T6 ,WR,4
T6 ,WR,4
T6 ,WR,4
T6 ,WR,4
T6 ,WR,4
T6 ,WR,4
T6 ,WR,4
T6 ,WR,4
T6 ,WR,5
T6 ,WR,5
T6 ,RR,2
T6 ,RR,3
T6 ,RR,3
T6 ,RR,3
T6 ,RR,3
T6 ,RR,4
T6 ,RR,4
T6 ,RR,4
T6 ,RR,4
T6 ,RR,4
T6 ,RR,5
T6 ,RR,5
T7 ,WR,1
T7 ,WR,1
T7 ,WR,1
T7 ,WR,2
T7 ,WR,2
T7 ,WR,3
T7 ,WR,3
T7 ,WR,3
T7 ,WR,3
T7 ,WR,3
T7 ,WR,4
T7 ,WR,4
T7 ,RR,1
T7 ,RR,2
T7 ,RR,2
T7 ,RR,2
T7 ,RR,2
T7 ,RR,2
T7 ,RR,3
T7 ,RR,3
T7 ,RR,4
T7 ,RR,4
T7 ,RR,4
T7 ,RR,4
T8 ,WR,2
T8 ,WR,3
T8 ,WR,3
T8 ,WR,3
T8 ,WR,3
T8 ,WR,3
T8 ,WR,3
T8 ,WR,3
T8 ,WR,3
T8 ,WR,4
T8 ,WR,4
T8 ,WR,4
T8 ,RR,2
T8 ,RR,3
T8 ,RR,3
T8 ,RR,3
T8 ,RR,3
T8 ,RR,3
T8 ,RR,3
T8 ,RR,3
T8 ,RR,4
T8 ,RR,4
T8 ,RR,4
T8 ,RR,4
