Task Number,Start time,End Time
T1 Class-SequenceEx,10:38:00 AM,10:44:00 AM
T1 Class-SequenceEx,10:36:00 AM,10:41:00 AM
T1 Class-SequenceEx,10:36:00 AM,10:41:00 AM
T1 Class-SequenceEx,10:35:00 AM,10:41:00 AM
T1 Class-SequenceEx,10:41:00 AM,10:44:00 AM
T1 Class-SequenceEx,10:40:00 AM,10:48:00 AM
T1 Class-SequenceEx,10:38:00 AM,10:44:00 AM
T1 Class-SequenceEx,10:38:00 AM,10:47:00 AM
T1 Class-SequenceEx,10:45:00 AM,10:55:00 AM
T1 Class-SequenceEx,10:43:00 AM,11:48:00 AM
T1 Class-SequenceEx,10:52:00 AM,11:00:00 AM
T1 Class-SequenceEx,10:45:00 AM,10:50:00 AM
T1 Class-SequenceEx,10:42:00 AM,10:44:00 AM
T1 Class-SequenceEx,10:46:00 AM,10:49:00 AM
T1 Class-SequenceEx,10:49:00 AM,10:51:00 AM
T1 Class-SequenceEx,10:43:00 AM,10:45:00 AM
T1 Class-SequenceEx,10:53:00 AM,10:58:00 AM
T1 Class-SequenceEx,10:52:00 AM,10:56:00 AM
T1 Class-SequenceEx,10:52:00 AM,10:56:00 AM
T1 Class-SequenceEx,10:45:00 AM,10:48:00 AM
T1 Class-SequenceEx,11:00:00 AM,11:04:00 AM
T1 Class-SequenceEx,11:05:00 AM,11:09:00 AM
T1 Class-SequenceEx,10:49:00 AM,10:51:00 AM
T1 Class-SequenceEx,11:01:00 AM,11:04:00 AM
T2 Class-SequenceAc,10:36:00 AM,10:41:00 AM
T2 Class-SequenceAc,10:36:00 AM,10:40:00 AM
T2 Class-SequenceAc,10:36:00 AM,10:37:00 AM
T2 Class-SequenceAc,10:36:00 AM,10:38:00 AM
T2 Class-SequenceAc,10:45:00 AM,10:50:00 AM
T2 Class-SequenceAc,10:42:00 AM,10:46:00 AM
T2 Class-SequenceAc,10:42:00 AM,10:46:00 AM
T2 Class-SequenceAc,10:41:00 AM,10:48:00 AM
T2 Class-SequenceAc,10:40:00 AM,10:42:00 AM
T2 Class-SequenceAc,10:42:00 AM,10:45:00 AM
T2 Class-SequenceAc,10:46:00 AM,10:49:00 AM
T2 Class-SequenceAc,10:40:00 AM,10:45:00 AM
T2 Class-SequenceAc,10:55:00 AM,11:00:00 AM
T2 Class-SequenceAc,10:48:00 AM,10:52:00 AM
