metric,score,count,group
OD - RR,1,3,All
OD - RR,2,12,All
OD - RR,3,8,All
OD - RR,4,1,All
OD - RR,5,0,All
OD - WR,1,0,All
OD - WR,2,3,All
OD - WR,3,10,All
OD - WR,4,10,All
OD - WR,5,1,All
PF,1,0,All
PF,2,2,All
PF,3,1,All
PF,4,9,All
PF,5,12,All
RD,1,2,All
RD,2,6,All
RD,3,14,All
RD,4,2,All
RD,5,0,All
OD - RR,1,2,G1
OD - RR,2,0,G1
OD - RR,3,3,G1
OD - RR,4,4,G1
OD - RR,5,4,G1
OD - WR,1,4,G1
OD - WR,2,0,G1
OD - WR,3,4,G1
OD - WR,4,0,G1
OD - WR,5,20,G1
PF,1,2,G1
PF,2,2,G1
PF,3,0,G1
PF,4,5,G1
PF,5,3,G1
RD,1,3,G1
RD,2,3,G1
RD,3,3,G1
RD,4,5,G1
RD,5,0,G1
