task,type,difficulty
T1WR,WR,2
T1WR,WR,2
T1WR,WR,3
T1WR,WR,3
T1WR,WR,3
T1WR,WR,3
T1WR,WR,3
T1WR,WR,4
T1WR,WR,4
T1WR,WR,4
T1WR,WR,4
T1WR,WR,4
T1RR,RR,2
T1RR,RR,3
T1RR,RR,3
T1RR,RR,3
T1RR,RR,3
T1RR,RR,3
T1RR,RR,3
T1RR,RR,3
T1RR,RR,4
T1RR,RR,4
T1RR,RR,4
T1RR,RR,5
T2WR,WR,1
T2WR,WR,1
T2WR,WR,1
T2WR,WR,2
T2WR,WR,2
T2WR,WR,2
T2WR,WR,3
T2WR,WR,3
T2WR,WR,3
T2WR,WR,3
T2WR,WR,3
T2WR,WR,4
T2RR,RR,1
T2RR,RR,2
T2RR,RR,2
T2RR,RR,2
T2RR,RR,2
T2RR,RR,3
T2RR,RR,3
T2RR,RR,3
T2RR,RR,3
T2RR,RR,3
T2RR,RR,3
T2RR,RR,4
T3WR,WR,1
T3WR,WR,1
T3WR,WR,1
T3WR,WR,1
T3WR,WR,2
T3WR,WR,2
T3WR,WR,2
T3WR,WR,2
T3WR,WR,3
T3WR,WR,4
T3WR,WR,4
T3WR,WR,4
T3RR,RR,2
T3RR,RR,2
T3RR,RR,2
T3RR,RR,2
T3RR,RR,2
T3RR,RR,2
T3RR,RR,2
T3RR,RR,2
T3RR,RR,2
T3RR,RR,2
T3RR,RR,3
T3RR,RR,3
T4WR,WR,1
T4WR,WR,2
T4WR,WR,2
T4WR,WR,2
T4WR,WR,2
T4WR,WR,2
T4WR,WR,2
T4WR,WR,3
T4WR,WR,3
T4WR,WR,3
T4WR,WR,4
T4WR,WR,4
T4RR,RR,1
T4RR,RR,1
T4RR,RR,1
T4RR,RR,2
T4RR,RR,2
T4RR,RR,2
T4RR,RR,3
T4RR,RR,3
T4RR,RR,3
T4RR,RR,4
T4RR,RR,4
T4RR,RR,4
T5WR,WR,1
T5WR,WR,1
T5WR,WR,2
T5WR,WR,2
T5WR,WR,2
T5WR,WR,2
T5WR,WR,3
T5WR,WR,3
T5WR,WR,3
T5WR,WR,3
T5WR,WR,3
T5WR,WR,3
T5RR,RR,2
T5RR,RR,3
T5RR,RR,3
T5RR,RR,3
T5RR,RR,3
T5RR,RR,3
T5RR,RR,3
T5RR,RR,3
T5RR,RR,3
T5RR,RR,3
T5RR,RR,4
T5RR,RR,4
T6WR,WR,1
T6WR,WR,1
T6WR,WR,2
T6WR,WR,2
T6WR,WR,2
T6WR,WR,2
T6WR,WR,2
T6WR,WR,2
T6WR,WR,3
T6WR,WR,3
T6WR,WR,3
T6WR,WR,4
T6RR,RR,1
T6RR,RR,1
T6RR,RR,2
T6RR,RR,2
T6RR,RR,2
T6RR,RR,2
T6RR,RR,3
T6RR,RR,3
T6RR,RR,3
T6RR,RR,4
T6RR,RR,4
T6RR,RR,4
T7WR,WR,2
T7WR,WR,2
T7WR,WR,3
T7WR,WR,3
T7WR,WR,3
T7WR,WR,3
T7WR,WR,3
T7WR,WR,3
T7WR,WR,4
T7WR,WR,4
T7WR,WR,4
T7WR,WR,5
T7RR,RR,2
T7RR,RR,2
T7RR,RR,2
T7RR,RR,3
T7RR,RR,3
T7RR,RR,3
T7RR,RR,3
T7RR,RR,3
T7RR,RR,4
T7RR,RR,4
T7RR,RR,4
T7RR,RR,5
T8WR,WR,2
T8WR,WR,3
T8WR,WR,3
T8WR,WR,3
T8WR,WR,3
T8WR,WR,3
T8WR,WR,3
T8WR,WR,4
T8WR,WR,4
T8WR,WR,4
T8WR,WR,4
T8WR,WR,5
T8RR,RR,2
T8RR,RR,2
T8RR,RR,3
T8RR,RR,3
T8RR,RR,3
T8RR,RR,3
T8RR,RR,3
T8RR,RR,4
T8RR,RR,4
T8RR,RR,4
T8RR,RR,4
T8RR,RR,4
