task,type,difficulty
TCex-WR,WR,2
TCex-WR,WR,2
TCex-WR,WR,3
TCex-WR,WR,3
TCex-WR,WR,3
TCex-WR,WR,3
TCex-WR,WR,3
TCex-WR,WR,4
TCex-WR,WR,4
TCex-WR,WR,4
TCex-WR,WR,4
TCex-WR,WR,4
TCex-RR,RR,2
TCex-RR,RR,3
TCex-RR,RR,3
TCex-RR,RR,3
TCex-RR,RR,3
TCex-RR,RR,3
TCex-RR,RR,3
TCex-RR,RR,3
TCex-RR,RR,4
TCex-RR,RR,4
TCex-RR,RR,4
TCex-RR,RR,5
TCac-WR,WR,1
TCac-WR,WR,1
TCac-WR,WR,1
TCac-WR,WR,2
TCac-WR,WR,2
TCac-WR,WR,2
TCac-WR,WR,3
TCac-WR,WR,3
TCac-WR,WR,3
TCac-WR,WR,3
TCac-WR,WR,3
TCac-WR,WR,4
TCac-RR,RR,1
TCac-RR,RR,2
TCac-RR,RR,2
TCac-RR,RR,2
TCac-RR,RR,2
TCac-RR,RR,3
TCac-RR,RR,3
TCac-RR,RR,3
TCac-RR,RR,3
TCac-RR,RR,3
TCac-RR,RR,3
TCac-RR,RR,4
TMic-WR,WR,1
TMic-WR,WR,1
TMic-WR,WR,1
TMic-WR,WR,1
TMic-WR,WR,2
TMic-WR,WR,2
TMic-WR,WR,2
TMic-WR,WR,2
TMic-WR,WR,3
TMic-WR,WR,4
TMic-WR,WR,4
TMic-WR,WR,4
TMic-RR,RR,2
TMic-RR,RR,2
TMic-RR,RR,2
TMic-RR,RR,2
TMic-RR,RR,2
TMic-RR,RR,2
TMic-RR,RR,2
TMic-RR,RR,2
TMic-RR,RR,2
TMic-RR,RR,2
TMic-RR,RR,3
TMic-RR,RR,3
TCdr-WR,WR,1
TCdr-WR,WR,2
TCdr-WR,WR,2
TCdr-WR,WR,2
TCdr-WR,WR,2
TCdr-WR,WR,2
TCdr-WR,WR,2
TCdr-WR,WR,3
TCdr-WR,WR,3
TCdr-WR,WR,3
TCdr-WR,WR,4
TCdr-WR,WR,4
TCdr-RR,RR,1
TCdr-RR,RR,1
TCdr-RR,RR,1
TCdr-RR,RR,2
TCdr-RR,RR,2
TCdr-RR,RR,2
TCdr-RR,RR,3
TCdr-RR,RR,3
TCdr-RR,RR,3
TCdr-RR,RR,4
TCdr-RR,RR,4
TCdr-RR,RR,4
TSeq-WR,WR,1
TSeq-WR,WR,1
TSeq-WR,WR,2
TSeq-WR,WR,2
TSeq-WR,WR,2
TSeq-WR,WR,2
TSeq-WR,WR,3
TSeq-WR,WR,3
TSeq-WR,WR,3
TSeq-WR,WR,3
TSeq-WR,WR,3
TSeq-WR,WR,3
TSeq-RR,RR,2
TSeq-RR,RR,3
TSeq-RR,RR,3
TSeq-RR,RR,3
TSeq-RR,RR,3
TSeq-RR,RR,3
TSeq-RR,RR,3
TSeq-RR,RR,3
TSeq-RR,RR,3
TSeq-RR,RR,3
TSeq-RR,RR,4
TSeq-RR,RR,4
TSta-WR,WR,1
TSta-WR,WR,1
TSta-WR,WR,2
TSta-WR,WR,2
TSta-WR,WR,2
TSta-WR,WR,2
TSta-WR,WR,2
TSta-WR,WR,2
TSta-WR,WR,3
TSta-WR,WR,3
TSta-WR,WR,3
TSta-WR,WR,4
TSta-RR,RR,1
TSta-RR,RR,1
TSta-RR,RR,2
TSta-RR,RR,2
TSta-RR,RR,2
TSta-RR,RR,2
TSta-RR,RR,3
TSta-RR,RR,3
TSta-RR,RR,3
TSta-RR,RR,4
TSta-RR,RR,4
TSta-RR,RR,4
TCno-WR,WR,2
TCno-WR,WR,2
TCno-WR,WR,3
TCno-WR,WR,3
TCno-WR,WR,3
TCno-WR,WR,3
TCno-WR,WR,3
TCno-WR,WR,3
TCno-WR,WR,4
TCno-WR,WR,4
TCno-WR,WR,4
TCno-WR,WR,5
TCno-RR,RR,2
TCno-RR,RR,2
TCno-RR,RR,2
TCno-RR,RR,3
TCno-RR,RR,3
TCno-RR,RR,3
TCno-RR,RR,3
TCno-RR,RR,3
TCno-RR,RR,4
TCno-RR,RR,4
TCno-RR,RR,4
TCno-RR,RR,5
TSup-WR,WR,2
TSup-WR,WR,3
TSup-WR,WR,3
TSup-WR,WR,3
TSup-WR,WR,3
TSup-WR,WR,3
TSup-WR,WR,3
TSup-WR,WR,4
TSup-WR,WR,4
TSup-WR,WR,4
TSup-WR,WR,4
TSup-WR,WR,5
TSup-RR,RR,2
TSup-RR,RR,2
TSup-RR,RR,3
TSup-RR,RR,3
TSup-RR,RR,3
TSup-RR,RR,3
TSup-RR,RR,3
TSup-RR,RR,4
TSup-RR,RR,4
TSup-RR,RR,4
TSup-RR,RR,4
TSup-RR,RR,4
