Participant ID,AcaSE,IndSE,AcaUML,IndUML,AcaSR,IndSR,AcaMR,IndMR,RAcaUML,RIndUML,RAcaMR,RIndMR
P3,3,2,3,2,2,2,1,1,3,3,3,3
P24,1,1,2,1,2,1,2,1,2,2,3,3
P21,3,3,1,1,3,3,0,0,3,3,0,0
P18,3,2,2,2,2,2,0,0,3,3,0,0
P17,2,2,2,0,2,2,1,0,3,0,3,0
P23,2,2,2,1,1,0,1,0,3,2,3,0
P10,2,2,1,1,2,2,1,1,1,1,1,1
P4,2,2,1,0,1,2,1,0,3,0,3,0
P2,1,0,2,0,3,1,1,0,3,0,3,0
P9,1,1,2,0,2,1,1,0,3,0,3,0
P13,2,1,1,0,2,1,1,0,3,0,3,0
P12,2,2,2,0,2,2,0,0,3,0,0,0
P16,3,3,1,1,0,2,0,0,3,0,0,0
P22,2,1,2,1,1,0,1,0,3,2,0,0
P15,2,1,1,0,1,0,1,0,3,0,3,0
P1,1,0,1,0,1,1,1,0,3,0,2,0
P8,2,1,2,0,2,0,0,0,3,0,0,0
P20,2,2,2,0,1,1,0,0,2,0,0,0
P6,3,0,2,0,1,0,1,0,1,0,1,0
P19,0,3,0,1,0,2,0,0,0,2,0,0
P7,2,0,2,0,0,0,0,0,3,0,0,0
P11,2,1,1,0,0,0,0,0,3,0,0,0
P14,2,1,1,0,0,0,0,0,3,0,0,0
P5,2,0,1,0,0,0,0,0,3,0,0,0
