repairs,size,percentage_owned
9483,51169,50
14262,51169,75
19045,51169,100
4717,51169,25
28382,1540,100
27695,1540,50
28079,1540,75
27196,1540,25
13657,92820,100
3351,92820,25
6737,92820,50
10197,92820,75
108,1257,75
160,1257,100
57,1257,50
19,1257,25
366,12055,25
725,12055,50
1038,12055,75
1400,12055,100
6815,1464,100
5471,1464,25
5993,1464,50
6412,1464,75
12376,11419,75
13591,11419,100
7088,11419,25
10484,11419,50
1295,2048,25
2116,2048,50
3550,2048,75
4686,2048,100
2674,2636,100
1345,2636,25
1880,2636,50
2247,2636,75
353,385,100
135,385,25
242,385,50
296,385,75
1005,1064,50
1422,1064,75
1942,1064,100
348,1064,25
30785,15619,75
33805,15619,100
26518,15619,50
19217,15619,25
36887,9853,75
39116,9853,100
33729,9853,50
24602,9853,25
47,292,50
70,292,75
103,292,100
19,292,25
5142,2796,75
6031,2796,100
3622,2796,50
2581,2796,25
6738,63098,75
9025,63098,100
4573,63098,50
2342,63098,25
944,3009,25
1158,3009,50
1404,3009,75
1536,3009,100
1460,448,25
1874,448,50
2167,448,75
2406,448,100
5459,8771,75
6434,8771,100
2385,8771,25
4139,8771,50
10,71,50
23,71,75
29,71,100
2,71,25
11530,1466,100
10503,1466,25
10789,1466,50
11104,1466,75
5030,204,25
5055,204,50
5100,204,75
5135,204,100
7468,2093,100
5616,2093,25
6173,2093,50
6879,2093,75
20003,5857,75
20947,5857,100
16311,5857,25
18997,5857,50
1289,1979,50
1606,1979,75
1891,1979,100
606,1979,25
1542,621,50
1694,621,75
1865,621,100
1165,621,25
393,1100,25
873,1100,50
2719,1100,75
3640,1100,100
6392,1261,75
6889,1261,100
5603,1261,25
5962,1261,50
