1,9823,14510,9203,0.634,4053,1058,0.261,4442,1058,0.238,10.
2,8757,7772,4836,0.622,2355,691,0.293,2468,691,0.280,4.
3,8074,9473,6445,0.680,3554,1285,0.362,3703,1285,0.347,49
4,5754,8990,7441,0.828,3448,2751,0.798,3380,2470,0.731,90
5,4231,2228,1389,0.623,534,63,0.118,563,63,0.112,1.25
6,3428,1748,1101,0.630,484,141,0.291,545,141,0.259,0.97
7,3216,3168,2173,0.686,932,500,0.536,1088,483,0.444,1.7
8,2704,3228,2597,0.805,1708,1410,0.826,1148,742,0.646,16
9,2628,2935,1778,0.606,776,204,0.263,954,204,0.214,1.65
10,2508,3929,2733,0.696,1214,825,0.680,1128,699,0.620,25
11,2445,393,257,0.654,39,0,0.000,119,0,0.000,0.58
12,2245,3502,2575,0.735,1121,692,0.617,1098,637,0.580,28
13,2059,2943,2337,0.794,1036,778,0.751,1018,673,0.661,14
14,1970,2358,1385,0.587,546,111,0.203,611,111,0.182,1.2
15,1949,3549,2516,0.709,1076,549,0.510,977,419,0.429,2.
16,1935,1087,654,0.602,362,102,0.282,369,102,0.276,0.65
17,1781,1559,924,0.593,213,98,0.460,353,98,0.278,0.76
18,1706,2163,1223,0.565,444,64,0.144,573,64,0.112,1.28
19,1441,2225,1665,0.748,695,503,0.724,738,432,0.585,1.3
20,1437,2106,1693,0.804,648,523,0.807,692,427,0.617,1.1
21,1211,1701,1315,0.773,602,418,0.694,565,355,0.628,0.9
22,1086,1632,1269,0.778,608,441,0.725,597,381,0.638,0.9
23,1032,1921,1580,0.822,1031,877,0.851,655,486,0.742,1.
24,1029,1281,817,0.638,290,180,0.621,353,152,0.431,0.65
25,801,853,594,0.696,427,291,0.681,258,149,0.578,0.68
26,728,685,308,0.450,153,5,0.033,151,5,0.033,0.63
27,617,1206,950,0.788,595,493,0.829,404,254,0.629,0.66
28,575,739,513,0.694,262,194,0.740,214,106,0.495,0.59
29,560,590,319,0.541,171,53,0.310,169,53,0.314,0.64
30,536,480,296,0.617,101,0,0.000,109,0,0.000,0.78
31,516,851,703,0.826,447,363,0.812,301,191,0.635,0.61
32,452,653,459,0.703,256,178,0.695,204,112,0.549,0.66
33,446,625,489,0.782,319,249,0.781,241,147,0.610,0.62
34,427,376,180,0.479,72,10,0.139,80,10,0.125,0.76
35,425,600,520,0.867,276,220,0.797,207,118,0.570,0.75
36,382,567,399,0.704,232,149,0.642,199,94,0.472,0.61
37,370,552,283,0.513,108,7,0.065,116,7,0.060,0.61
38,254,329,258,0.784,143,118,0.825,109,63,0.578,0.73
39,248,267,119,0.446,26,0,0.000,47,0,0.000,0.70
40,206,372,282,0.758,163,119,0.730,118,63,0.534,0.67
41,202,354,227,0.641,65,38,0.585,95,34,0.358,0.89
42,189,448,439,0.980,291,285,0.979,185,146,0.789,0.66
43,125,96,43,0.448,14,0,0.000,15,0,0.000,0.55
44,103,172,88,0.512,35,1,0.029,37,1,0.027,0.62
45,96,94,30,0.319,8,0,0.000,12,0,0.000,0.62
46,96,100,50,0.500,13,0,0.000,20,0,0.000,0.62
47,88,155,120,0.774,70,54,0.771,50,29,0.580,0.55
48,79,106,57,0.538,23,0,0.000,24,0,0.000,0.65
