idsmodels,avg_n_incon,min_repair,max_repair,avg_repairs,std_repair,min_over,max_over,avg_over,std_over,min_conflicting,max_conflicting,avg_conflicting,std_conflicting,min_shared_locations,max_shared_locations,avg_shared_locations,std_shared_locations
1,2.40,8,21,15.90,5.65,0,0,0.00,0,1,2,1.20,0.4,1,2,1.20,0.4
3,2.00,9,49,20.08,11.5,3,25,6.38,5.94,5,25,9.77,5.51,5,25,9.77,5.51
4,24.53,8,382,195.18,166.75,2,152,59.56,36.23,2,264,125.62,92.34,1,188,72.86,70.01
7,2.00,8,58,14.82,11.04,7,7,7.00,0,2,27,5.38,5.47,2,27,5.38,5.47
8,4.71,8,173,99.12,65.79,1,50,11.23,17.36,2,90,50.68,28.85,1,78,42.82,29.84
10,5.94,8,299,100.85,122.31,2,50,18.68,19.21,2,154,56.92,61.07,2,148,44.79,61.31
11,8.67,8,138,68.10,55.43,2,42,22.24,12.14,2,69,35.87,21.69,1,48,18.21,15.67
13,2.76,8,266,55.40,95.03,2,14,7.34,1.71,2,121,24.09,42.35,1,114,21.73,39.91
15,2.00,8,62,22.38,19.17,7,7,7.00,0,2,29,9.19,9.58,2,29,9.19,9.58
17,9.75,65,406,235.50,170.5,2,64,33.00,31,65,202,133.50,68.5,1,202,109.27,92.97
19,10.60,8,208,109.79,85.96,2,46,27.65,13.68,2,126,67.72,42.98,2,103,44.98,40.55
20,5.29,8,180,68.19,73.51,2,26,12.68,8.87,2,94,37.03,35.27,1,84,29.30,35.37
21,3.76,8,101,39.16,36.66,2,16,8.89,4.33,2,51,19.67,17.16,1,44,15.44,16.6
22,2.98,5,94,23.57,30.03,2,23,7.40,3.61,2,50,10.23,14.41,1,37,7.83,10.06
23,2.33,8,71,29.38,16.23,1,14,2.70,3.7,2,33,15.53,8.31,1,33,14.49,8.31
24,2.10,8,14,9.53,1.94,1,7,5.70,2.47,2,5,2.83,1.04,2,5,2.83,1.04
26,2.00,1,59,26.53,27.01,1,7,2.18,2.38,1,29,12.87,13.31,1,29,12.87,13.31
27,2.00,1,60,30.50,29.5,1,1,1.00,0,1,27,14.00,13,1,27,14.00,13
29,2.00,1,42,16.42,15.08,1,7,2.02,2.25,1,19,7.88,7.2,1,19,7.88,7.2
30,2.00,1,57,29.00,28,1,1,1.00,0,1,28,14.50,13.5,1,28,14.50,13.5
31,2.00,1,44,15.10,13.64,1,7,2.29,2.47,1,20,7.12,6.46,1,20,7.12,6.46
33,2.00,1,21,11.00,10,1,1,1.00,0,1,10,5.50,4.5,1,10,5.50,4.5
35,2.00,1,37,17.80,16.6,1,7,2.20,2.4,1,18,8.50,8.03,1,18,8.50,8.03
37,2.00,1,95,43.45,45.53,1,7,1.76,2,1,45,20.58,21.53,1,45,20.58,21.53
38,2.07,7,35,19.25,13.28,1,7,2.43,2.44,2,20,9.85,6.97,1,18,9.52,7.02
40,2.00,1,25,12.88,11.51,1,7,1.54,1.71,1,12,6.26,5.33,1,12,6.26,5.33
41,2.25,7,40,15.75,14.01,2,7,5.13,1.96,2,21,7.63,7.61,2,20,6.63,7.47
42,2.00,1,5,3.00,2,1,1,1.00,0,1,2,1.50,0.5,1,2,1.50,0.5
47,2.00,1,14,6.76,5.03,1,7,1.96,2.2,1,5,3.06,1.92,1,5,3.06,1.92
