number_of_incon,avg_repairs,std_repair,avg_over,std_over,avg_conflicting,std_conflicting,avg_shared_locations,std_shared_locations
2,40.01,59.79,4.35,7.12,18.96,28.78,18.44,28.44
3,118.50,113.54,22.98,22.19,68.24,50.9,54.94,55.25
4,127.38,113.75,25.42,21.6,73.81,49.99,58.24,55.44
5,128.47,113.73,26.48,20.83,74.92,50.11,57.84,55.44
6,131.15,113.56,27.77,20.08,76.87,50.01,58.19,55.4
7,131.15,113.56,28.64,19.3,77.34,50.34,57.25,55.41
8,116.53,106.55,30.87,18.72,71.09,47.2,48.94,51.58
9,118.81,106.64,32.74,18.08,73.29,47.35,49.27,51.98
10,122.59,108.35,34.78,17.09,76.18,47.9,50.05,52.89
11,122.59,108.35,35.54,16.33,76.58,48.24,49.11,52.92
12,122.59,108.35,36.29,15.6,76.99,48.59,48.17,52.95
13,119.48,110.4,38.25,14.25,76.45,50.07,45.38,53.77
14,113.26,115.04,40.63,13.34,75.17,53.03,41.87,56.27
15,118.14,116.84,42.23,12.46,78.36,53.77,43.24,57.2
16,118.14,116.84,42.85,11.76,78.67,54.13,42.24,57.2
17,118.14,116.84,43.48,11.09,78.98,54.5,41.24,57.2
18,128.02,119.57,45.50,10.17,84.66,55.51,44.91,58.66
19,128.02,119.57,46.20,9.4,85.01,55.88,43.91,58.66
20,128.02,119.57,46.90,8.66,85.36,56.26,42.91,58.66
21,140.40,123.18,48.99,7.58,92.22,57.8,47.72,60.64
22,140.40,123.18,49.78,6.64,92.61,58.18,46.72,60.64
23,140.67,129.93,51.32,5.55,95.61,61.23,47.94,63.58
24,140.67,129.93,51.99,4.69,95.94,61.66,46.94,63.58
25,130.27,136.68,53.37,3.66,91.52,65.44,40.84,66.87
26,130.27,136.68,53.82,3.04,91.75,65.86,39.84,66.87
27,143.74,143.68,55.01,1.97,98.94,69.39,45.44,70.29
28,143.74,143.68,55.54,1.21,99.21,69.83,44.44,70.29
29,143.74,143.68,56.08,0.78,99.48,70.27,43.44,70.29
30,371.07,57.84,58.21,1.09,211.76,27.73,153.66,28.28
31,371.07,57.84,60.14,0.73,212.72,27.92,152.66,28.28
32,371.07,57.84,62.07,0.36,213.69,28.1,151.66,28.28
33,371.07,57.84,64.00,0,214.66,28.28,150.66,28.28
34,382.00,0,66.00,0,221.00,0,155.00,0
35,382.00,0,68.00,0,222.00,0,154.00,0
36,382.00,0,70.00,0,223.00,0,153.00,0
37,382.00,0,72.00,0,224.00,0,152.00,0
38,382.00,0,74.00,0,225.00,0,151.00,0
39,382.00,0,76.00,0,226.00,0,150.00,0
40,382.00,0,78.00,0,227.00,0,149.00,0
41,382.00,0,80.00,0,228.00,0,148.00,0
42,382.00,0,82.00,0,229.00,0,147.00,0
43,382.00,0,84.00,0,230.00,0,146.00,0
44,382.00,0,86.00,0,231.00,0,145.00,0
45,382.00,0,88.00,0,232.00,0,144.00,0
46,382.00,0,90.00,0,233.00,0,143.00,0
47,382.00,0,92.00,0,234.00,0,142.00,0
48,382.00,0,94.00,0,235.00,0,141.00,0
49,382.00,0,96.00,0,236.00,0,140.00,0
50,382.00,0,98.00,0,237.00,0,139.00,0
51,382.00,0,100.00,0,238.00,0,138.00,0
52,382.00,0,102.00,0,239.00,0,137.00,0
53,382.00,0,104.00,0,240.00,0,136.00,0
54,382.00,0,106.00,0,241.00,0,135.00,0
55,382.00,0,108.00,0,242.00,0,134.00,0
56,382.00,0,110.00,0,243.00,0,133.00,0
57,382.00,0,112.00,0,244.00,0,132.00,0
58,382.00,0,114.00,0,245.00,0,131.00,0
59,382.00,0,116.00,0,246.00,0,130.00,0
60,382.00,0,118.00,0,247.00,0,129.00,0
61,382.00,0,120.00,0,248.00,0,128.00,0
62,382.00,0,122.00,0,249.00,0,127.00,0
63,382.00,0,124.00,0,250.00,0,126.00,0
64,382.00,0,126.00,0,251.00,0,125.00,0
65,382.00,0,128.00,0,252.00,0,124.00,0
66,382.00,0,130.00,0,253.00,0,123.00,0
67,382.00,0,132.00,0,254.00,0,122.00,0
68,382.00,0,134.00,0,255.00,0,121.00,0
69,382.00,0,136.00,0,256.00,0,120.00,0
70,382.00,0,138.00,0,257.00,0,119.00,0
71,382.00,0,140.00,0,258.00,0,118.00,0
72,382.00,0,142.00,0,259.00,0,117.00,0
73,382.00,0,144.00,0,260.00,0,116.00,0
74,382.00,0,146.00,0,261.00,0,115.00,0
75,382.00,0,148.00,0,262.00,0,114.00,0
76,382.00,0,150.00,0,263.00,0,113.00,0
77,382.00,0,152.00,0,264.00,0,112.00,0
