cr,time,inconsistencies,cres,crh
CR1A,8.8987,241,622,0
CR1B,30.9006,507,885,0
CR2A,104.0811,824,2157,0
CR2B,9.1386,488,1739,0
CR3A,9.5638,88,2556,0
CR3B,7.9230,2589,4989,0
CR4A,8.9550,247,622,0
CR4B,8.2124,513,885,0
CR5A,30.5273,253,622,0
CR5B,24.7695,74,885,0
CR6A,13.1318,490,622,0
CR6B,23.9638,74,885,0
CR7A,30.1168,1810,2157,0
CR7B,11.5187,1397,1739,0
CR8A,38.8215,183,622,0
CR8B,224.9751,67,885,0
CR9A,17.5301,1707,2556,0
CR9B,10.9780,5790,9978,0
CR10A,19.2735,1429,2556,0
CR11A,9.5032,281,622,0
CR11B,10.4859,116,885,0
CR12A,8.8360,197,622,0
CR12B,9.6802,32,885,0
CR13A,13.7283,165,622,0
CR13B,12.8915,0,885,0
CR14A,14.5756,176,622,0
CR14B,13.4576,11,885,0
CR1A,11.7781,591,622,1
CR4A,62.8084,350,381,1
CR11A,220.8747,148,375,1
CR12A,155.0386,26,259,1
CR13A,233.6911,0,259,1
CR14A,244.3552,6,259,1
CR5A,107.3520,83,375,1
CR6A,73.7440,320,375,1
CR2A,10.6449,986,2157,1
CR7A,74.9040,986,1333,1
CR3A,11.5340,1619,2556,1
CR9A,79.1892,1619,2468,1
CR10A,77.2049,0,849,1
CR1B,10.1548,712,885,1
CR4B,123.5291,205,378,1
CR11B,234.8548,142,372,1
CR12B,183.9609,26,256,1
CR13B,287.2124,0,372,1
CR14B,283.3790,11,372,1
CR5B,151.1613,69,372,1
CR6B,150.4839,77,372,1
CR8B,246.3795,8,303,1
CR2B,10.7591,909,1739,1
CR7B,296.6914,909,1251,1
CR3B,9.1602,306,4989,1
CR9B,187.8654,306,2400,1
CR10B,128.3553,0,2094,1
CR8A,164.2545,0,55,1
