time,cr
10,CR1A
16,CR1A
12,CR1A
17,CR1A
11,CR1A
14,CR1A
15,CR1A
12,CR1A
13,CR1A
29,CR1A
22,CR1A
19,CR1A
27,CR1A
9,CR1A
14,CR1A
15,CR1A
14,CR1A
15,CR1A
17,CR1A
22,CR1A
16,CR1A
11,CR1A
7,CR1A
12,CR1A
12,CR1A
13,CR1A
16,CR1A
10,CR1A
19,CR1A
17,CR1A
20,CR1A
13,CR1A
19,CR1A
15,CR1A
9,CR1A
14,CR1A
12,CR1A
9,CR1A
17,CR1A
11,CR1A
12,CR1A
19,CR1A
12,CR1A
17,CR1A
24,CR1A
9,CR1A
21,CR1A
10,CR1A
14,CR1A
13,CR1A
49,CR1A
6,CR1A
10,CR1A
11,CR1A
42,CR1A
50,CR1A
12,CR1A
10,CR1A
13,CR1A
11,CR1A
16,CR1A
17,CR1A
12,CR1A
14,CR1A
16,CR1A
10,CR1A
11,CR1A
10,CR1A
11,CR1A
19,CR1A
14,CR1A
20,CR1A
19,CR1A
14,CR1A
12,CR1A
22,CR1A
12,CR1A
15,CR1A
11,CR1A
12,CR1A
10,CR1A
17,CR1A
7,CR1A
13,CR1A
12,CR1A
12,CR1A
12,CR1A
12,CR1A
16,CR1A
12,CR1A
15,CR1A
15,CR1A
12,CR1A
11,CR1A
16,CR1A
12,CR1A
12,CR1A
16,CR1A
12,CR1A
16,CR1A
7,CR1A
11,CR1A
20,CR1A
16,CR1A
16,CR1A
9,CR1A
15,CR1A
16,CR1A
11,CR1A
9,CR1A
15,CR1A
16,CR1A
167,CR4A
107,CR4A
76,CR4A
96,CR4A
65,CR4A
62,CR4A
59,CR4A
76,CR4A
66,CR4A
76,CR4A
100,CR4A
91,CR4A
90,CR4A
93,CR4A
118,CR4A
87,CR4A
65,CR4A
72,CR4A
59,CR4A
94,CR4A
80,CR4A
84,CR4A
60,CR4A
66,CR4A
133,CR4A
76,CR4A
65,CR4A
84,CR4A
308,CR11A
263,CR11A
354,CR11A
313,CR11A
300,CR11A
278,CR11A
308,CR11A
216,CR11A
435,CR11A
213,CR11A
288,CR11A
193,CR11A
192,CR11A
184,CR11A
286,CR11A
276,CR11A
234,CR11A
335,CR11A
196,CR11A
185,CR11A
230,CR11A
266,CR11A
261,CR11A
259,CR11A
337,CR11A
340,CR11A
271,CR11A
321,CR11A
107,CR12A
165,CR12A
189,CR12A
109,CR12A
112,CR12A
154,CR12A
132,CR12A
144,CR12A
201,CR12A
144,CR12A
112,CR12A
117,CR12A
128,CR12A
104,CR12A
109,CR12A
105,CR12A
201,CR13A
402,CR13A
270,CR13A
218,CR13A
470,CR13A
312,CR13A
189,CR13A
210,CR13A
167,CR13A
230,CR13A
406,CR13A
430,CR13A
224,CR13A
257,CR13A
366,CR13A
185,CR13A
292,CR14A
297,CR14A
305,CR14A
175,CR14A
259,CR14A
280,CR14A
212,CR14A
215,CR14A
783,CR14A
414,CR14A
225,CR14A
564,CR14A
277,CR14A
175,CR14A
188,CR14A
322,CR14A
133,CR5A
107,CR5A
144,CR5A
214,CR5A
285,CR5A
69,CR5A
211,CR5A
138,CR5A
193,CR5A
112,CR5A
141,CR5A
99,CR5A
95,CR5A
124,CR5A
133,CR5A
172,CR5A
196,CR5A
4446,CR5A
273,CR5A
302,CR5A
97,CR5A
834,CR5A
366,CR5A
131,CR5A
65,CR5A
420,CR5A
129,CR5A
122,CR5A
