crd,change_type,type,time,inconsistencies,cres
CR6A,MoveMethod,java,3.3154,231,279
CR6B,MoveMethod,java,28.2813,47,224
CR8A,MoveMethod,java,74.7877,89,179
CR8B,MoveMethod,java,71.2849,105,186
CR3B,ExtractMethod,java,7.9158,95,95
CR9B,ExtractMethod,java,4.0526,190,190
CR6A,ExtractMethod,java,3.0000,74,82
CR6B,ExtractMethod,java,13.3108,4,74
CR8A,ExtractMethod,java,93.9634,20,82
CR8B,ExtractMethod,java,95.8025,81,81
CR8A,RenameMethod,java,130.2021,83,94
CR8B,RenameMethod,java,130.4831,89,89
CR6A,DeleteMethod,java,3.9205,154,176
CR8A,DeleteMethod,java,105.9535,78,86
CR8B,DeleteMethod,java,105.7222,60,90
CR6B,DeleteMethod,java,25.1837,60,147
CR5A,RenameField,java,160.2148,149,149
CR5B,RenameField,java,166.8601,141,143
CR6B,RenameField,java,153.1242,142,153
CR5A,MoveField,java,82.7897,171,233
CR6A,MoveField,java,4.8468,238,248
CR5B,MoveField,java,83.5869,154,213
CR6B,MoveField,java,88.9152,157,224
CR14A,MoveField,java,59.2222,7,9
CR14B,MoveField,java,48.8889,7,9
CR5A,DeleteField,java,103.3628,42,113
CR5B,DeleteField,java,101.0476,75,105
CR6A,DeleteField,java,4.1278,119,133
CR6B,DeleteField,java,100.3250,81,120
CR14A,DeleteField,java,105.3333,6,6
CR14B,DeleteField,java,108.5000,6,6
CR7A,RenameClass,java,3.7328,250,262
CR7B,RenameClass,java,3.8807,201,218
CR14A,RenameClass,java,62.0000,4,4
CR14B,RenameClass,java,53.7500,4,4
CR6A,RenameClass,java,3.8000,43,85
CR6B,RenameClass,java,6.8571,16,70
CR7A,DeleteClass,java,4.7101,15,238
CR7B,DeleteClass,java,5.4626,8,214
CR9A,DeleteClass,java,11.0097,26,207
CR10A,DeleteClass,java,14.4058,20,207
CR14A,DeleteClass,java,84.0000,4,4
CR14B,DeleteClass,java,113.2500,4,4
CR8A,MoveOperation,uml,60.2172,147,244
CR8B,MoveOperation,uml,56.1074,159,270
CR8A,RenameOperation,uml,75.8818,109,110
CR8B,RenameOperation,uml,59.9429,93,140
CR8A,DeleteOperation,uml,79.4020,51,102
CR8B,DeleteOperation,uml,64.9504,84,121
CR5A,RenameProperty,uml,125.8151,91,119
CR5B,RenameProperty,uml,115.2623,103,122
CR6B,RenameProperty,uml,129.1786,103,112
CR5A,MoveProperty,uml,73.2927,142,205
CR5B,MoveProperty,uml,55.9701,185,268
CR6B,MoveProperty,uml,59.8898,185,245
CR13A,MoveProperty,uml,8.2753,4,247
CR13B,MoveProperty,uml,7.5933,4,268
CR14A,MoveProperty,uml,9.5830,9,247
CR14B,MoveProperty,uml,8.7575,9,268
CR5A,DeleteProperty,uml,89.8675,61,83
CR5B,DeleteProperty,uml,59.6281,64,121
CR6B,DeleteProperty,uml,64.4821,64,112
CR13A,DeleteProperty,uml,8.6200,0,100
CR13B,DeleteProperty,uml,7.2975,0,121
CR14A,DeleteProperty,uml,9.8000,6,100
CR14B,DeleteProperty,uml,8.2149,6,121
CR4A,RenameUMLClass,uml,5.3333,108,108
CR4B,RenameUMLClass,uml,4.9381,92,113
CR7A,RenameUMLClass,uml,6.7738,72,84
CR7B,RenameUMLClass,uml,7.8640,104,125
CR14A,RenameUMLClass,uml,115.5000,5,6
CR14B,RenameUMLClass,uml,90.5000,5,6
CR4A,RenameClass,java,2.9518,78,83
CR4B,RenameClass,java,2.8846,78,78
CR9B,DeleteClass,java,5.9167,40,48
CR9A,RenameUMLClass,uml,9.3551,129,138
CR9B,RenameUMLClass,uml,10.2071,312,396
CR11A,RenameUMLClass,uml,9.5116,30,43
CR11B,RenameUMLClass,uml,8.2326,30,43
CR10A,RenameUMLClass,uml,13.0882,53,68
