model_name,size,change_type,type,time,inconsistencies,cres
S1,17092,MoveMethod,java,28.4727,26,55
S1,17092,ExtractMethod,java,10.3077,11,13
S1,17092,RenameMethod,java,258.8333,6,6
S1,17092,DeleteMethod,java,60.1628,25,43
S1,17092,RenameField,java,520.4000,71,75
S1,17092,MoveField,java,204.6406,110,128
S1,17092,DeleteField,java,302.7381,73,84
S1,17092,RenameClass,java,4.6478,360,372
S1,17092,DeleteClass,java,7.2544,10,401
S1,17092,MoveOperation,uml,80.9194,42,62
S1,17092,RenameOperation,uml,190.8750,30,32
S1,17092,DeleteOperation,uml,156.0714,21,28
S1,17092,RenameProperty,uml,419.4314,51,51
S1,17092,MoveProperty,uml,94.3388,108,245
S1,17092,DeleteProperty,uml,134.4468,43,94
S1,17092,RenameUMLClass,uml,19.6214,94,103
S2,18216,MoveMethod,java,44.8385,65,130
S2,18216,ExtractMethod,java,52.1961,41,51
S2,18216,RenameMethod,java,90.5000,6,6
S2,18216,DeleteMethod,java,21.7667,15,30
S2,18216,RenameField,java,338.4630,54,54
S2,18216,MoveField,java,175.6355,98,107
S2,18216,DeleteField,java,125.2889,35,45
S2,18216,RenameClass,java,3.5652,14,23
S2,18216,DeleteClass,java,19.8500,4,20
S2,18216,MoveOperation,uml,82.5833,47,84
S2,18216,RenameOperation,uml,48.6429,36,42
S2,18216,DeleteOperation,uml,68.6923,23,39
S2,18216,RenameProperty,uml,220.1324,63,68
S2,18216,MoveProperty,uml,62.7143,83,252
S2,18216,DeleteProperty,uml,64.1143,24,105
S2,18216,RenameUMLClass,uml,10.5288,281,295
S3,21267,MoveMethod,java,12.0000,90,102
S3,21267,ExtractMethod,java,15.4706,15,17
S3,21267,RenameMethod,java,88.1250,8,8
S3,21267,DeleteMethod,java,17.1138,118,123
S3,21267,RenameField,java,18.7083,48,48
S3,21267,MoveField,java,14.7558,85,86
S3,21267,DeleteField,java,6.3000,35,40
S3,21267,RenameClass,java,2.6667,6,12
S3,21267,DeleteClass,java,8.5000,8,12
S3,21267,MoveOperation,uml,61.6000,85,110
S3,21267,RenameOperation,uml,39.4754,54,61
S3,21267,DeleteOperation,uml,42.5400,32,50
S3,21267,RenameProperty,uml,44.1000,48,50
S3,21267,MoveProperty,uml,14.6915,128,295
S3,21267,DeleteProperty,uml,13.4604,59,139
S3,21267,RenameUMLClass,uml,7.7361,111,144
S4,21061,MoveMethod,java,24.0886,75,158
S4,21061,ExtractMethod,java,15.3453,105,139
S4,21061,RenameMethod,java,57.8636,42,44
S4,21061,DeleteMethod,java,35.0645,56,93
S4,21061,RenameField,java,36.0449,80,89
S4,21061,MoveField,java,14.0955,134,199
S4,21061,DeleteField,java,14.7258,73,124
S4,21061,RenameClass,java,3.5400,60,100
S4,21061,DeleteClass,java,3.9730,58,74
S4,21061,MoveOperation,uml,63.2921,48,89
S4,21061,RenameOperation,uml,63.7297,27,37
S4,21061,DeleteOperation,uml,52.6842,17,38
S4,21061,RenameProperty,uml,34.5968,47,62
S4,21061,MoveProperty,uml,9.8608,88,352
S4,21061,DeleteProperty,uml,15.8219,25,146
S4,21061,RenameUMLClass,uml,6.0362,195,221
S5,7613,MoveMethod,java,22.1703,89,182
S5,7613,ExtractMethod,java,19.8689,137,183
S5,7613,RenameMethod,java,53.9649,48,57
S5,7613,DeleteMethod,java,27.6970,57,99
S5,7613,RenameField,java,24.2824,85,85
S5,7613,MoveField,java,15.8200,151,200
S5,7613,DeleteField,java,9.2979,57,94
S5,7613,RenameClass,java,4.2656,97,128
S5,7613,DeleteClass,java,7.5301,37,249
S5,7613,MoveOperation,uml,27.1143,54,105
S5,7613,RenameOperation,uml,31.3462,39,52
S5,7613,DeleteOperation,uml,63.7442,28,43
S5,7613,RenameProperty,uml,19.9726,59,73
S5,7613,MoveProperty,uml,10.8902,80,337
S5,7613,DeleteProperty,uml,8.2133,30,150
S5,7613,RenameUMLClass,uml,9.4319,210,301
S6,8200,MoveMethod,java,72.3900,127,241
S6,8200,ExtractMethod,java,46.7164,155,201
S6,8200,RenameMethod,java,248.8548,62,62
S6,8200,DeleteMethod,java,105.1441,81,111
S6,8200,RenameField,java,81.7447,94,94
S6,8200,MoveField,java,32.2269,156,216
S6,8200,DeleteField,java,22.3021,56,96
S6,8200,RenameClass,java,4.8343,137,169
S6,8200,DeleteClass,java,18.3554,0,166
S6,8200,MoveOperation,uml,41.1250,30,64
S6,8200,RenameOperation,uml,84.3077,16,26
S6,8200,DeleteOperation,uml,81.5600,14,25
S6,8200,RenameProperty,uml,27.2245,29,49
S6,8200,MoveProperty,uml,11.6067,51,267
S6,8200,DeleteProperty,uml,6.7097,20,124
S6,8200,RenameUMLClass,uml,7.4848,49,66
