time,change_type
8,MoveMethod
77,MoveMethod
8,MoveMethod
71,MoveMethod
5,MoveMethod
4,MoveMethod
16,MoveMethod
12,MoveMethod
6,MoveMethod
7,MoveMethod
46,MoveMethod
46,MoveMethod
11,MoveMethod
113,MoveMethod
6,MoveMethod
5,MoveMethod
7,MoveMethod
20,MoveMethod
35,MoveMethod
17,MoveMethod
8,MoveMethod
75,MoveMethod
4,MoveMethod
53,MoveMethod
4,MoveMethod
7,MoveMethod
2,MoveMethod
10,MoveMethod
51,MoveMethod
41,MoveMethod
8,MoveMethod
110,MoveMethod
20,MoveMethod
25,MoveMethod
5,MoveMethod
49,MoveMethod
1,MoveMethod
17,MoveMethod
10,MoveMethod
4,MoveMethod
50,MoveMethod
6,MoveMethod
8,MoveMethod
4,MoveMethod
16,MoveMethod
46,MoveMethod
22,MoveMethod
5,MoveMethod
4,MoveMethod
17,MoveMethod
16,MoveMethod
6,MoveMethod
51,MoveMethod
135,MoveMethod
156,MoveMethod
6,ExtractMethod
16,ExtractMethod
16,ExtractMethod
11,ExtractMethod
3,ExtractMethod
22,ExtractMethod
22,ExtractMethod
17,ExtractMethod
1,ExtractMethod
1,ExtractMethod
11,ExtractMethod
4,ExtractMethod
4,ExtractMethod
5,RenameMethod
16,RenameMethod
72,RenameMethod
104,RenameMethod
700,RenameMethod
656,RenameMethod
3,DeleteMethod
8,DeleteMethod
8,DeleteMethod
9,DeleteMethod
83,DeleteMethod
112,DeleteMethod
115,DeleteMethod
7,DeleteMethod
7,DeleteMethod
22,DeleteMethod
21,DeleteMethod
12,DeleteMethod
119,DeleteMethod
11,DeleteMethod
102,DeleteMethod
2,DeleteMethod
1,DeleteMethod
3,DeleteMethod
2,DeleteMethod
3,DeleteMethod
12,DeleteMethod
15,DeleteMethod
98,DeleteMethod
11,DeleteMethod
300,DeleteMethod
612,DeleteMethod
594,DeleteMethod
7,DeleteMethod
6,DeleteMethod
22,DeleteMethod
19,DeleteMethod
7,DeleteMethod
5,DeleteMethod
5,DeleteMethod
16,DeleteMethod
47,DeleteMethod
17,DeleteMethod
7,DeleteMethod
73,DeleteMethod
8,DeleteMethod
8,DeleteMethod
23,DeleteMethod
25,DeleteMethod
230,RenameField
205,RenameField
196,RenameField
1215,RenameField
1256,RenameField
1166,RenameField
79,RenameField
69,RenameField
96,RenameField
1190,RenameField
1623,RenameField
1592,RenameField
1227,RenameField
1231,RenameField
1150,RenameField
45,RenameField
81,RenameField
43,RenameField
77,RenameField
46,RenameField
41,RenameField
43,RenameField
49,RenameField
15,RenameField
69,RenameField
21,RenameField
23,RenameField
168,RenameField
312,RenameField
164,RenameField
10,RenameField
8,RenameField
24,RenameField
175,RenameField
209,RenameField
160,RenameField
53,RenameField
20,RenameField
26,RenameField
37,RenameField
13,RenameField
19,RenameField
154,RenameField
101,RenameField
130,RenameField
103,RenameField
163,RenameField
114,RenameField
1448,RenameField
1326,RenameField
1120,RenameField
1202,RenameField
1373,RenameField
1220,RenameField
56,RenameField
20,RenameField
22,RenameField
146,RenameField
130,RenameField
119,RenameField
1341,RenameField
1463,RenameField
1165,RenameField
123,RenameField
31,RenameField
61,RenameField
1453,RenameField
1286,RenameField
1286,RenameField
1287,RenameField
1277,RenameField
1185,RenameField
1189,RenameField
1272,RenameField
1188,RenameField
7,MoveField
5,MoveField
4,MoveField
5,MoveField
1578,MoveField
1164,MoveField
16,MoveField
1403,MoveField
3,MoveField
2,MoveField
6,MoveField
8,MoveField
72,MoveField
67,MoveField
7,MoveField
69,MoveField
21,MoveField
2,MoveField
22,MoveField
1,MoveField
3,MoveField
35,MoveField
21,MoveField
21,MoveField
3,MoveField
19,MoveField
16,MoveField
12,MoveField
4,MoveField
3,MoveField
5,MoveField
4,MoveField
4,MoveField
8,MoveField
18,MoveField
12,MoveField
68,MoveField
25,MoveField
19,MoveField
19,MoveField
8,MoveField
6,MoveField
86,MoveField
53,MoveField
46,MoveField
48,MoveField
3,MoveField
42,MoveField
1155,MoveField
1202,MoveField
16,MoveField
1109,MoveField
19,MoveField
20,MoveField
2,MoveField
19,MoveField
25,MoveField
47,MoveField
2088,MoveField
2023,MoveField
24,MoveField
2048,MoveField
46,MoveField
44,MoveField
3,MoveField
43,MoveField
24,MoveField
28,MoveField
4,MoveField
21,MoveField
79,MoveField
32,MoveField
7,MoveField
6,MoveField
2,MoveField
5,MoveField
22,MoveField
16,MoveField
1319,MoveField
1140,MoveField
13,MoveField
1085,MoveField
94,MoveField
90,MoveField
5,MoveField
89,MoveField
67,MoveField
54,MoveField
53,MoveField
36,MoveField
21,MoveField
36,MoveField
65,MoveField
54,MoveField
103,MoveField
137,MoveField
5,MoveField
109,MoveField
43,MoveField
48,MoveField
4,MoveField
55,MoveField
75,MoveField
70,MoveField
1535,MoveField
1331,MoveField
20,MoveField
2295,MoveField
7,MoveField
6,MoveField
2,MoveField
5,MoveField
160,MoveField
162,MoveField
6,MoveField
182,MoveField
99,MoveField
122,MoveField
14,MoveField
29,MoveField
3,MoveField
13,MoveField
33,MoveField
20,MoveField
12,MoveField
7,MoveField
2,MoveField
7,MoveField
112,DeleteField
111,DeleteField
5,DeleteField
107,DeleteField
45,DeleteField
39,DeleteField
4,DeleteField
44,DeleteField
69,DeleteField
54,DeleteField
3,DeleteField
3,DeleteField
7,DeleteField
6,DeleteField
1148,DeleteField
1135,DeleteField
14,DeleteField
1117,DeleteField
1298,DeleteField
1190,DeleteField
19,DeleteField
1195,DeleteField
19,DeleteField
18,DeleteField
3,DeleteField
16,DeleteField
11,DeleteField
11,DeleteField
2,DeleteField
10,DeleteField
25,DeleteField
15,DeleteField
175,DeleteField
167,DeleteField
7,DeleteField
173,DeleteField
101,DeleteField
130,DeleteField
8,DeleteField
4,DeleteField
9,DeleteField
6,DeleteField
12,DeleteField
32,DeleteField
523,DeleteField
554,DeleteField
22,DeleteField
579,DeleteField
296,DeleteField
356,DeleteField
14,DeleteField
147,DeleteField
35,DeleteField
36,DeleteField
9,DeleteField
36,DeleteField
75,DeleteField
47,DeleteField
101,DeleteField
107,DeleteField
5,DeleteField
107,DeleteField
66,DeleteField
49,DeleteField
