idcre,system_name,cre,crd,time,result,instance_type
27,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoBotConstants<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.fields.size() <= 20,contextType=<InstanceType-Class>]]","CR1 (Large Class) - A class has many fields",7,0,<InstanceType-Class>
33,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoBotComponent<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.fields.size() <= 20,contextType=<InstanceType-Class>]]","CR1 (Large Class) - A class has many fields",659,0,<InstanceType-Class>
41,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoBotGame<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.fields.size() <= 20,contextType=<InstanceType-Class>]]","CR1 (Large Class) - A class has many fields",5,0,<InstanceType-Class>
57,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoBotGame<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]","CR2 (Large Class) - A class has many methods",8,0,<InstanceType-Class>
71,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoComponent<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]","CR2 (Large Class) - A class has many methods",7,0,<InstanceType-Class>
77,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoThread<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]","CR2 (Large Class) - A class has many methods",6,0,<InstanceType-Class>
81,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoComponentBufferedStrategy<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]","CR2 (Large Class) - A class has many methods",55,0,<InstanceType-Class>
82,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoBotPlayer<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]","CR2 (Large Class) - A class has many methods",6,0,<InstanceType-Class>
90,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoNewThread<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]","CR2 (Large Class) - A class has many methods",5,0,<InstanceType-Class>
105,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoBotComponent<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]","CR2 (Large Class) - A class has many methods",7,0,<InstanceType-Class>
107,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoEntity<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]","CR2 (Large Class) - A class has many methods",53,0,<InstanceType-Class>
188,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-process<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.statements.size() <= 20,contextType=<InstanceType-Method>]]","CR3 (Long Methods) - A method contains too many lines of code.",338,0,<InstanceType-Method>
240,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoSplashScreen<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.statements.size() <= 20,contextType=<InstanceType-Method>]]","CR3 (Long Methods) - A method contains too many lines of code.",367,0,<InstanceType-Method>
281,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-init<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.statements.size() <= 20,contextType=<InstanceType-Method>]]","CR3 (Long Methods) - A method contains too many lines of code.",6,0,<InstanceType-Method>
380,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-setLevel<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.statements.size() <= 20,contextType=<InstanceType-Method>]]","CR3 (Long Methods) - A method contains too many lines of code.",5,0,<InstanceType-Method>
