idsystems,name,size,java_files_count,java_packages_count,java_classes_count,java_fields_count,java_methods_count,java_statements_count,cres,inconsistencies
1,ApoBot,13537,48,10,54,312,555,10442,1881,47
2,ApoCommando,30314,78,19,87,522,964,24198,3240,96
3,ApoDefence,27458,69,6,77,1087,743,21825,2537,85
4,ApoIcarus,12577,59,10,67,330,555,9124,1933,59
5,ApoMarc,11391,60,11,69,327,584,7973,2028,51
6,ApoNotSoSimple,15042,57,11,66,403,653,11154,2223,63
7,ApoPongBeat,12560,79,11,94,428,707,8540,2497,67
8,ApoRelax,16136,56,11,65,341,613,12474,2099,70
9,ApoSimple,40362,112,18,123,1127,1295,32179,4377,102
10,ApoSimpleSudoku,11087,43,10,51,222,475,8236,1629,49
11,ApoSlitherLink,15571,62,11,71,437,760,11374,2564,59
12,ApoStarz,14447,49,12,56,303,563,11270,1913,44
13,TutorVolley,427,6,1,10,13,56,259,208,5
14,ApoClock,7217,28,8,32,184,336,5314,1136,30
15,ApoDice,5274,19,7,25,123,241,3873,823,22
16,ApoMonoAndroid,12727,24,14,29,280,380,10179,1256,46
17,ApoSnake,6322,19,7,25,123,238,4867,814,26
18,BitsEngineAndroid,20974,57,18,65,653,813,14391,2699,145
19,myTreasureAndroid,9410,27,7,33,265,330,7465,1122,30
