Participant ID,TO1WR,TO1RR,TO2WR,TO2RR,TO3WR,TO3RR,TO4WR,TO4RR,TO5WR,TO5RR,TO6WR,TO6RR,TO7WR,TO7RR,TO8WR,TO8RR
P1,0:06:00,,,0:05:00,0:01:00,,,0:03:00,0:05:00,,,0:03:00,0:08:00,,,0:02:00
P2,,0:05:00,0:04:00,,,0:06:00,0:03:00,,,0:06:00,0:02:00,,,0:04:00,0:03:00,
P3,0:05:00,,,0:03:00,0:03:00,,,0:02:00,0:03:00,,,0:04:00,0:05:00,,,0:02:00
P4,,0:04:00,0:08:00,,,0:03:00,0:01:00,,,0:04:00,0:03:00,,,0:06:00,0:04:00,
P5,0:05:00,,,0:04:00,0:03:00,,,0:03:00,0:02:00,,,0:03:00,0:03:00,,,0:02:00
P6,,0:06:00,0:07:00,,,0:12:00,0:02:00,,,0:02:00,0:04:00,,,0:03:00,0:04:00,
P7,0:01:00,,,0:06:00,0:03:00,,,0:05:00,0:02:00,,,0:02:00,0:03:00,,,0:07:00
P8,,0:02:00,0:09:00,,,0:03:00,0:04:00,,,0:02:00,0:03:00,,,0:04:00,0:07:00,
P9,0:02:00,,,0:05:00,0:10:00,,,0:05:00,0:06:00,,,0:03:00,0:07:00,,,0:03:00
P10,,0:04:00,0:04:00,,,0:05:00,0:04:00,,,0:04:00,0:03:00,,,0:04:00,0:03:00,
P11,0:02:00,,,0:02:00,0:02:00,,,0:02:00,0:02:00,,,0:02:00,0:03:00,,,0:06:00
P12,,0:02:00,0:03:00,,,0:03:00,0:03:00,,,0:03:00,0:02:00,,,0:03:00,0:01:00,
P13,0:02:00,,,0:04:00,0:05:00,,,0:05:00,0:05:00,,,0:03:00,0:03:00,,,0:03:00
P14,,0:02:00,0:06:00,,,0:04:00,0:02:00,,,0:04:00,0:02:00,,,0:03:00,0:05:00,
P15,0:08:00,,,0:04:00,0:03:00,,,0:04:00,0:02:00,,,0:04:00,0:04:00,,,0:02:00
P16,,0:06:00,0:04:00,,,0:07:00,0:04:00,,,0:03:00,0:04:00,,,0:05:00,0:01:00,
P17,0:06:00,,,0:05:00,0:08:00,,,0:04:00,0:10:00,,,0:00:00,0:07:00,,,0:04:00
P18,,0:05:00,0:02:00,,,0:05:00,0:02:00,,,0:03:00,0:05:00,,,0:04:00,0:06:00,
P19,0:04:00,,,0:05:00,0:03:00,,,0:02:00,0:03:00,,,0:02:00,0:03:00,,,0:02:00
P20,,0:02:00,0:03:00,,,0:05:00,0:02:00,,,0:02:00,0:01:00,,,0:02:00,0:02:00,
P21,0:05:00,,,0:05:00,0:03:00,,,0:04:00,0:04:00,,,0:01:00,0:02:00,,,0:02:00
P22,,0:01:00,0:03:00,,,0:02:00,0:02:00,,,0:03:00,0:02:00,,,0:02:00,0:04:00,
P23,0:02:00,,,0:02:00,0:01:00,,,0:03:00,0:01:00,,,0:02:00,0:04:00,,,0:02:00
P24,,0:04:00,0:03:00,,,0:03:00,0:04:00,,,0:01:00,0:03:00,,,0:05:00,0:02:00,
