task,type,Start time,End Time,Duration,time
TCex,WR,10:38:00,10:44:00,0:06:00,6
TCex,RR,10:36:00,10:41:00,0:05:00,5
TCac,WR,10:36:00,10:41:00,0:05:00,5
TCac,RR,10:36:00,10:40:00,0:04:00,4
TCex,WR,10:36:00,10:41:00,0:05:00,5
TCex,RR,10:35:00,10:41:00,0:06:00,6
TCac,WR,10:36:00,10:37:00,0:01:00,1
TCac,RR,10:36:00,10:38:00,0:02:00,2
TMic,WR,10:36:00,10:38:00,0:02:00,2
TMic,RR,10:35:00,10:39:00,0:04:00,4
TCdr,WR,10:36:00,10:38:00,0:02:00,2
TCdr,RR,10:36:00,10:38:00,0:02:00,2
TMic,WR,10:36:00,10:38:00,0:02:00,2
TMic,RR,10:36:00,10:38:00,0:02:00,2
TCdr,WR,10:39:00,10:47:00,0:08:00,8
TCdr,RR,10:35:00,10:41:00,0:06:00,6
TSeq,WR,10:37:00,10:43:00,0:06:00,6
TSeq,RR,10:36:00,10:41:00,0:05:00,5
TSta,WR,10:34:00,10:38:00,0:04:00,4
TSta,RR,10:35:00,10:37:00,0:02:00,2
TSeq,WR,10:35:00,10:40:00,0:05:00,5
TSeq,RR,10:35:00,10:36:00,0:01:00,1
TSta,WR,10:36:00,10:38:00,0:02:00,2
TSta,RR,10:35:00,10:39:00,0:04:00,4
TCac,RR,10:45:00,10:50:00,0:05:00,5
TCac,WR,10:42:00,10:46:00,0:04:00,4
TCex,RR,10:41:00,10:44:00,0:03:00,3
TCex,WR,10:40:00,10:48:00,0:08:00,8
TCac,RR,10:42:00,10:46:00,0:04:00,4
TCac,WR,10:41:00,10:48:00,0:07:00,7
TCex,RR,10:38:00,10:44:00,0:06:00,6
TCex,WR,10:38:00,10:47:00,0:09:00,9
TCdr,RR,10:39:00,10:44:00,0:05:00,5
TCdr,WR,10:39:00,10:43:00,0:04:00,4
TMic,RR,10:38:00,10:40:00,0:02:00,2
TMic,WR,10:38:00,10:41:00,0:03:00,3
TCdr,RR,10:38:00,10:42:00,0:04:00,4
TCdr,WR,10:38:00,10:44:00,0:06:00,6
TMic,RR,10:47:00,10:51:00,0:04:00,4
TMic,WR,10:44:00,10:48:00,0:04:00,4
TSta,RR,10:45:00,10:50:00,0:05:00,5
TSta,WR,10:42:00,10:44:00,0:02:00,2
TSeq,RR,10:40:00,10:45:00,0:05:00,5
TSeq,WR,10:37:00,10:40:00,0:03:00,3
TSta,RR,10:40:00,10:45:00,0:05:00,5
TSta,WR,10:38:00,10:41:00,0:03:00,3
TSeq,RR,10:39:00,10:41:00,0:02:00,2
TSeq,WR,10:42:00,10:45:00,0:03:00,3
TMic,WR,10:50:00,10:51:00,0:01:00,1
TMic,RR,10:46:00,10:52:00,0:06:00,6
TCdr,WR,10:45:00,10:48:00,0:03:00,3
TCdr,RR,10:48:00,10:51:00,0:03:00,3
TSeq,WR,10:48:00,10:51:00,0:03:00,3
TSeq,RR,10:48:00,11:00:00,0:12:00,12
TSta,WR,10:45:00,10:48:00,0:03:00,3
TSta,RR,10:47:00,10:50:00,0:03:00,3
TCex,WR,10:45:00,10:55:00,0:10:00,10
TCex,RR,10:43:00,10:48:00,0:05:00,5
TCac,WR,10:40:00,10:42:00,0:02:00,2
TCac,RR,10:42:00,10:45:00,0:03:00,3
TSeq,WR,10:43:00,10:48:00,0:05:00,5
TSeq,RR,10:45:00,10:49:00,0:04:00,4
TSta,WR,10:51:00,10:54:00,0:03:00,3
TSta,RR,10:50:00,10:57:00,0:07:00,7
TCex,WR,10:52:00,11:00:00,0:08:00,8
TCex,RR,10:45:00,10:50:00,0:05:00,5
TCac,WR,10:46:00,10:49:00,0:03:00,3
TCac,RR,10:40:00,10:45:00,0:05:00,5
TMic,WR,10:45:00,10:48:00,0:03:00,3
TMic,RR,10:41:00,10:43:00,0:02:00,2
TCdr,WR,10:42:00,10:43:00,0:01:00,1
TCdr,RR,10:46:00,10:49:00,0:03:00,3
TCdr,RR,10:52:00,10:55:00,0:03:00,3
