task,type,confidence
TCex-WR,WR,1
TCex-WR,WR,2
TCex-WR,WR,2
TCex-WR,WR,2
TCex-WR,WR,2
TCex-WR,WR,3
TCex-WR,WR,3
TCex-WR,WR,3
TCex-WR,WR,4
TCex-WR,WR,4
TCex-WR,WR,4
TCex-WR,WR,5
TCex-RR,RR,2
TCex-RR,RR,2
TCex-RR,RR,2
TCex-RR,RR,2
TCex-RR,RR,3
TCex-RR,RR,3
TCex-RR,RR,3
TCex-RR,RR,3
TCex-RR,RR,3
TCex-RR,RR,4
TCex-RR,RR,4
TCex-RR,RR,4
TCac-WR,WR,2
TCac-WR,WR,3
TCac-WR,WR,3
TCac-WR,WR,3
TCac-WR,WR,4
TCac-WR,WR,4
TCac-WR,WR,4
TCac-WR,WR,4
TCac-WR,WR,4
TCac-WR,WR,5
TCac-WR,WR,5
TCac-WR,WR,5
TCac-RR,RR,2
TCac-RR,RR,3
TCac-RR,RR,3
TCac-RR,RR,3
TCac-RR,RR,3
TCac-RR,RR,4
TCac-RR,RR,4
TCac-RR,RR,4
TCac-RR,RR,4
TCac-RR,RR,4
TCac-RR,RR,4
TCac-RR,RR,5
TMic-WR,WR,3
TMic-WR,WR,3
TMic-WR,WR,4
TMic-WR,WR,4
TMic-WR,WR,4
TMic-WR,WR,4
TMic-WR,WR,4
TMic-WR,WR,4
TMic-WR,WR,4
TMic-WR,WR,4
TMic-WR,WR,5
TMic-WR,WR,5
TMic-RR,RR,3
TMic-RR,RR,3
TMic-RR,RR,4
TMic-RR,RR,4
TMic-RR,RR,4
TMic-RR,RR,4
TMic-RR,RR,4
TMic-RR,RR,4
TMic-RR,RR,4
TMic-RR,RR,4
TMic-RR,RR,4
TMic-RR,RR,5
TCdr-WR,WR,2
TCdr-WR,WR,3
TCdr-WR,WR,3
TCdr-WR,WR,4
TCdr-WR,WR,4
TCdr-WR,WR,4
TCdr-WR,WR,4
TCdr-WR,WR,4
TCdr-WR,WR,4
TCdr-WR,WR,4
TCdr-WR,WR,5
TCdr-WR,WR,5
TCdr-RR,RR,2
TCdr-RR,RR,2
TCdr-RR,RR,3
TCdr-RR,RR,3
TCdr-RR,RR,3
TCdr-RR,RR,4
TCdr-RR,RR,4
TCdr-RR,RR,4
TCdr-RR,RR,5
TCdr-RR,RR,5
TCdr-RR,RR,5
TCdr-RR,RR,5
TSeq-WR,WR,2
TSeq-WR,WR,2
TSeq-WR,WR,3
TSeq-WR,WR,3
TSeq-WR,WR,3
TSeq-WR,WR,3
TSeq-WR,WR,4
TSeq-WR,WR,4
TSeq-WR,WR,4
TSeq-WR,WR,4
TSeq-WR,WR,4
TSeq-WR,WR,5
TSeq-RR,RR,1
TSeq-RR,RR,3
TSeq-RR,RR,3
TSeq-RR,RR,3
TSeq-RR,RR,3
TSeq-RR,RR,3
TSeq-RR,RR,3
TSeq-RR,RR,4
TSeq-RR,RR,4
TSeq-RR,RR,4
TSeq-RR,RR,4
TSeq-RR,RR,5
TSta-WR,WR,2
TSta-WR,WR,2
TSta-WR,WR,4
TSta-WR,WR,4
TSta-WR,WR,4
TSta-WR,WR,4
TSta-WR,WR,4
TSta-WR,WR,4
TSta-WR,WR,4
TSta-WR,WR,4
TSta-WR,WR,5
TSta-WR,WR,5
TSta-RR,RR,2
TSta-RR,RR,3
TSta-RR,RR,3
TSta-RR,RR,3
TSta-RR,RR,3
TSta-RR,RR,4
TSta-RR,RR,4
TSta-RR,RR,4
TSta-RR,RR,4
TSta-RR,RR,4
TSta-RR,RR,5
TSta-RR,RR,5
TCno-WR,WR,1
TCno-WR,WR,1
TCno-WR,WR,1
TCno-WR,WR,2
TCno-WR,WR,2
TCno-WR,WR,3
TCno-WR,WR,3
TCno-WR,WR,3
TCno-WR,WR,3
TCno-WR,WR,3
TCno-WR,WR,4
TCno-WR,WR,4
TCno-RR,RR,1
TCno-RR,RR,2
TCno-RR,RR,2
TCno-RR,RR,2
TCno-RR,RR,2
TCno-RR,RR,2
TCno-RR,RR,3
TCno-RR,RR,3
TCno-RR,RR,4
TCno-RR,RR,4
TCno-RR,RR,4
TCno-RR,RR,4
TSup-WR,WR,2
TSup-WR,WR,3
TSup-WR,WR,3
TSup-WR,WR,3
TSup-WR,WR,3
TSup-WR,WR,3
TSup-WR,WR,3
TSup-WR,WR,3
TSup-WR,WR,3
TSup-WR,WR,4
TSup-WR,WR,4
TSup-WR,WR,4
TSup-RR,RR,2
TSup-RR,RR,3
TSup-RR,RR,3
TSup-RR,RR,3
TSup-RR,RR,3
TSup-RR,RR,3
TSup-RR,RR,3
TSup-RR,RR,3
TSup-RR,RR,4
TSup-RR,RR,4
TSup-RR,RR,4
TSup-RR,RR,4
