task,type,difficulty
T1-WR,WR,2
T1-WR,WR,2
T1-WR,WR,3
T1-WR,WR,3
T1-WR,WR,3
T1-WR,WR,3
T1-WR,WR,3
T1-WR,WR,4
T1-WR,WR,4
T1-WR,WR,4
T1-WR,WR,4
T1-WR,WR,4
T1-RR,RR,2
T1-RR,RR,3
T1-RR,RR,3
T1-RR,RR,3
T1-RR,RR,3
T1-RR,RR,3
T1-RR,RR,3
T1-RR,RR,3
T1-RR,RR,4
T1-RR,RR,4
T1-RR,RR,4
T1-RR,RR,5
T2-WR,WR,1
T2-WR,WR,1
T2-WR,WR,1
T2-WR,WR,2
T2-WR,WR,2
T2-WR,WR,2
T2-WR,WR,3
T2-WR,WR,3
T2-WR,WR,3
T2-WR,WR,3
T2-WR,WR,3
T2-WR,WR,4
T2-RR,RR,1
T2-RR,RR,2
T2-RR,RR,2
T2-RR,RR,2
T2-RR,RR,2
T2-RR,RR,3
T2-RR,RR,3
T2-RR,RR,3
T2-RR,RR,3
T2-RR,RR,3
T2-RR,RR,3
T2-RR,RR,4
T3-WR,WR,1
T3-WR,WR,1
T3-WR,WR,1
T3-WR,WR,1
T3-WR,WR,2
T3-WR,WR,2
T3-WR,WR,2
T3-WR,WR,2
T3-WR,WR,3
T3-WR,WR,4
T3-WR,WR,4
T3-WR,WR,4
T3-RR,RR,2
T3-RR,RR,2
T3-RR,RR,2
T3-RR,RR,2
T3-RR,RR,2
T3-RR,RR,2
T3-RR,RR,2
T3-RR,RR,2
T3-RR,RR,2
T3-RR,RR,2
T3-RR,RR,3
T3-RR,RR,3
T4-WR,WR,1
T4-WR,WR,2
T4-WR,WR,2
T4-WR,WR,2
T4-WR,WR,2
T4-WR,WR,2
T4-WR,WR,2
T4-WR,WR,3
T4-WR,WR,3
T4-WR,WR,3
T4-WR,WR,4
T4-WR,WR,4
T4-RR,RR,1
T4-RR,RR,1
T4-RR,RR,1
T4-RR,RR,2
T4-RR,RR,2
T4-RR,RR,2
T4-RR,RR,3
T4-RR,RR,3
T4-RR,RR,3
T4-RR,RR,4
T4-RR,RR,4
T4-RR,RR,4
T5-WR,WR,1
T5-WR,WR,1
T5-WR,WR,2
T5-WR,WR,2
T5-WR,WR,2
T5-WR,WR,2
T5-WR,WR,3
T5-WR,WR,3
T5-WR,WR,3
T5-WR,WR,3
T5-WR,WR,3
T5-WR,WR,3
T5-RR,RR,2
T5-RR,RR,3
T5-RR,RR,3
T5-RR,RR,3
T5-RR,RR,3
T5-RR,RR,3
T5-RR,RR,3
T5-RR,RR,3
T5-RR,RR,3
T5-RR,RR,3
T5-RR,RR,4
T5-RR,RR,4
T6-WR,WR,1
T6-WR,WR,1
T6-WR,WR,2
T6-WR,WR,2
T6-WR,WR,2
T6-WR,WR,2
T6-WR,WR,2
T6-WR,WR,2
T6-WR,WR,3
T6-WR,WR,3
T6-WR,WR,3
T6-WR,WR,4
T6-RR,RR,1
T6-RR,RR,1
T6-RR,RR,2
T6-RR,RR,2
T6-RR,RR,2
T6-RR,RR,2
T6-RR,RR,3
T6-RR,RR,3
T6-RR,RR,3
T6-RR,RR,4
T6-RR,RR,4
T6-RR,RR,4
T7-WR,WR,2
T7-WR,WR,2
T7-WR,WR,3
T7-WR,WR,3
T7-WR,WR,3
T7-WR,WR,3
T7-WR,WR,3
T7-WR,WR,3
T7-WR,WR,4
T7-WR,WR,4
T7-WR,WR,4
T7-WR,WR,5
T7-RR,RR,2
T7-RR,RR,2
T7-RR,RR,2
T7-RR,RR,3
T7-RR,RR,3
T7-RR,RR,3
T7-RR,RR,3
T7-RR,RR,3
T7-RR,RR,4
T7-RR,RR,4
T7-RR,RR,4
T7-RR,RR,5
T8-WR,WR,2
T8-WR,WR,3
T8-WR,WR,3
T8-WR,WR,3
T8-WR,WR,3
T8-WR,WR,3
T8-WR,WR,3
T8-WR,WR,4
T8-WR,WR,4
T8-WR,WR,4
T8-WR,WR,4
T8-WR,WR,5
T8-RR,RR,2
T8-RR,RR,2
T8-RR,RR,3
T8-RR,RR,3
T8-RR,RR,3
T8-RR,RR,3
T8-RR,RR,3
T8-RR,RR,4
T8-RR,RR,4
T8-RR,RR,4
T8-RR,RR,4
T8-RR,RR,4
