Subject ID,How long have you worked/studied Software Engineering: [In the Academy ],How long have you worked/studied Software Engineering: [In the Industry],How long have you worked/studied Unified Modeling Language (UML): [In the Academy ],How long have you worked/studied Unified Modeling Language (UML): [In the Industry],How long have you worked/studied Software Repair: [In the Academy ],How long have you worked/studied Software Repair: [In the Industry],How long have you worked/studied UML Models Repair: [In the Academy ],How long have you worked/studied UML Models Repair: [In the Industry],How recently have you worked/studied Unified Modeling Language (UML): [In the Academy ],How recently have you worked/studied Unified Modeling Language (UML): [In the Industry],How recently have you worked/studied UML Models Repair: [In the Academy ],How recently have you worked/studied UML Models Repair: [In the Industry],Please check the following Topics that you have experience:  [Object-oriented programming in the Industry],Please check the following Topics that you have experience:  [Object-oriented programming in a Course],Please check the following Topics that you have experience:  [Object-oriented programming in Research],"If you have any other experience related to software development, please inform us:"
S1,Less than 2 years,Never,Less than 2 years,Never,Less than 2 years,Less than 2 years,Less than 2 years,Never,Less than 2 years ago,Never,Between 2 and 5 years ago,Never,Less than 2 years,Between 2 and 5 years,Never,
S2,Less than 2 years,Never,Between 2 and 5 years,Never,More than 5 years,Less than 2 years,Less than 2 years,Never,Less than 2 years ago,Never,Less than 2 years ago,Never,Less than 2 years,More than 5 years,Never,
S3,More than 5 years,Between 2 and 5 years,More than 5 years,Between 2 and 5 years,Between 2 and 5 years,Between 2 and 5 years,Less than 2 years,Less than 2 years,Less than 2 years ago,Less than 2 years ago,Less than 2 years ago,Less than 2 years ago,Between 2 and 5 years,More than 5 years,Between 2 and 5 years,
S4,Between 2 and 5 years,Between 2 and 5 years,Less than 2 years,Never,Less than 2 years,Between 2 and 5 years,Less than 2 years,Never,Less than 2 years ago,Never,Less than 2 years ago,Never,Between 2 and 5 years,Between 2 and 5 years,Never,
S5,Between 2 and 5 years,Never,Less than 2 years,Never,Never,Never,Never,Never,Less than 2 years ago,Never,Never,Never,Never,Between 2 and 5 years,Between 2 and 5 years,"Modeling, Formal Specification"
S6,More than 5 years,Never,Between 2 and 5 years,Never,Less than 2 years,Never,Less than 2 years,Never,More than 5 years ago,Never,More than 5 years ago,Never,Never,More than 5 years,Less than 2 years,
S7,Between 2 and 5 years,Never,Between 2 and 5 years,Never,Never,Never,Never,Never,Less than 2 years ago,Never,Never,Never,Never,Between 2 and 5 years,Never,
S8,Between 2 and 5 years,Less than 2 years,Between 2 and 5 years,Never,Between 2 and 5 years,Never,Never,Never,Less than 2 years ago,Never,Never,Never,Less than 2 years,Between 2 and 5 years,Never,
S9,Less than 2 years,Less than 2 years,Between 2 and 5 years,Never,Between 2 and 5 years,Less than 2 years,Less than 2 years,Never,Less than 2 years ago,Never,Less than 2 years ago,Never,Less than 2 years,Between 2 and 5 years,Never,
S10,Between 2 and 5 years,Between 2 and 5 years,Less than 2 years,Less than 2 years,Between 2 and 5 years,Between 2 and 5 years,Less than 2 years,Less than 2 years,More than 5 years ago,More than 5 years ago,More than 5 years ago,More than 5 years ago,Between 2 and 5 years,Less than 2 years,Between 2 and 5 years,
S11,Between 2 and 5 years,Less than 2 years,Less than 2 years,Never,Never,Never,Never,Never,Less than 2 years ago,Never,Never,Never,Less than 2 years,Between 2 and 5 years,Never,
S12,Between 2 and 5 years,Between 2 and 5 years,Between 2 and 5 years,Never,Between 2 and 5 years,Between 2 and 5 years,Never,Never,Less than 2 years ago,Never,Never,Never,Between 2 and 5 years,Between 2 and 5 years,Less than 2 years,
S13,Between 2 and 5 years,Less than 2 years,Less than 2 years,Never,Between 2 and 5 years,Less than 2 years,Less than 2 years,Never,Less than 2 years ago,Never,Less than 2 years ago,Never,Less than 2 years,Between 2 and 5 years,Never,
S14,Between 2 and 5 years,Less than 2 years,Less than 2 years,Never,Never,Never,Never,Never,Less than 2 years ago,Never,Never,Never,Less than 2 years,Between 2 and 5 years,Never,
S15,Between 2 and 5 years,Less than 2 years,Less than 2 years,Never,Less than 2 years,Never,Less than 2 years,Never,Less than 2 years ago,Never,Less than 2 years ago,Never,Less than 2 years,Less than 2 years,Never,
S16,More than 5 years,More than 5 years,Less than 2 years,Less than 2 years,Never,Between 2 and 5 years,Never,Never,Less than 2 years ago,Never,Never,Never,Between 2 and 5 years,Less than 2 years,Never,
S17,Between 2 and 5 years,Between 2 and 5 years,Between 2 and 5 years,Never,Between 2 and 5 years,Between 2 and 5 years,Less than 2 years,Never,Less than 2 years ago,Never,Less than 2 years ago,Never,Between 2 and 5 years,More than 5 years,Never,
S18,More than 5 years,Between 2 and 5 years,Between 2 and 5 years,Between 2 and 5 years,Between 2 and 5 years,Between 2 and 5 years,Never,Never,Less than 2 years ago,Less than 2 years ago,Never,Never,More than 5 years,More than 5 years,Never,
S19,Never,More than 5 years,Never,Less than 2 years,Never,Between 2 and 5 years,Never,Never,Never,Between 2 and 5 years ago,Never,Never,Between 2 and 5 years,More than 5 years,Never,
S20,Between 2 and 5 years,Between 2 and 5 years,Between 2 and 5 years,Never,Less than 2 years,Less than 2 years,Never,Never,Between 2 and 5 years ago,Never,Never,Never,Between 2 and 5 years,Between 2 and 5 years,Never,I have been working as a Software Engineer for the past three years in general. 
S21,More than 5 years,More than 5 years,Less than 2 years,Less than 2 years,More than 5 years,More than 5 years,Never,Never,Less than 2 years ago,Less than 2 years ago,Never,Never,More than 5 years,More than 5 years,Never,Database design and development with UML and Oracle
S22,Between 2 and 5 years,Less than 2 years,Between 2 and 5 years,Less than 2 years,Less than 2 years,Never,Less than 2 years,Never,Less than 2 years ago,Between 2 and 5 years ago,Never,Never,Less than 2 years,Between 2 and 5 years,Never,
S23,Between 2 and 5 years,Between 2 and 5 years,Between 2 and 5 years,Less than 2 years,Less than 2 years,Never,Less than 2 years,Never,Less than 2 years ago,Between 2 and 5 years ago,Less than 2 years ago,Never,Between 2 and 5 years,More than 5 years,Between 2 and 5 years,
