participant,group,score,metric
P3,G1,2,UL
P17,G1,2,UL
P18,G1,2,UL
P21,G1,2,UL
P23,G1,2,UL
P24,G1,2,UL
P1,G2,3,UL
P2,G2,3,UL
P4,G2,2,UL
P8,G2,2,UL
P9,G2,2,UL
P10,G2,2,UL
P12,G2,2,UL
P13,G2,2,UL
P15,G2,2,UL
P16,G2,3,UL
P20,G2,1,UL
P22,G2,4,UL
P5,G3,1,UL
P6,G3,1,UL
P7,G3,2,UL
P11,G3,2,UL
P14,G3,1,UL
P19,G3,3,UL
P3,G1,2,RD
P17,G1,3,RD
P18,G1,2,RD
P21,G1,3,RD
P23,G1,3,RD
P24,G1,1,RD
P1,G2,3,RD
P2,G2,3,RD
P4,G2,2,RD
P8,G2,3,RD
P9,G2,3,RD
P10,G2,3,RD
P12,G2,3,RD
P13,G2,4,RD
P15,G2,3,RD
P16,G2,2,RD
P20,G2,1,RD
P22,G2,2,RD
P5,G3,2,RD
P6,G3,3,RD
P7,G3,3,RD
P11,G3,3,RD
P14,G3,4,RD
P19,G3,3,RD
P3,All,2,UL
P17,All,2,UL
P18,All,2,UL
P21,All,2,UL
P23,All,2,UL
P24,All,2,UL
P1,All,3,UL
P2,All,3,UL
P4,All,2,UL
P8,All,2,UL
P9,All,2,UL
P10,All,2,UL
P12,All,2,UL
P13,All,2,UL
P15,All,2,UL
P16,All,3,UL
P20,All,1,UL
P22,All,4,UL
P5,All,1,UL
P6,All,1,UL
P7,All,2,UL
P11,All,2,UL
P14,All,1,UL
P19,All,3,UL
P3,All,2,RD
P17,All,3,RD
P18,All,2,RD
P21,All,3,RD
P23,All,3,RD
P24,All,1,RD
P1,All,3,RD
P2,All,3,RD
P4,All,2,RD
P8,All,3,RD
P9,All,3,RD
P10,All,3,RD
P12,All,3,RD
P13,All,4,RD
P15,All,3,RD
P16,All,2,RD
P20,All,1,RD
P22,All,2,RD
P5,All,2,RD
P6,All,3,RD
P7,All,3,RD
P11,All,3,RD
P14,All,4,RD
P19,All,3,RD
